BADGE,PEER_STABILITY,PEERS_CONSIDERED,N_RUNS_SEEN
1000512,1.0,1,9
1202843,1.0,1,9
1000519,,0,9
1000535,,0,9
1037243,1.0,6,9
1037246,1.0,6,9
1037194,1.0,6,9
1000686,1.0,6,9
1037199,1.0,6,9
1037200,1.0,6,9
1037202,1.0,6,9
1002590,0.944,8,9
1004629,0.861,8,9
1008466,0.944,8,9
1008467,0.944,8,9
1008469,0.944,8,9
1008989,0.75,8,9
1008990,0.944,8,9
1008992,0.861,8,9
1008993,0.944,8,9
1039410,,0,9
1039411,,0,9
1039479,0.778,6,9
1039480,0.963,6,9
1039481,0.963,6,9
1039482,0.963,6,9
1039423,0.963,6,9
1039424,0.963,6,9
1039425,0.963,6,9
1043736,1.0,7,9
1043738,1.0,7,9
1072232,1.0,7,9
1119789,1.0,7,9
1119894,1.0,7,9
1119869,1.0,7,9
1072318,1.0,7,9
1039432,1.0,7,9
1039440,,0,9
1039443,,0,9
1039476,,0,9
1042017,0.963,9,9
1073338,0.963,9,9
1042024,0.963,9,9
1039477,0.963,9,9
1042026,0.963,9,9
1042025,0.963,9,9
1052578,0.963,9,9
1042071,0.667,9,9
1042073,0.963,9,9
1042015,0.963,9,9
1039478,,0,9
1039491,,0,9
1002591,0.944,6,9
1004855,0.667,6,9
1004865,0.944,6,9
1008014,0.944,6,9
1008017,0.944,6,9
1007959,0.944,6,9
1007960,0.944,6,9
1039507,1.0,5,9
1039508,1.0,5,9
1039509,1.0,5,9
1039510,1.0,5,9
1039513,1.0,5,9
1039499,1.0,5,9
1039502,0.815,6,9
1039543,0.889,6,9
1039544,0.889,6,9
1039545,0.889,6,9
1039546,0.889,6,9
1039500,0.889,6,9
1039501,0.444,6,9
1039503,1.0,2,9
1039505,1.0,2,9
1039506,1.0,2,9
1039504,,0,9
1039511,,0,9
1039534,0.667,11,9
1039576,0.667,11,9
1039515,0.545,11,9
1039516,0.545,11,9
1039518,0.545,11,9
1041717,0.667,11,9
1097557,0.212,11,9
1039528,0.667,11,9
1039529,0.667,11,9
1134583,0.212,11,9
1039531,0.667,11,9
1039533,0.667,11,9
1039517,,0,9
1039519,,0,9
1039568,1.0,5,9
1039569,1.0,5,9
1039572,1.0,5,9
1239340,1.0,5,9
1039520,1.0,5,9
1039522,1.0,5,9
1039521,,0,9
1002593,,0,9
1039523,,0,9
1039538,0.844,5,9
1040063,0.844,5,9
1040065,0.844,5,9
1039524,0.844,5,9
1039526,0.422,5,9
1039530,0.689,5,9
1039536,1.0,6,9
1039539,1.0,6,9
1039540,1.0,6,9
1039541,1.0,6,9
1039542,1.0,6,9
1134479,1.0,6,9
1039525,1.0,6,9
1039527,,0,9
1039532,,0,9
1039537,0.889,1,9
1097629,0.889,1,9
1073811,1.0,8,9
1039574,1.0,8,9
1039573,1.0,8,9
1098073,1.0,8,9
1039547,1.0,8,9
1039548,1.0,8,9
1039550,1.0,8,9
1039560,1.0,8,9
1039561,1.0,8,9
1084402,0.611,8,9
1096886,0.611,8,9
1097610,0.889,8,9
1039549,0.889,8,9
1077470,0.889,8,9
1055235,0.889,8,9
1084580,0.889,8,9
1077453,0.889,8,9
1077454,0.889,8,9
1039566,0.963,6,9
1039570,0.907,6,9
1039582,0.907,6,9
1039551,0.963,6,9
1039552,0.963,6,9
1039563,0.963,6,9
1039564,0.963,6,9
1039553,,0,9
1096181,1.0,7,9
1002598,1.0,7,9
1301106,1.0,7,9
1097321,1.0,7,9
1046014,1.0,7,9
1119642,1.0,7,9
1137816,1.0,7,9
1302574,1.0,7,9
1039575,1.0,5,9
1039577,1.0,5,9
1039578,1.0,5,9
1039554,1.0,5,9
1039555,1.0,5,9
1039556,1.0,5,9
1039557,,0,9
1039558,,0,9
1039559,,0,9
1148384,0.434,11,9
1142793,0.495,11,9
1155922,0.495,11,9
1083207,0.475,11,9
1148463,0.495,11,9
1148464,0.495,11,9
1148467,0.475,11,9
1153708,0.434,11,9
1153709,0.475,11,9
1148382,0.475,11,9
1039562,0.495,11,9
1155817,0.414,11,9
1039565,,0,9
1039567,,0,9
1178948,0.933,5,9
1176436,0.933,5,9
1039571,0.667,5,9
1177535,0.933,5,9
1122455,0.933,5,9
1176393,0.933,5,9
1039580,1.0,1,9
1039581,1.0,1,9
1128807,1.0,7,9
1056092,1.0,7,9
1056093,1.0,7,9
1250373,1.0,7,9
1039587,1.0,7,9
1039588,1.0,7,9
1039589,1.0,7,9
1039590,1.0,7,9
1002600,0.833,4,9
1002601,0.833,4,9
1002670,0.444,4,9
1002671,0.833,4,9
1007476,0.778,4,9
1039605,0.958,8,9
1039607,0.958,8,9
1039608,0.958,8,9
1039609,0.958,8,9
1039610,0.958,8,9
1039591,0.667,8,9
1039593,0.958,8,9
1039594,0.958,8,9
1039598,0.958,8,9
1039599,0.911,5,9
1039600,0.911,5,9
1039601,0.911,5,9
1039602,0.911,5,9
1039595,0.822,5,9
1039597,0.644,5,9
1039596,,0,9
1039603,,0,9
1039634,1.0,10,9
1056058,1.0,10,9
1039604,1.0,10,9
1056059,1.0,10,9
1039606,1.0,10,9
1136775,1.0,10,9
1039651,1.0,10,9
1137611,1.0,10,9
1039652,1.0,10,9
1135065,1.0,10,9
1135264,1.0,10,9
1047285,0.833,8,9
1047286,0.556,8,9
1047287,0.736,8,9
1047288,0.833,8,9
1047290,0.333,8,9
1047323,0.833,8,9
1047326,0.833,8,9
1039620,0.833,8,9
1047284,0.764,8,9
1044125,1.0,8,9
1044126,1.0,8,9
1044130,1.0,8,9
1044132,1.0,8,9
1044134,1.0,8,9
1039622,1.0,8,9
1044119,1.0,8,9
1044122,1.0,8,9
1044124,1.0,8,9
1039627,0.952,7,9
1055217,0.952,7,9
1058268,0.952,7,9
1042518,0.952,7,9
1045079,0.667,7,9
1045082,0.952,7,9
1045087,0.952,7,9
1045089,0.952,7,9
1048109,1.0,5,9
1054636,1.0,5,9
1054637,1.0,5,9
1054639,1.0,5,9
1045120,1.0,5,9
