BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1000521,7,4,0,3,0.5
1000536,3,1,0,2,0.0
1000542,3,1,0,2,0.0
1000547,6,4,0,2,0.6
1000559,8,9,1,0,0.875
1000561,10,6,0,4,0.5556
1000565,4,3,2,3,0.0
1000567,8,2,0,6,0.1429
1000575,6,2,0,4,0.2
1000580,5,4,0,1,0.75
1000595,9,8,1,2,0.6667
1000596,1,9,8,0,0.0
1000597,1,8,7,0,0.0
1000600,6,1,0,5,0.0
1000602,2,1,0,1,0.0
1000606,17,13,0,4,0.75
1000607,4,2,0,2,0.3333
1000615,9,11,2,0,0.8
1000616,17,3,0,14,0.125
1000623,17,13,0,4,0.75
1000625,17,13,0,4,0.75
1000626,17,13,0,4,0.75
1000627,3,1,0,2,0.0
1000628,4,2,0,2,0.3333
1000629,3,1,0,2,0.0
1000630,3,1,0,2,0.0
1000642,3,1,0,2,0.0
1000643,3,2,0,1,0.5
1000645,3,2,0,1,0.5
1000646,3,2,0,1,0.5
1000652,17,13,0,4,0.75
1000653,17,13,0,4,0.75
1000654,17,13,0,4,0.75
1000659,4,1,0,3,0.0
1000660,4,2,0,2,0.3333
1000661,4,1,0,3,0.0
1000662,4,2,0,2,0.3333
1000663,17,3,0,14,0.125
1000665,17,3,0,14,0.125
1000675,4,2,0,2,0.3333
1000676,4,2,0,2,0.3333
1000677,4,2,0,2,0.3333
1000683,17,13,0,4,0.75
1000687,3,2,0,1,0.5
1000689,3,1,0,2,0.0
1000692,4,1,0,3,0.0
1000699,3,2,0,1,0.5
1000706,2,1,0,1,0.0
1000717,2,1,0,1,0.0
1000724,17,13,0,4,0.75
1000725,17,13,0,4,0.75
1000726,17,13,0,4,0.75
1000727,17,13,0,4,0.75
1000753,12,6,0,6,0.4545
1000754,5,3,0,2,0.5
1000755,5,3,0,2,0.5
1000771,6,7,1,0,0.8333
1000779,8,1,0,7,0.0
1000780,3,1,0,2,0.0
1000782,14,6,0,8,0.3846
1000790,7,6,0,1,0.8333
1000795,11,14,3,0,0.7692
1000798,11,6,0,5,0.5
1000800,5,3,0,2,0.5
1000802,8,9,1,0,0.875
1000804,2,1,0,1,0.0
1000805,8,9,1,0,0.875
1000808,5,2,0,3,0.25
1000809,5,2,0,3,0.25
1000810,5,2,0,3,0.25
1000812,8,9,1,0,0.875
1000816,14,3,0,11,0.1538
1000817,3,1,0,2,0.0
1000818,14,6,0,8,0.3846
1000819,14,4,0,10,0.2308
1000820,8,9,1,0,0.875
1000822,8,9,1,0,0.875
1000828,14,3,0,11,0.1538
1000829,14,6,0,8,0.3846
1000830,14,6,0,8,0.3846
1000831,6,7,1,0,0.8333
1000832,1,4,3,0,0.0
1000834,3,4,1,0,0.6667
1000835,3,4,1,0,0.6667
1000845,133,20,8,121,0.0786
1000849,9,6,1,4,0.4444
1000850,9,6,1,4,0.4444
1000851,9,6,1,4,0.4444
1000856,8,4,0,4,0.4286
1000857,8,3,0,5,0.2857
1000858,8,3,0,5,0.2857
1000863,3,1,0,2,0.0
1000864,9,6,1,4,0.4444
1000866,9,6,1,4,0.4444
1000867,1,6,5,0,0.0
1000877,4,2,0,2,0.3333
1000879,4,2,0,2,0.3333
1000884,27,13,1,15,0.4074
1000885,27,13,1,15,0.4074
1000887,27,13,1,15,0.4074
1000888,10,11,1,0,0.9
1000890,10,11,1,0,0.9
1000891,10,11,1,0,0.9
1000896,9,5,0,4,0.5
1000897,23,11,2,14,0.3333
1000899,1,11,10,0,0.0
1000907,2,1,0,1,0.0
1000908,2,1,0,1,0.0
1000909,2,1,0,1,0.0
1000910,2,1,0,1,0.0
1000912,6,5,0,1,0.8
1000913,6,5,0,1,0.8
1000914,6,5,0,1,0.8
1000915,6,5,0,1,0.8
1000917,3,2,0,1,0.5
1000932,3,1,0,2,0.0
1000933,3,1,0,2,0.0
1000935,3,1,0,2,0.0
1000944,21,5,1,17,0.1429
1000945,21,5,1,17,0.1429
1000946,21,5,1,17,0.1429
1000947,4,1,0,3,0.0
1000949,7,2,0,5,0.1667
1000950,7,9,5,3,0.2727
1000951,7,9,5,3,0.2727
1000953,8,7,0,1,0.8571
1000954,15,9,0,6,0.5714
1000956,37,23,11,25,0.234
1000957,37,23,11,25,0.234
1000958,1,23,22,0,0.0
1000961,8,9,1,0,0.875
1000962,1,9,8,0,0.0
1000964,16,8,0,8,0.4667
1000965,1,23,22,0,0.0
1000966,1,5,4,0,0.0
1000967,37,23,11,25,0.234
1000968,4,3,0,1,0.6667
1000971,10,6,0,4,0.5556
1000978,5,1,0,4,0.0
1000979,5,4,0,1,0.75
1000993,3,1,0,2,0.0
1000995,10,5,1,6,0.3
1001005,4,1,0,3,0.0
1001016,1,3,2,0,0.0
1001017,6,4,0,2,0.6
1001018,6,4,0,2,0.6
1001019,6,4,0,2,0.6
1001029,4,1,0,3,0.0
1001030,3,1,0,2,0.0
1001031,4,1,0,3,0.0
1001032,5,4,0,1,0.75
1001033,5,4,0,1,0.75
1001035,5,4,0,1,0.75
1001037,8,9,1,0,0.875
1001038,8,9,1,0,0.875
1001041,26,22,14,18,0.1795
1001042,8,6,0,2,0.7143
1001043,26,22,14,18,0.1795
1001044,6,5,0,1,0.8
1001045,6,5,0,1,0.8
1001046,6,5,0,1,0.8
1001047,6,5,0,1,0.8
1001048,7,6,0,1,0.8333
1001052,7,6,0,1,0.8333
1001054,7,6,0,1,0.8333
1001055,7,6,0,1,0.8333
1001056,8,6,0,2,0.7143
1001057,8,6,0,2,0.7143
1001058,8,6,0,2,0.7143
1001068,6,1,0,5,0.0
1001069,6,4,0,2,0.6
1001079,5,3,0,2,0.5
1001082,5,1,0,4,0.0
1001083,5,3,0,2,0.5
1001085,5,1,0,4,0.0
1001086,5,3,0,2,0.5
1001089,6,4,0,2,0.6
1001099,11,5,0,6,0.4
1001107,7,8,1,0,0.8571
1001112,4,3,0,1,0.6667
1001114,4,3,0,1,0.6667
1001122,7,6,0,1,0.8333
1001124,1,9,8,0,0.0
1001126,13,6,0,7,0.4167
1001127,7,6,0,1,0.8333
1001128,2,1,0,1,0.0
1001129,2,1,0,1,0.0
1001130,2,1,0,1,0.0
1001131,4,1,0,3,0.0
1001134,7,8,1,0,0.8571
1001135,7,8,1,0,0.8571
1001144,8,4,0,4,0.4286
1001147,7,3,0,4,0.3333
1001158,7,3,0,4,0.3333
1001163,8,4,0,4,0.4286
1001180,5,3,0,2,0.5
1001181,5,2,0,3,0.25
1001182,5,2,0,3,0.25
1001183,5,3,0,2,0.5
1001185,5,3,0,2,0.5
1001187,5,1,0,4,0.0
1001190,3,2,0,1,0.5
1001194,10,9,0,1,0.8889
1001197,5,4,0,1,0.75
1001199,5,4,0,1,0.75
1001200,3,2,0,1,0.5
1001201,5,3,0,2,0.5
1001202,3,1,0,2,0.0
1001203,3,2,0,1,0.5
1001204,2,1,0,1,0.0
1001205,2,1,0,1,0.0
1001206,2,1,0,1,0.0
1001212,3,1,0,2,0.0
1001220,3,2,0,1,0.5
1001221,7,6,0,1,0.8333
1001225,6,1,0,5,0.0
1001226,3,2,0,1,0.5
1001227,6,5,0,1,0.8
1001230,3,2,0,1,0.5
1001231,3,1,0,2,0.0
1001237,8,6,1,3,0.5
1001238,8,6,1,3,0.5
1001239,9,3,0,6,0.25
1001240,8,1,0,7,0.0
1001243,8,6,1,3,0.5
1001244,9,8,0,1,0.875
1001245,1,9,8,0,0.0
1001246,9,8,0,1,0.875
1001247,8,9,1,0,0.875
1001251,7,4,0,3,0.5
1001254,4,1,0,3,0.0
1001256,8,9,1,0,0.875
1001257,9,8,0,1,0.875
1001258,8,9,1,0,0.875
1001259,8,9,1,0,0.875
1001260,9,1,0,8,0.0
1001261,9,3,0,6,0.25
1001262,9,8,0,1,0.875
1001263,9,6,0,3,0.625
1001276,4,1,0,3,0.0
1001277,4,1,0,3,0.0
1001280,7,2,0,5,0.1667
1001281,7,2,0,5,0.1667
1001288,7,6,0,1,0.8333
1001293,4,3,0,1,0.6667
1001294,4,3,0,1,0.6667
1001309,5,1,0,4,0.0
1001311,4,3,0,1,0.6667
1001332,7,6,0,1,0.8333
1001335,7,6,0,1,0.8333
1001345,2,1,0,1,0.0
1001352,8,9,1,0,0.875
1001354,8,9,1,0,0.875
1001356,7,6,0,1,0.8333
1001357,9,10,1,0,0.8889
1001358,7,6,0,1,0.8333
1001359,9,10,1,0,0.8889
1001363,12,6,0,6,0.4545
1001369,12,6,0,6,0.4545
1001371,12,6,0,6,0.4545
1001378,5,2,0,3,0.25
1001380,5,4,0,1,0.75
1001384,12,6,0,6,0.4545
1001386,12,6,0,6,0.4545
1001388,4,3,0,1,0.6667
1001389,4,3,0,1,0.6667
1001390,4,3,0,1,0.6667
1001392,4,1,0,3,0.0
1001397,10,6,0,4,0.5556
1001399,2,1,0,1,0.0
1001400,6,1,0,5,0.0
1001401,9,6,0,3,0.625
1001402,8,6,1,3,0.5
1001403,6,2,0,4,0.2
1001404,3,1,0,2,0.0
1001405,6,4,0,2,0.6
1001409,5,2,0,3,0.25
1001410,5,4,0,1,0.75
1001411,5,4,0,1,0.75
1001412,6,2,0,4,0.2
1001415,1,3,2,0,0.0
1001416,41,6,0,35,0.125
1001420,6,4,0,2,0.6
1001421,6,4,0,2,0.6
1001422,4,3,0,1,0.6667
1001423,6,4,0,2,0.6
1001425,6,4,0,2,0.6
1001427,4,3,0,1,0.6667
1001428,2,1,0,1,0.0
1001429,2,1,0,1,0.0
1001433,3,1,0,2,0.0
1001434,3,1,0,2,0.0
1001438,3,1,0,2,0.0
1001439,3,19,16,0,0.1111
1001448,3,1,0,2,0.0
1001449,5,2,0,3,0.25
1001456,5,1,0,4,0.0
1001457,5,4,0,1,0.75
1001458,5,1,0,4,0.0
1001463,3,2,0,1,0.5
1001465,9,10,1,0,0.8889
1001466,2,10,9,1,0.0
1001470,3,2,0,1,0.5
