OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
10000,7,7,2
1002,9,9,2
10022,7,7,2
10031,7,7,2
10038,12,12,3
10043,8,8,3
10049,9,9,3
10051,8,8,2
10058,3,3,2
10060,8,8,2
10067,2,2,2
1007,7,7,2
10076,9,9,2
10078,7,7,2
1008,11,11,2
10081,13,13,2
10093,11,11,3
10096,7,7,2
1010,7,7,2
10103,7,7,2
10116,6,6,2
10123,10,10,2
10128,8,8,2
10139,16,16,3
1014,9,9,2
10145,2,2,2
10164,6,6,2
10167,3,3,2
10171,9,9,4
10180,8,8,2
10195,7,7,3
10205,6,6,2
10210,7,7,2
1023,24,24,2
10232,8,8,2
10241,9,9,2
10257,7,7,3
10264,9,9,2
10274,9,9,2
10289,3,3,2
10294,12,12,2
10297,4,4,2
10306,8,8,2
10333,12,12,2
10343,8,8,2
10354,9,9,2
10381,6,6,2
10391,7,7,2
10405,10,10,4
10406,2,2,2
10410,3,3,2
10414,7,7,2
10419,7,7,2
10425,8,8,3
1044,3,3,2
10443,7,7,2
10449,9,9,3
1048,7,7,2
10480,8,8,2
10481,9,9,3
10497,9,9,3
10499,8,8,2
105,2,2,2
1050,7,7,3
10502,8,8,2
10507,7,7,2
10515,2,2,2
1052,20,20,3
1053,9,9,2
10531,10,10,2
10532,9,9,2
10536,11,11,2
1054,13,13,3
10559,18,18,2
1056,7,7,2
10560,7,7,2
10563,8,8,3
10570,16,16,2
10577,9,9,2
10579,10,10,2
1059,6,6,2
10594,8,8,2
10603,8,8,3
10609,8,8,3
10621,10,10,3
10631,8,8,2
10634,10,10,2
10646,9,9,2
10653,6,6,2
10661,6,6,2
10664,7,7,2
10666,9,9,2
10667,8,8,2
10671,3,3,2
10672,9,9,4
10673,5,5,2
10680,2,2,2
10691,8,8,2
10693,14,14,4
10695,7,7,2
10698,7,7,2
10701,23,23,3
10702,12,12,3
10722,10,10,2
10734,6,6,2
10746,9,9,2
1075,10,10,2
10751,7,7,2
10758,8,8,3
1076,7,7,2
10763,10,10,2
10773,6,6,2
10780,7,7,2
10785,3,3,2
10787,9,9,2
10793,2,2,2
10794,14,14,2
10796,8,8,2
10798,9,9,2
10801,10,10,2
10804,10,10,2
10821,7,7,3
10828,12,12,3
10831,7,7,3
10834,7,7,2
10835,21,21,5
1084,7,7,2
1085,8,8,3
10856,6,6,2
10860,11,11,3
10868,7,7,2
1087,10,10,3
1088,9,9,2
10883,7,7,2
10889,11,11,2
10903,12,12,2
10910,3,3,2
10918,13,13,2
10930,9,9,2
10945,6,6,2
1095,10,10,2
10967,7,7,2
10990,7,7,2
1100,9,9,2
11021,7,7,2
11025,2,2,2
1105,4,4,2
11067,12,12,5
11071,7,7,2
11078,10,10,2
1108,2,2,2
11091,7,7,2
11108,7,7,2
11127,2,2,2
11144,8,8,2
11164,7,7,2
11169,10,10,2
11173,8,8,4
11188,21,21,4
11190,14,14,2
11192,9,9,3
11199,11,11,2
11212,8,8,2
11216,7,7,2
11217,6,6,2
11227,7,7,2
11230,13,13,3
11231,7,7,2
11232,10,10,2
11254,7,7,2
11256,7,7,2
11268,9,9,3
11282,8,8,2
11284,7,7,2
11285,9,9,2
11292,10,10,2
11319,9,9,2
11322,9,9,2
11326,8,8,2
11328,11,11,5
11344,11,11,2
11355,7,7,2
11372,7,7,2
11382,15,15,2
11389,7,7,3
11409,7,7,3
11413,8,8,2
11414,14,14,2
11422,8,8,3
1143,7,7,2
11435,12,12,2
11458,8,8,2
1146,4,4,2
11462,10,10,2
11464,9,9,2
11476,8,8,2
11485,7,7,2
11493,8,8,2
11520,7,7,2
11524,8,8,2
11529,7,7,2
11559,8,8,2
11562,8,8,2
11570,12,12,2
11577,9,9,2
1158,7,7,2
11587,7,7,2
11608,3,3,2
11613,9,9,2
11631,2,2,2
11637,7,7,2
11650,8,8,2
11669,8,8,2
1167,7,7,2
11694,2,2,2
11695,6,6,2
117,3,3,2
11703,11,11,3
11708,10,10,2
1171,8,8,3
11715,8,8,2
11716,12,12,3
11720,8,8,2
11726,5,5,2
11734,8,8,2
11735,11,11,2
11736,5,5,2
11739,14,14,3
11740,16,16,2
11770,4,4,2
11772,10,10,5
11773,3,3,2
11774,9,9,3
11775,3,3,2
11793,9,9,2
118,2,2,2
11808,4,4,2
11813,8,8,2
11831,6,6,2
11838,11,11,2
11841,7,7,2
11874,9,9,2
11880,8,8,2
11882,3,3,2
11898,11,11,2
119,3,3,3
11900,7,7,2
1191,4,4,2
11912,8,8,2
11921,8,8,2
11923,7,7,2
11931,8,8,2
11937,2,2,2
11952,10,10,2
11966,10,10,2
11975,11,11,2
11976,9,9,4
11977,30,30,4
11981,7,7,2
11987,7,7,3
11994,2,2,2
12,8,8,3
1201,7,7,2
12023,8,8,2
12033,7,7,2
12042,8,8,2
12052,2,2,2
12066,6,6,2
12070,3,3,2
12090,8,8,2
12093,7,7,2
12108,10,10,2
12117,2,2,2
1213,6,6,2
12135,10,10,2
12139,7,7,2
12154,11,11,3
12155,2,2,2
12160,8,8,2
12180,7,7,2
12187,2,2,2
12189,8,8,2
12197,8,8,2
12198,7,7,2
1223,15,15,4
12232,2,2,2
12242,6,6,2
1226,9,9,2
12266,8,8,2
12276,7,7,2
12278,4,4,2
12282,11,11,4
12296,12,12,2
12307,7,7,2
12315,8,8,2
12333,2,2,2
12336,9,9,2
12368,9,9,2
12377,9,9,2
12380,7,7,2
12400,6,6,3
12407,10,10,2
1241,9,9,3
1242,12,12,2
12422,13,13,2
12428,7,7,2
12430,2,2,2
1244,8,8,3
12442,7,7,2
12444,6,6,2
12451,7,7,2
12473,19,19,4
12488,7,7,2
12495,9,9,2
12505,7,7,2
12508,7,7,2
1251,9,9,2
12514,12,12,2
12529,8,8,2
12542,2,2,2
12565,9,9,2
12585,8,8,2
12591,10,10,2
12599,9,9,2
12602,10,10,2
12613,10,10,3
1263,5,5,2
12634,10,10,2
12639,2,2,2
12649,10,10,2
12652,11,11,2
12656,7,7,2
1267,9,9,2
12677,9,9,2
12678,4,4,2
12681,10,10,2
12684,7,7,2
12687,8,8,2
12707,11,11,3
12716,2,2,2
12719,13,13,2
12723,9,9,2
1273,8,8,2
12733,14,14,4
12743,9,9,2
12744,9,9,2
12762,8,8,2
12764,9,9,2
12766,10,10,3
12771,10,10,2
12773,8,8,2
12777,12,12,2
12780,8,8,2
12785,9,9,2
12787,7,7,2
12789,4,4,2
12794,12,12,2
12796,5,5,2
12800,4,4,2
12807,17,17,3
12811,7,7,2
12822,6,6,2
12825,7,7,2
12828,11,11,2
12830,7,7,2
12840,9,9,2
12842,3,3,2
12843,32,32,2
12844,3,3,2
12889,2,2,2
12894,7,7,2
12900,2,2,2
12908,3,3,2
12909,2,2,2
1291,8,8,2
12920,3,3,3
12921,3,3,2
12923,9,9,4
12929,4,4,2
12953,3,3,2
12958,10,10,5
1296,9,9,2
12970,12,12,2
12973,11,11,2
12987,23,23,3
12998,12,12,2
13001,10,10,2
13045,3,3,2
13046,8,8,3
13047,11,11,4
13049,3,3,2
1305,14,14,2
13053,4,4,2
13055,4,4,2
13059,4,4,2
13075,10,10,2
13077,8,8,2
1308,7,7,2
13087,6,6,2
13090,7,7,3
13095,7,7,2
13096,4,4,2
1310,8,8,2
13104,2,2,2
13105,9,9,2
13109,2,2,2
1311,7,7,2
1312,12,12,2
1314,7,7,2
13142,9,9,2
13143,2,2,2
13147,7,7,2
13172,8,8,3
13174,2,2,2
13176,5,5,2
13180,4,4,2
13183,3,3,3
13195,8,8,2
1320,10,10,3
13203,9,9,3
13212,3,3,2
13216,4,4,2
13218,11,11,5
13231,4,4,3
13239,6,6,2
13244,9,9,2
13248,4,4,2
13259,13,13,3
13261,2,2,2
1327,13,13,2
13274,7,7,2
1329,7,7,2
13291,7,7,2
13297,7,7,2
13302,8,8,2
13308,8,8,3
13315,10,10,2
1332,8,8,3
13332,4,4,2
13344,8,8,3
1335,11,11,3
13352,2,2,2
13355,9,9,2
1336,7,7,2
1338,6,6,4
13382,9,9,3
13387,9,9,2
13394,7,7,2
13401,5,5,2
13404,8,8,3
13420,12,12,2
13454,9,9,2
13481,12,12,2
13491,10,10,2
13493,11,11,2
13512,8,8,2
13513,4,4,3
13516,8,8,2
13520,5,5,2
13538,9,9,2
1354,7,7,2
13544,14,14,2
13547,7,7,2
1355,3,3,2
13556,10,10,2
1357,7,7,2
13571,10,10,2
13578,8,8,2
13582,10,10,2
13584,7,7,2
13586,8,8,2
13587,2,2,2
1361,11,11,2
1362,6,6,2
13621,6,6,3
1363,7,7,2
13643,15,15,5
13650,14,14,3
13667,8,8,2
13671,12,12,2
13681,7,7,2
1369,7,7,2
13696,9,9,2
1370,8,8,2
13701,7,7,2
13704,10,10,2
13717,6,6,2
1372,9,9,2
13743,11,11,2
13751,7,7,2
1380,8,8,2
13803,8,8,2
13821,10,10,2
13825,8,8,2
13841,10,10,2
13847,6,6,2
13877,9,9,2
13892,9,9,2
13906,9,9,2
13908,8,8,2
13925,9,9,2
1393,8,8,2
1394,2,2,2
13950,9,9,2
13964,7,7,2
13965,8,8,2
13975,5,5,2
13976,7,7,2
13986,8,8,3
13994,2,2,2
13998,10,10,3
14002,8,8,3
14009,15,15,5
14011,12,12,4
14026,9,9,2
14044,7,7,2
14049,7,7,2
14055,7,7,2
14060,11,11,3
14066,4,4,2
14069,9,9,2
14079,10,10,3
14082,7,7,2
14085,10,10,2
14087,13,13,3
14094,9,9,3
14100,8,8,2
14102,9,9,2
14109,8,8,2
1411,9,9,3
14130,16,16,5
14134,7,7,2
14135,10,10,2
14137,7,7,2
14145,7,7,3
14150,9,9,2
14157,13,13,6
14165,8,8,2
14168,8,8,2
14169,10,10,2
14172,9,9,4
14176,8,8,2
14178,10,10,3
14183,11,11,2
14184,5,5,2
14185,8,8,2
14191,13,13,3
142,12,12,2
14201,8,8,2
14204,5,5,2
14211,8,8,2
14246,6,6,2
14248,11,11,3
14260,10,10,2
14261,7,7,2
14262,7,7,3
14264,7,7,2
14265,6,6,3
14268,7,7,2
14274,10,10,2
14275,6,6,2
1428,6,6,2
14280,7,7,2
14281,6,6,3
14284,12,12,2
14296,7,7,2
14297,7,7,2
14299,8,8,2
14306,6,6,2
14311,3,3,2
14313,9,9,3
14319,19,19,2
14328,8,8,3
1433,17,17,2
14335,10,10,2
1434,8,8,2
14340,6,6,3
14344,10,10,2
14350,17,17,2
14353,9,9,2
14358,7,7,3
14366,6,6,2
1437,2,2,2
14377,11,11,2
14390,13,13,2
14394,8,8,2
14395,6,6,3
14398,17,17,3
1440,7,7,2
14402,6,6,2
14404,8,8,2
14405,8,8,2
14409,11,11,3
14415,7,7,2
14416,6,6,4
14424,8,8,2
14435,8,8,2
1444,9,9,3
14441,10,10,3
14445,6,6,2
14449,7,7,2
14462,5,5,2
14468,30,30,3
14473,7,7,3
14475,10,10,2
14476,9,9,2
1449,2,2,2
14493,16,16,2
14505,7,7,2
14516,5,5,2
14519,7,7,2
14526,7,7,2
1454,9,9,2
14544,7,7,2
14545,8,8,2
14546,6,6,2
14548,8,8,2
14564,7,7,2
14575,3,3,2
14594,9,9,3
14596,14,14,2
14598,7,7,2
14603,9,9,4
14605,7,7,2
14616,6,6,2
14618,7,7,2
14619,12,12,2
14628,9,9,2
14630,4,4,2
14634,4,4,2
14636,13,13,2
14638,9,9,2
14649,8,8,3
14661,8,8,2
14663,6,6,2
14670,7,7,2
14671,2,2,2
14674,9,9,4
14677,6,6,2
14682,8,8,2
14686,10,10,3
1469,8,8,2
14696,8,8,2
14704,5,5,2
14711,7,7,2
14716,7,7,2
14736,12,12,2
14738,8,8,2
14746,8,8,3
14753,12,12,2
14759,6,6,3
14761,10,10,2
