BADGE,CURRENT_TRANSFORMER_OLD,RECOMMENDED_TRANSFORMER_OLD,CLUSTER_OLD,CURRENT_TRANSFORMER_NEW,RECOMMENDED_TRANSFORMER_NEW,CLUSTER_NEW,STATUS
1000524,,,,,3771.0,3.0,newly_flagged
1000526,,1517.0,4.0,,1517.0,4.0,unchanged
1000560,,,,19819.0,19823.0,23.0,newly_flagged
1000561,296.0,285.0,25.0,296.0,285.0,24.0,unchanged
1000564,19848.0,446.0,28.0,19848.0,461.0,27.0,recommendation_changed
1000565,461.0,446.0,28.0,,,,no_longer_flagged
1000616,5581.0,5579.0,67.0,5581.0,5579.0,66.0,unchanged
1000622,5565.0,5555.0,71.0,5565.0,5555.0,70.0,unchanged
1000629,,,,5544.0,5541.0,72.0,newly_flagged
1000630,,,,5546.0,5541.0,72.0,newly_flagged
1000634,,,,5547.0,5541.0,72.0,newly_flagged
1000648,153928.0,21901.0,88.0,153928.0,21901.0,84.0,unchanged
1000649,153929.0,21901.0,88.0,153929.0,21901.0,84.0,unchanged
1000655,5573.0,5569.0,90.0,5573.0,5569.0,86.0,unchanged
1000657,5573.0,5569.0,90.0,5573.0,5569.0,86.0,unchanged
1000658,5570.0,5569.0,90.0,5570.0,5569.0,86.0,unchanged
1000661,5558.0,453995.0,92.0,5558.0,453995.0,88.0,unchanged
1000666,5576.0,221438.0,72.0,5576.0,221438.0,71.0,unchanged
1000672,535963.0,535975.0,98.0,535963.0,535974.0,94.0,recommendation_changed
1000679,5563.0,5569.0,90.0,5563.0,5569.0,86.0,unchanged
1000680,58523.0,5555.0,71.0,58523.0,5555.0,70.0,unchanged
1000681,5564.0,5555.0,71.0,5564.0,5555.0,70.0,unchanged
1000685,5580.0,221438.0,72.0,5580.0,221438.0,71.0,unchanged
1000692,,,,21893.0,21894.0,59.0,newly_flagged
1000698,,,,21904.0,21906.0,105.0,newly_flagged
1000711,,,,399.0,402.0,117.0,newly_flagged
1000727,221438.0,5576.0,59.0,221438.0,5576.0,58.0,unchanged
1000734,5522.0,5520.0,132.0,5522.0,5520.0,127.0,unchanged
1000738,,375316.0,135.0,,375316.0,130.0,unchanged
1000772,19689.0,19690.0,158.0,19689.0,19690.0,152.0,unchanged
1000775,19689.0,19690.0,158.0,19689.0,19690.0,152.0,unchanged
1000779,19840.0,426.0,164.0,19840.0,426.0,158.0,unchanged
1000782,5504.0,5509.0,166.0,5504.0,5509.0,160.0,unchanged
1000795,,383756.0,176.0,,383756.0,170.0,unchanged
1000803,236.0,19796.0,182.0,236.0,19796.0,176.0,unchanged
1000804,171195.0,7771.0,183.0,171195.0,7771.0,177.0,unchanged
1000808,19816.0,346.0,186.0,19816.0,346.0,143.0,unchanged
1000810,334.0,346.0,186.0,334.0,346.0,143.0,unchanged
1000816,5507.0,5509.0,166.0,5507.0,5509.0,160.0,unchanged
1000818,5504.0,5509.0,166.0,5504.0,5509.0,160.0,unchanged
1000828,5507.0,5509.0,166.0,5507.0,5509.0,160.0,unchanged
1000832,19676.0,19679.0,199.0,19676.0,19679.0,191.0,unchanged
1000836,19677.0,19676.0,200.0,19677.0,19676.0,192.0,unchanged
1000841,19709.0,5495.0,204.0,19709.0,5495.0,195.0,unchanged
1000849,19681.0,19678.0,208.0,,,,no_longer_flagged
1000850,19681.0,19678.0,208.0,,,,no_longer_flagged
1000851,19688.0,19678.0,208.0,,,,no_longer_flagged
1000864,19688.0,19678.0,208.0,19688.0,19681.0,198.0,recommendation_changed
1000866,19681.0,19678.0,208.0,,,,no_longer_flagged
1000867,19681.0,19678.0,208.0,,,,no_longer_flagged
1000884,19688.0,19704.0,225.0,,,,no_longer_flagged
1000885,19688.0,19704.0,225.0,,,,no_longer_flagged
1000886,,,,19693.0,19688.0,216.0,newly_flagged
1000887,19688.0,19704.0,225.0,,,,no_longer_flagged
1000892,5474.0,5472.0,229.0,5474.0,5472.0,219.0,unchanged
1000893,83807.0,5465.0,216.0,83807.0,5465.0,207.0,unchanged
1000970,10502.0,24265.0,273.0,10502.0,24265.0,257.0,unchanged
1000972,,725.0,275.0,,725.0,259.0,unchanged
1000990,19706.0,19708.0,284.0,19706.0,19708.0,267.0,unchanged
1000993,94692.0,296.0,286.0,94692.0,296.0,269.0,unchanged
1000995,296.0,285.0,25.0,296.0,285.0,24.0,unchanged
1000997,443.0,446.0,28.0,443.0,461.0,27.0,recommendation_changed
1001004,,,,381.0,19827.0,274.0,newly_flagged
1001005,,,,381.0,19827.0,274.0,newly_flagged
1001006,,,,381.0,19827.0,274.0,newly_flagged
1001010,,,,19849.0,461.0,27.0,newly_flagged
1001016,440.0,446.0,28.0,440.0,461.0,27.0,recommendation_changed
1001018,454.0,441.0,300.0,454.0,441.0,280.0,unchanged
1001049,219.0,218.0,310.0,219.0,218.0,289.0,unchanged
1001052,242.0,219.0,309.0,242.0,219.0,288.0,unchanged
1001054,19802.0,219.0,309.0,19802.0,219.0,288.0,unchanged
1001074,374.0,360.0,324.0,374.0,360.0,301.0,unchanged
1001075,,,,374.0,355.0,303.0,newly_flagged
1001096,400.0,388.0,338.0,400.0,395.0,297.0,recommendation_changed
1001100,,,,381.0,19827.0,274.0,newly_flagged
1001138,,,,484.0,491.0,339.0,newly_flagged
1001153,74844.0,19767.0,373.0,74844.0,19767.0,349.0,unchanged
1001187,205.0,238.0,391.0,205.0,238.0,366.0,unchanged
1001191,376203.0,63005.0,394.0,376203.0,63005.0,369.0,unchanged
1001194,221.0,19785.0,396.0,,,,no_longer_flagged
1001206,19831.0,405.0,399.0,19831.0,405.0,372.0,unchanged
1001212,19775.0,281919.0,393.0,19775.0,281919.0,368.0,unchanged
1001232,446.0,19848.0,408.0,446.0,19848.0,379.0,unchanged
1001245,268161.0,294.0,188.0,268161.0,294.0,181.0,unchanged
1001247,268161.0,294.0,188.0,268161.0,294.0,181.0,unchanged
1001251,19799.0,282.0,417.0,19799.0,282.0,388.0,unchanged
1001252,19804.0,290.0,418.0,19804.0,290.0,389.0,unchanged
1001256,268161.0,294.0,188.0,268161.0,294.0,181.0,unchanged
1001258,268161.0,294.0,188.0,268161.0,294.0,181.0,unchanged
1001259,320.0,294.0,188.0,320.0,294.0,181.0,unchanged
1001266,19821.0,19820.0,421.0,19821.0,19820.0,391.0,unchanged
1001279,,,,19819.0,19823.0,23.0,newly_flagged
1001280,40284.0,282.0,417.0,40284.0,282.0,388.0,unchanged
1001281,40284.0,282.0,417.0,40284.0,282.0,388.0,unchanged
1001282,279.0,19794.0,427.0,279.0,282.0,388.0,recommendation_changed
1001289,,,,19799.0,282.0,388.0,newly_flagged
1001292,286.0,282.0,436.0,286.0,282.0,403.0,unchanged
1001293,279.0,282.0,417.0,279.0,282.0,388.0,unchanged
1001303,495.0,484.0,363.0,495.0,491.0,339.0,recommendation_changed
1001307,505.0,484.0,363.0,505.0,491.0,339.0,recommendation_changed
1001344,,,,19794.0,282.0,388.0,newly_flagged
1001346,,,,19794.0,282.0,388.0,newly_flagged
1001373,244.0,232.0,475.0,244.0,232.0,440.0,unchanged
1001379,268161.0,298.0,375.0,268161.0,298.0,351.0,unchanged
1001382,255.0,232.0,475.0,255.0,232.0,440.0,unchanged
1001389,438.0,446.0,28.0,438.0,461.0,27.0,recommendation_changed
1001390,,,,446.0,461.0,27.0,newly_flagged
1001400,430.0,446.0,487.0,430.0,446.0,450.0,unchanged
1001401,302.0,323.0,412.0,302.0,323.0,383.0,unchanged
1001403,440.0,441.0,300.0,440.0,441.0,280.0,unchanged
1001404,,,,438.0,430.0,451.0,newly_flagged
1001405,438.0,446.0,487.0,438.0,446.0,450.0,unchanged
1001407,19843.0,438.0,490.0,19843.0,438.0,453.0,unchanged
1001409,232.0,244.0,476.0,232.0,244.0,441.0,unchanged
1001412,433.0,441.0,300.0,433.0,441.0,280.0,unchanged
1001415,433.0,446.0,28.0,433.0,461.0,27.0,recommendation_changed
1001422,,,,446.0,461.0,27.0,newly_flagged
1001427,392.0,238717.0,500.0,392.0,19827.0,274.0,recommendation_changed
1001435,,,,564.0,30685.0,468.0,newly_flagged
1001439,30689.0,30685.0,512.0,30689.0,30685.0,468.0,unchanged
1001462,19819.0,19823.0,422.0,19819.0,19823.0,392.0,unchanged
1001524,19825.0,375.0,551.0,19825.0,375.0,506.0,unchanged
1001532,766.0,732.0,555.0,766.0,732.0,510.0,unchanged
1001536,296.0,285.0,25.0,296.0,285.0,24.0,unchanged
1001538,296.0,285.0,25.0,296.0,285.0,24.0,unchanged
1001551,296.0,285.0,25.0,296.0,285.0,24.0,unchanged
1001556,94692.0,285.0,25.0,94692.0,285.0,24.0,unchanged
1001562,221.0,19785.0,396.0,,,,no_longer_flagged
1001572,221.0,19785.0,396.0,,,,no_longer_flagged
