NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
10,4,4,2
10001,9,9,2
10009,7,7,2
10010,25,25,8
10048,9,9,3
10052,9,9,3
10055,8,8,2
10057,9,9,4
10058,14,14,5
10065,6,6,4
10067,4,4,3
10069,10,10,2
10080,8,8,2
10081,7,7,2
10083,7,7,2
10105,9,9,4
10108,8,8,4
10109,3,3,3
10111,8,8,3
10123,8,8,2
10126,15,15,6
10129,13,13,5
10130,5,5,3
10131,9,9,4
10133,9,9,3
10134,6,6,2
10141,6,6,2
10143,5,5,2
10145,9,9,2
10147,7,7,2
10151,8,8,3
10153,8,8,3
10155,8,8,4
10164,8,8,2
10168,9,9,3
10176,9,9,4
10180,11,11,2
10182,7,7,2
10187,4,4,3
10188,6,6,3
10189,7,7,2
10190,9,9,2
10191,8,8,2
10192,8,8,2
10198,6,6,2
10201,8,8,3
10210,9,9,2
10216,7,7,2
10227,9,9,4
10233,12,12,3
10247,7,7,2
10266,11,11,2
1027,7,7,2
10272,9,9,3
10276,10,10,2
10284,9,9,3
10287,7,7,3
10291,10,10,2
10294,7,7,2
10300,10,10,5
10302,7,7,3
1032,7,7,2
1034,6,6,2
10342,6,6,5
10346,10,10,3
10348,8,8,2
10350,10,10,3
10357,8,8,2
1037,15,15,2
10379,8,8,4
1038,17,17,4
1040,6,6,2
10408,7,7,2
10422,8,8,3
10423,6,6,4
10425,8,8,2
10438,8,8,2
10439,9,9,2
10453,7,7,2
10458,12,12,5
10469,9,9,3
10480,7,7,2
10488,7,7,2
10490,7,7,2
105,5,5,2
10505,9,9,2
10510,9,9,2
10519,25,25,3
10532,9,9,4
10534,7,7,2
10536,6,6,2
10547,10,10,5
10558,9,9,2
10578,9,9,2
1058,17,17,5
10587,8,8,3
10596,8,8,3
10604,8,8,2
10605,7,7,2
10608,9,9,2
10609,9,9,2
10615,8,8,2
10617,21,21,7
10618,4,4,2
1062,10,10,3
10629,8,8,2
1063,7,7,2
10635,11,11,2
10639,8,8,3
10645,8,8,2
10646,9,9,3
10651,8,8,3
10661,8,8,2
10670,10,10,5
10673,8,8,3
10675,9,9,3
10680,9,9,2
10692,7,7,2
10693,2,2,2
10697,4,4,2
10704,7,7,2
10706,11,11,6
10720,9,9,2
10721,6,6,2
10739,7,7,3
10744,7,7,2
10757,8,8,2
10761,8,8,3
10767,7,7,2
10770,11,11,4
10785,11,11,2
10786,7,7,2
10788,8,8,2
10793,6,6,2
10794,8,8,2
10795,8,8,2
10799,9,9,2
10800,7,7,3
10807,7,7,2
10808,9,9,3
10822,7,7,2
10823,13,13,4
10830,9,9,2
1085,14,14,2
10851,8,8,3
10854,2,2,2
10856,7,7,2
1086,6,6,2
10864,7,7,2
10882,2,2,2
10887,11,11,3
10888,12,12,4
1089,7,7,2
10900,4,4,4
10904,4,4,2
10905,6,6,3
10924,8,8,2
10986,8,8,2
10990,8,8,2
10993,9,9,2
10997,8,8,2
11010,5,5,3
11012,8,8,2
11013,8,8,2
11014,8,8,3
11016,8,8,3
11017,4,4,3
11020,8,8,3
11023,8,8,3
11036,6,6,3
11037,21,21,8
11039,17,17,4
11068,10,10,3
11086,8,8,3
11087,5,5,2
11096,9,9,4
11099,8,8,2
11139,9,9,3
11140,8,8,3
11148,7,7,2
11149,12,12,2
11169,9,9,2
11182,7,7,2
11193,7,7,2
11200,7,7,2
11223,7,7,2
11225,11,11,4
11231,7,7,2
11233,8,8,3
11234,2,2,2
11240,8,8,2
11243,7,7,2
11244,6,6,2
11245,7,7,2
11248,3,3,2
11254,8,8,4
11258,5,5,2
11262,7,7,3
11266,7,7,3
11269,7,7,2
11278,7,7,2
11280,8,8,2
11287,11,11,4
11288,8,8,2
11295,10,10,4
11306,8,8,2
11309,7,7,2
11315,10,10,3
11328,14,14,6
11329,9,9,4
11359,6,6,3
11376,6,6,3
11380,7,7,2
11383,3,3,2
11384,10,10,2
11389,12,12,4
11420,9,9,2
11429,14,14,6
11431,9,9,4
11434,5,5,2
11469,7,7,2
11487,9,9,3
11490,9,9,2
11501,17,17,7
11503,9,9,2
11506,13,13,2
11510,7,7,2
11515,3,3,2
11519,8,8,3
11520,2,2,2
11524,7,7,2
1153,6,6,2
11532,9,9,3
11536,8,8,2
1154,8,8,2
11541,14,14,7
11544,13,13,4
11554,9,9,3
11562,10,10,4
11567,11,11,3
1157,7,7,4
11570,2,2,2
11571,13,13,4
11575,9,9,2
11581,8,8,2
11600,7,7,2
11608,12,12,2
11613,7,7,2
11614,12,12,2
11624,9,9,2
11632,9,9,4
11643,9,9,2
11644,7,7,2
11646,10,10,4
11647,8,8,2
11648,3,3,2
1165,6,6,2
11656,3,3,2
11658,6,6,2
11659,10,10,2
11660,10,10,2
11662,7,7,2
11668,12,12,4
11669,7,7,2
1167,8,8,2
11683,8,8,2
11689,9,9,2
1169,9,9,2
11692,8,8,2
1170,7,7,2
11701,7,7,2
11718,9,9,2
11723,9,9,4
11724,8,8,5
11732,6,6,3
11733,8,8,2
11770,8,8,2
11772,9,9,2
11777,8,8,3
11785,9,9,2
11797,25,25,2
11817,13,13,2
11843,6,6,2
1185,8,8,2
11858,6,6,2
11871,16,16,2
11878,7,7,2
11885,7,7,2
11901,10,10,2
11915,8,8,2
11919,8,8,2
11934,10,10,2
11946,12,12,5
11960,2,2,2
11980,9,9,2
11989,19,19,3
12002,7,7,2
12003,8,8,2
12010,19,19,3
12026,8,8,2
12033,8,8,2
12034,4,4,2
12039,4,4,2
1209,14,14,5
1215,9,9,2
12161,4,4,2
12164,3,3,2
12165,10,10,2
12170,14,14,2
1218,8,8,2
12184,76,76,5
12189,24,24,3
12190,8,8,2
12201,5,5,2
12203,10,10,2
12210,7,7,2
1222,8,8,2
12228,14,14,2
12231,8,8,2
12237,7,7,2
12238,13,13,2
1224,8,8,3
12241,7,7,4
12242,14,14,5
12243,14,14,6
12244,7,7,4
12245,7,7,2
12246,13,13,5
12247,6,6,2
12251,7,7,4
12269,8,8,3
12274,8,8,2
12275,14,14,5
12277,7,7,3
1228,6,6,2
12282,14,14,4
12286,10,10,2
12302,14,14,4
1231,6,6,5
12333,14,14,5
12334,7,7,3
12335,7,7,4
12337,6,6,4
12344,7,7,2
12346,7,7,2
12352,14,14,5
12353,7,7,2
12355,7,7,2
12358,7,7,5
12360,13,13,5
12361,7,7,5
12362,14,14,4
12363,7,7,4
12367,9,9,2
12370,7,7,4
12388,8,8,4
12395,7,7,2
12408,9,9,3
12423,7,7,2
12432,7,7,2
12438,8,8,2
12439,7,7,2
12440,8,8,2
12458,6,6,2
12464,6,6,2
12465,8,8,3
12469,8,8,3
12473,7,7,3
12476,39,39,21
12478,9,9,2
