BADGE,RECOMMENDED_TRANSFORMER,CONSENSUS_TIER,IN_V1,IN_V1_HIGH_CONF,IN_V2,IN_V2_HIGH_CONF,RECOMMENDATION_TYPE,BADGE_ADDRESS,BADGE_CITY,BADGE_FEEDERID,CURRENT_TX_FEEDERID,RECOMMENDED_TX_FEEDERID,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,V1_CLUSTER_SIZE,V1_MAPPED_PEERS,V1_CONFIDENCE_GAP,V1_MAJORITY_SHARE,V1_PEER_STABILITY,V1_RECOMMENDATION_STABILITY,V2_CLUSTER_SIZE,V2_MAPPED_PEERS,V2_CONFIDENCE_GAP,V2_MAJORITY_SHARE,V2_PEER_STABILITY,V2_RECOMMENDATION_STABILITY
1037817,13491,both_high_confidence,True,True,True,True,new_assignment,4409 ARGYLL CIR,COLO SPGS,13RI-9,,13RI-9,,62.2,6,5,1.0,1.0,1.0,1.0,6,5,1.0,1.0,1.0,1.0
1096654,536699,both_high_confidence,True,True,True,True,new_assignment,1329 VERDE DR,COLO SPGS,13HK-1,,,,29.6,6,4,1.0,1.0,1.0,1.0,6,4,1.0,1.0,1.0,1.0
1097124,535979,both_high_confidence,True,True,True,True,new_assignment,7716 RUSTIC TRAIL LOOP,COLO SPGS,12BG-22,,12BG-22,,26.2,10,7,1.0,1.0,0.7,0.889,11,7,1.0,1.0,0.967,1.0
1097145,536190,both_high_confidence,True,True,True,True,new_assignment,5348 DEVERS CT,COLO SPGS,12HZ-13,,12HZ-13,,21.6,10,8,1.0,1.0,0.825,0.889,8,6,1.0,1.0,1.0,1.0
1097161,537121,both_high_confidence,True,True,True,True,new_assignment,9242 ORO CITY LOOP,COLO SPGS,12FR-32,,12FR-32,,35.7,6,4,1.0,1.0,1.0,1.0,6,4,1.0,1.0,1.0,1.0
1097190,378639,both_high_confidence,True,True,True,True,new_assignment,208 DUSTY HILLS CT,COLO SPGS,12WN-24,,12WN-24,,65.9,5,4,1.0,1.0,0.972,1.0,5,4,1.0,1.0,0.917,1.0
1097208,536190,both_high_confidence,True,True,True,True,new_assignment,5396 DEVERS CT,COLO SPGS,12HZ-13,,12HZ-13,,29.7,10,8,1.0,1.0,0.889,1.0,8,6,1.0,1.0,1.0,1.0
1115523,3004,both_high_confidence,True,True,True,True,new_assignment,2427 E WILLAMETTE AVE,COLO SPGS,13RI-1,,13RI-1,,39.3,8,7,1.0,1.0,1.0,0.889,9,8,1.0,1.0,1.0,1.0
1179888,477901,both_high_confidence,True,True,True,True,new_assignment,5753 MIRELAND VW,COLO SPGS,12FR-32,,12FR-32,,16.1,7,6,1.0,1.0,0.907,0.889,7,6,1.0,1.0,1.0,1.0
1196646,449042,both_high_confidence,True,True,True,True,new_assignment,10748 LEWANEE PT,COLO SPGS,12KC-14,,12KC-14,,31.1,8,7,1.0,1.0,0.794,1.0,8,7,1.0,1.0,0.952,1.0
