BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1257453,,27371,17228,9,8,0,8,1.0,1.0,1.0,8,9,9,1.0
1232465,,525844,9821,8,7,0,7,1.0,1.0,1.0,7,9,9,1.0
1232532,,506639,2690,7,6,0,6,1.0,1.0,1.0,6,9,9,1.0
1232538,,536367,30851,7,6,0,6,1.0,1.0,1.0,6,9,9,1.0
1232979,,384663,4907,6,5,0,5,1.0,1.0,1.0,5,9,9,1.0
1232467,,497070,26053,6,5,0,5,1.0,1.0,1.0,5,9,9,1.0
1257706,,23720,12534,5,4,0,4,1.0,1.0,1.0,4,9,9,1.0
1097161,,537121,15850,6,4,0,4,1.0,1.0,1.0,5,9,9,1.0
1233002,,537121,15850,6,4,0,4,1.0,1.0,1.0,5,9,9,1.0
1096654,,536699,22071,6,4,0,4,1.0,1.0,1.0,5,9,9,1.0
1232993,,536699,22071,6,4,0,4,1.0,1.0,1.0,5,9,9,1.0
1240541,,536734,44623,6,4,0,4,1.0,1.0,1.0,5,9,9,1.0
1299377,,536734,44623,6,4,0,4,1.0,1.0,1.0,5,9,9,1.0
1113152,25813,14647,25080,14,14,1,13,0.9286,0.8571,1.0,13,9,9,1.0
1000727,221438,5576,59,13,13,1,12,0.9231,0.8462,1.0,12,9,9,1.0
1035302,286723,286724,3105,13,13,1,12,0.9231,0.8462,1.0,12,9,9,1.0
1090506,1307,1332,13456,12,12,1,11,0.9167,0.8333,1.0,11,9,9,1.0
1007408,10755,24394,855,11,11,1,10,0.9091,0.8182,1.0,10,9,9,1.0
1011409,6657,6551,1265,11,11,1,10,0.9091,0.8182,1.0,10,9,9,1.0
1300735,22426,6716,50217,11,11,1,10,0.9091,0.8182,1.0,10,9,9,1.0
1005541,280,294,486,10,10,1,9,0.9,0.8,1.0,9,9,9,1.0
1303089,5146,5165,1928,10,10,1,9,0.9,0.8,1.0,9,9,9,1.0
1096135,375313,375310,4893,10,10,1,9,0.9,0.8,1.0,9,9,9,1.0
1056582,376047,376048,7462,10,10,1,9,0.9,0.8,1.0,9,9,9,1.0
1128856,11940,11955,12030,10,10,1,9,0.9,0.8,1.0,9,9,9,1.0
1060487,370188,370187,12044,10,10,1,9,0.9,0.8,1.0,9,9,9,1.0
1079334,16151,16123,13784,10,10,1,9,0.9,0.8,1.0,9,9,9,1.0
1304023,22626,7050,29645,10,10,1,9,0.9,0.8,1.0,9,9,9,1.0
1145057,14487,14481,30667,10,10,1,9,0.9,0.8,1.0,9,9,9,1.0
1276470,93728,93727,30983,10,10,1,9,0.9,0.8,1.0,9,9,9,1.0
1189188,4310,4297,35101,10,10,1,9,0.9,0.8,1.0,9,9,9,1.0
1275629,23470,9007,42314,10,10,1,9,0.9,0.8,1.0,9,9,9,1.0
1097193,,391152,22008,6,5,0,4,0.8,0.8,1.0,5,9,9,1.0
1001688,327,322,528,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1004441,9224,23592,1471,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1025076,10149,10140,1698,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1005587,11328,11397,1841,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1018997,22934,22944,5093,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1024053,23997,23979,6397,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1034362,159048,159049,8883,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1039816,23622,23608,9957,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1044203,343808,343807,11027,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1045563,8972,8941,11268,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1048004,349595,349596,11703,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1057063,175356,172500,12793,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1079095,5431,5428,15855,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1282485,27349,19389,16048,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1071231,27374,27382,16095,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1076760,145602,130227,17633,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1089109,14423,14385,19761,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1116653,13710,13656,20481,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1119059,10750,429852,21973,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1123978,12282,12286,26217,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1189766,4538,4532,30767,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1157830,17404,17344,33488,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1164250,3234,21246,34469,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1277226,79004,93724,47327,9,9,1,8,0.8889,0.7778,1.0,8,9,9,1.0
1005526,351,347,438,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1005076,11956,24827,1116,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1004836,9983,23915,1615,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1119481,396227,430002,1650,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1006685,23950,23909,2040,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1025254,12705,25132,2351,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1023258,145275,235200,3184,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1132993,278401,168318,3967,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1013186,375723,23402,4008,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1270148,1870,378268,4062,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1015390,350091,350092,4063,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1095103,390688,390689,4452,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1135976,195839,263050,4830,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1020669,9073,9027,5518,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1022790,449229,449228,6088,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1040672,22392,22423,7206,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1041457,6408,6372,8288,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1037994,6431,6381,8317,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1032790,370316,370315,8540,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1037142,23585,9300,9487,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
1057413,14138,20530,12867,8,8,1,7,0.875,0.75,1.0,7,9,9,1.0
