BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY,BADGE_ADDRESS,BADGE_CITY,GIS_BADGE_LAT,GIS_BADGE_LON,BADGE_FEEDERID,BADGE_POINT_X,BADGE_POINT_Y,MODEL_BADGE_LAT,MODEL_BADGE_LON,MODEL_VS_GIS_LATLON_DISTANCE_M,LATLON_DISCREPANCY,CURRENT_TX_STRUCTNO,CURRENT_TX_FEEDERID,CURRENT_TX_SUBTYPE,CURRENT_TX_VAULTCD,CURRENT_TX_LAT,CURRENT_TX_LON,CURRENT_TX_KVA,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_SUBTYPE,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,RECOMMENDATION_TYPE
1257453,,27371,18416,9,8,0,8,1.0,1.0,1.0,8,5,5,1.0,,,38.761221970000001,-104.731833460000004,,-104.731833460000004,38.761221970000001,38.761222,-104.731833,0.0,False,,,,,,,,PD7883,12BY-34,UG Transformer Bank,RPRR-36,38.761268510000001,-104.731384739999996,25.000000000000000,,39.2,new_assignment
1232465,,525844,10585,8,7,0,7,1.0,1.0,1.0,7,5,5,1.0,10221 SPRY ST,COLO SPGS,38.978469099999998,-104.714841870000001,12BG-23,-104.714841870000001,38.978469099999998,38.978502,-104.714842,3.7,False,,,,,,,,,,,,,,,,,new_assignment
1265550,,384443,2488,7,6,0,6,1.0,1.0,1.0,6,5,5,1.0,,,38.977000590000003,-104.726174209999996,,-104.726174209999996,38.977000590000003,38.977,-104.726174,0.1,False,,,,,,,,,,,,,,,,,new_assignment
1232532,,506639,2922,7,6,0,6,1.0,1.0,1.0,6,5,5,1.0,7851 DESERT WRANGLER DR,COLO SPGS,38.945320639999998,-104.657901890000005,12FR-32,-104.657901890000005,38.945320639999998,38.945405,-104.657921,9.5,False,,,,,,,,,,,,,,,,,new_assignment
1257712,,7913,49901,7,6,0,6,1.0,1.0,1.0,6,5,5,1.0,,,38.931306669999998,-104.868123310000001,,-104.868123310000001,38.931306669999998,38.931307,-104.868123,0.0,False,,,,,,,,PD489,12OV-2,UG Transformer Bank,ROV-76,38.931102160000002,-104.868376620000006,25.000000000000000,,31.6,new_assignment
1232979,,384663,5220,6,5,0,5,1.0,1.0,1.0,5,5,5,1.0,8522 NOREEN FALLS DR,COLO SPGS,38.955262560000001,-104.714080260000003,12BG-22,-104.714080260000003,38.955262560000001,38.955235,-104.714083,3.1,False,,,,,,,,,,,,,,,,,new_assignment
1037817,,13491,10386,6,5,0,5,1.0,1.0,1.0,5,5,5,1.0,4409 ARGYLL CIR,COLO SPGS,38.866616870000001,-104.744909829999997,,-104.744909829999997,38.866616870000001,38.866617,-104.74491,0.0,False,,,,,,,,UG11178,13RI-9,UG Transformer Bank,RBW-17,38.867133799999998,-104.744887710000000,25.000000000000000,,57.5,new_assignment
1232467,,497070,28814,6,5,0,5,1.0,1.0,1.0,5,5,5,1.0,10650 WOLF LAKE DR,COLO SPGS,38.981125769999998,-104.720021450000004,12BG-23,-104.720021450000004,38.981125769999998,38.981127,-104.719986,3.1,False,,,,,,,,,,,,,,,,,new_assignment
1257706,,23720,13481,5,4,0,4,1.0,1.0,1.0,4,5,5,1.0,,,38.914094470000002,-104.868907429999993,,-104.868907429999993,38.914094470000002,38.914094,-104.868907,0.1,False,,,,,,,,PD12372,12WR-2,UG Transformer Bank,RMOS-150,38.914078369999999,-104.869248839999997,25.000000000000000,,29.6,new_assignment
1233002,,537121,17021,6,4,0,4,1.0,1.0,1.0,5,5,5,1.0,9238 ORO CITY LOOP,COLO SPGS,38.916165159999998,-104.656013639999998,12FR-32,-104.656013639999998,38.916165159999998,38.916163,-104.656015,0.3,False,,,,,,,,,,,,,,,,,new_assignment
