BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP
1054068,,390898,163,21,19,0,19,1.0,1.0
1054071,,390898,163,21,19,0,19,1.0,1.0
1135838,,396222,21805,12,11,0,11,1.0,1.0
1001986,,383756,711,11,10,0,10,1.0,1.0
1265551,,376736,6560,11,10,0,10,1.0,1.0
1137183,,3488,13330,11,10,0,10,1.0,1.0
1127180,,15729,18268,11,10,0,10,1.0,1.0
1257374,,6059,29077,11,10,0,10,1.0,1.0
1257558,,23110,43996,11,10,0,10,1.0,1.0
1257363,,24763,3405,10,9,0,9,1.0,1.0
1257657,,153917,14273,10,9,0,9,1.0,1.0
1257390,,16768,21464,10,9,0,9,1.0,1.0
1257372,,79965,2876,9,8,0,8,1.0,1.0
1257369,,444305,3057,10,8,0,8,1.0,1.0
1257371,,444305,3057,10,8,0,8,1.0,1.0
1030513,,2516,7920,9,8,0,8,1.0,1.0
1059970,,20874,13728,9,8,0,8,1.0,1.0
1257379,,430001,14690,9,8,0,8,1.0,1.0
1257453,,27371,17228,9,8,0,8,1.0,1.0
1097145,,536190,22226,10,8,0,8,1.0,1.0
1097208,,536190,22226,10,8,0,8,1.0,1.0
1135830,,2641,30357,9,8,0,8,1.0,1.0
1112173,,506653,4155,8,7,0,7,1.0,1.0
1127228,,530639,8759,8,7,0,7,1.0,1.0
1145044,,477906,8838,8,7,0,7,1.0,1.0
1232465,,525844,9821,8,7,0,7,1.0,1.0
1225730,,537451,9965,11,7,0,7,1.0,1.0
1039290,,537451,9965,11,7,0,7,1.0,1.0
1225731,,537451,9965,11,7,0,7,1.0,1.0
1228733,,537451,9965,11,7,0,7,1.0,1.0
1257649,,161599,14967,8,7,0,7,1.0,1.0
1082158,,20106,18836,8,7,0,7,1.0,1.0
1232507,,535979,22217,10,7,0,7,1.0,1.0
1097124,,535979,22217,10,7,0,7,1.0,1.0
1232483,,535979,22217,10,7,0,7,1.0,1.0
1232497,,444308,22218,8,7,0,7,1.0,1.0
1233024,,535977,22221,8,7,0,7,1.0,1.0
1232503,,536187,22246,10,7,0,7,1.0,1.0
1232964,,536187,22246,10,7,0,7,1.0,1.0
1232555,,536187,22246,10,7,0,7,1.0,1.0
1115523,,3004,25619,8,7,0,7,1.0,1.0
1196646,,449042,25921,8,7,0,7,1.0,1.0
1232528,,506687,26035,8,7,0,7,1.0,1.0
1132422,,54370,29231,8,7,0,7,1.0,1.0
1209985,,3278,34855,8,7,0,7,1.0,1.0
1265550,,384443,2282,7,6,0,6,1.0,1.0
1008085,,6229,2522,7,6,0,6,1.0,1.0
1232532,,506639,2690,7,6,0,6,1.0,1.0
1013016,,194556,3665,7,6,0,6,1.0,1.0
1037179,,384088,4447,7,6,0,6,1.0,1.0
1257431,,343214,8155,7,6,0,6,1.0,1.0
1031540,,85727,8200,7,6,0,6,1.0,1.0
1045709,,23142,11306,7,6,0,6,1.0,1.0
1109514,,536226,12716,7,6,0,6,1.0,1.0
1281577,,449046,12747,7,6,0,6,1.0,1.0
1225733,,487549,19119,8,6,0,6,1.0,1.0
1088265,,487549,19119,8,6,0,6,1.0,1.0
1257422,,17101,21184,7,6,0,6,1.0,1.0
1179888,,477901,22236,7,6,0,6,1.0,1.0
1232533,,389930,22269,7,6,0,6,1.0,1.0
1257419,,4489,23532,7,6,0,6,1.0,1.0
1257693,,177915,24382,7,6,0,6,1.0,1.0
1232538,,536367,30851,7,6,0,6,1.0,1.0
1143192,,20157,31418,7,6,0,6,1.0,1.0
1257426,,20603,36909,7,6,0,6,1.0,1.0
1257440,,21487,38921,7,6,0,6,1.0,1.0
1257444,,24984,39957,7,6,0,6,1.0,1.0
1000526,,1517,4,6,5,0,5,1.0,1.0
1000795,,383756,171,6,5,0,5,1.0,1.0
1044086,,535970,3507,6,5,0,5,1.0,1.0
1285307,,378461,4543,6,5,0,5,1.0,1.0
1232979,,384663,4907,6,5,0,5,1.0,1.0
1152875,,7010,8253,6,5,0,5,1.0,1.0
1125482,,444304,9345,6,5,0,5,1.0,1.0
1037817,,13491,9630,6,5,0,5,1.0,1.0
1137848,,139208,10770,6,5,0,5,1.0,1.0
1232529,,506690,12829,6,5,0,5,1.0,1.0
1059721,,4744,13647,6,5,0,5,1.0,1.0
1278656,,16010,19437,6,5,0,5,1.0,1.0
1090429,,20961,20204,6,5,0,5,1.0,1.0
1247846,,14575,20649,6,5,0,5,1.0,1.0
1232488,,536372,22222,6,5,0,5,1.0,1.0
1232949,,537134,26039,6,5,0,5,1.0,1.0
1232467,,497070,26053,6,5,0,5,1.0,1.0
1257655,,3369,30158,6,5,0,5,1.0,1.0
1150133,,21399,31935,6,5,0,5,1.0,1.0
1257361,,640,44418,6,5,0,5,1.0,1.0
1233030,,477883,44518,7,5,0,5,1.0,1.0
1233031,,477883,44518,7,5,0,5,1.0,1.0
1232942,,535978,44527,7,5,0,5,1.0,1.0
1232961,,535978,44527,7,5,0,5,1.0,1.0
1097190,,378639,4068,5,4,0,4,1.0,1.0
1257706,,23720,12534,5,4,0,4,1.0,1.0
1066542,,4753,14951,5,4,0,4,1.0,1.0
1097161,,537121,15850,6,4,0,4,1.0,1.0
1233002,,537121,15850,6,4,0,4,1.0,1.0
1096654,,536699,22071,6,4,0,4,1.0,1.0
1232993,,536699,22071,6,4,0,4,1.0,1.0
1187454,,3296,38511,5,4,0,4,1.0,1.0
1240541,,536734,44623,6,4,0,4,1.0,1.0
1299377,,536734,44623,6,4,0,4,1.0,1.0
1014074,,525843,4422,8,3,0,3,1.0,1.0
1233018,,525843,4422,8,3,0,3,1.0,1.0
1233026,,525843,4422,8,3,0,3,1.0,1.0
1096704,,525843,4422,8,3,0,3,1.0,1.0
1097172,,525843,4422,8,3,0,3,1.0,1.0
1020798,,1358,5561,4,3,0,3,1.0,1.0
1069017,,20540,15495,4,3,0,3,1.0,1.0
1084087,,27284,19502,4,3,0,3,1.0,1.0
1232476,,391276,22235,4,3,0,3,1.0,1.0
1257430,,17057,22596,4,3,0,3,1.0,1.0
1257454,,5210,24005,4,3,0,3,1.0,1.0
1257455,,14008,25698,4,3,0,3,1.0,1.0
1232505,,535483,26036,5,3,0,3,1.0,1.0
1232552,,535483,26036,5,3,0,3,1.0,1.0
1233022,,535995,26042,4,3,0,3,1.0,1.0
1149577,,10559,32584,4,3,0,3,1.0,1.0
1280972,,428,648,3,2,0,2,1.0,1.0
1060426,,26961,13911,3,2,0,2,1.0,1.0
1130929,,62688,17123,3,2,0,2,1.0,1.0
1074805,,4623,17201,3,2,0,2,1.0,1.0
1133642,,2256,27274,3,2,0,2,1.0,1.0
1257661,,536189,29769,4,2,0,2,1.0,1.0
1133665,,536189,29769,4,2,0,2,1.0,1.0
1253760,,14484,33757,3,2,0,2,1.0,1.0
1233901,,873,39512,3,2,0,2,1.0,1.0
1232953,,391281,44529,4,2,0,2,1.0,1.0
1232956,,391281,44529,4,2,0,2,1.0,1.0
1000524,,3771,3,2,1,0,1,1.0,1.0
1000972,,725,262,2,1,0,1,1.0,1.0
1011278,,364699,820,2,1,0,1,1.0,1.0
1007679,,120619,2419,2,1,0,1,1.0,1.0
1007953,,25375,2488,2,1,0,1,1.0,1.0
1008423,,1697,2594,2,1,0,1,1.0,1.0
1011947,,536652,3580,2,1,0,1,1.0,1.0
1012567,,3292,3617,2,1,0,1,1.0,1.0
1023321,,4,6218,2,1,0,1,1.0,1.0
1137991,,344171,13375,3,1,0,1,1.0,1.0
1137993,,344171,13375,3,1,0,1,1.0,1.0
1062586,,1532,14419,2,1,0,1,1.0,1.0
1097179,,63015,14517,7,1,0,1,1.0,1.0
1277413,,63015,14517,7,1,0,1,1.0,1.0
1232509,,63015,14517,7,1,0,1,1.0,1.0
1063054,,63015,14517,7,1,0,1,1.0,1.0
1083443,,63015,14517,7,1,0,1,1.0,1.0
1304899,,63015,14517,7,1,0,1,1.0,1.0
1073864,,23032,16962,2,1,0,1,1.0,1.0
1097547,,130219,20787,2,1,0,1,1.0,1.0
1190431,,405755,22213,2,1,0,1,1.0,1.0
1257411,,11934,28915,2,1,0,1,1.0,1.0
1133354,,473024,29603,2,1,0,1,1.0,1.0
1133393,,21114,29620,2,1,0,1,1.0,1.0
1248301,,248004,29791,2,1,0,1,1.0,1.0
1164441,,3667,34528,2,1,0,1,1.0,1.0
1169183,,20955,35528,2,1,0,1,1.0,1.0
1232983,,525836,35970,5,1,0,1,1.0,1.0
1232474,,525836,35970,5,1,0,1,1.0,1.0
1170849,,525836,35970,5,1,0,1,1.0,1.0
1270658,,525836,35970,5,1,0,1,1.0,1.0
1187889,,21516,38581,2,1,0,1,1.0,1.0
1202842,,473134,39043,2,1,0,1,1.0,1.0
1257712,,7913,44572,2,1,0,1,1.0,1.0
1257447,,1086,44574,2,1,0,1,1.0,1.0
1257367,,258564,44867,2,1,0,1,1.0,1.0
1257370,,11985,44869,2,1,0,1,1.0,1.0
1257409,,22735,44873,2,1,0,1,1.0,1.0
1257410,,23433,44874,2,1,0,1,1.0,1.0
1257413,,5051,44876,2,1,0,1,1.0,1.0
1257414,,264325,44877,2,1,0,1,1.0,1.0
1257418,,27159,44878,2,1,0,1,1.0,1.0
1257424,,25542,44880,2,1,0,1,1.0,1.0
1257425,,665,44881,2,1,0,1,1.0,1.0
1257443,,26678,44882,2,1,0,1,1.0,1.0
1257445,,16576,44883,2,1,0,1,1.0,1.0
1257557,,4830,44889,2,1,0,1,1.0,1.0
1257569,,377629,44892,2,1,0,1,1.0,1.0
1257596,,476,44897,2,1,0,1,1.0,1.0
1257653,,14180,44909,2,1,0,1,1.0,1.0
1257360,,111662,30746,12,10,0,9,0.9,0.9
1257421,,111662,30746,12,10,0,9,0.9,0.9
1036407,,390901,2814,21,19,0,17,0.8947,0.8947
1058251,,390901,2814,21,19,0,17,0.8947,0.8947
1093931,18332,18361,21130,19,19,1,18,0.9474,0.8947
1116688,14342,25725,25250,19,19,1,18,0.9474,0.8947
1093870,18361,18332,21401,18,18,1,17,0.9444,0.8889
1111512,25725,25720,24685,18,18,1,17,0.9444,0.8889
1216206,26575,26568,42166,18,18,1,17,0.9444,0.8889
1232493,,473122,4525,10,9,0,8,0.8889,0.8889
1116256,14318,14342,1057,17,17,1,16,0.9412,0.8824
1080154,15897,15893,1077,17,17,1,16,0.9412,0.8824
1121136,19423,3567,11956,16,16,1,15,0.9375,0.875
1205993,2961,2920,30821,15,15,1,14,0.9333,0.8667
1007399,24891,24882,2308,14,14,1,13,0.9286,0.8571
1113152,25813,14647,25080,14,14,1,13,0.9286,0.8571
1287801,370272,370271,44334,14,14,1,13,0.9286,0.8571
1233000,,506645,22974,8,7,0,6,0.8571,0.8571
1000727,221438,5576,59,13,13,1,12,0.9231,0.8462
1008326,24698,24718,1657,13,13,1,12,0.9231,0.8462
1035302,286723,286724,3105,13,13,1,12,0.9231,0.8462
1043269,156167,129268,7202,13,13,1,12,0.9231,0.8462
1046471,376998,376999,11441,13,13,1,12,0.9231,0.8462
1075914,273278,282235,17442,13,13,1,12,0.9231,0.8462
1076628,284155,282241,17606,13,13,1,12,0.9231,0.8462
1115784,25577,25583,24778,13,13,1,12,0.9231,0.8462
1153307,280967,280968,33114,13,13,1,12,0.9231,0.8462
1011710,375502,375501,3473,12,12,1,11,0.9167,0.8333
1131849,345084,20786,4821,12,12,1,11,0.9167,0.8333
1034941,263366,263367,7271,12,12,1,11,0.9167,0.8333
1032627,345249,345246,8502,12,12,1,11,0.9167,0.8333
1090506,1307,1332,13456,12,12,1,11,0.9167,0.8333
1188497,3217,3178,15976,12,12,1,11,0.9167,0.8333
1301788,6754,22426,17056,12,12,1,11,0.9167,0.8333
1145065,25814,25784,23853,12,12,1,11,0.9167,0.8333
1186812,26106,26118,28432,12,12,1,11,0.9167,0.8333
1207997,930,928,30809,12,12,1,11,0.9167,0.8333
1187401,365119,365120,34859,12,12,1,11,0.9167,0.8333
1270187,10991,10968,42503,12,12,1,11,0.9167,0.8333
1303966,22424,22401,50827,12,12,1,11,0.9167,0.8333
1257651,,6101,39209,7,6,0,5,0.8333,0.8333
1007408,10755,24394,855,11,11,1,10,0.9091,0.8182
1011409,6657,6551,1265,11,11,1,10,0.9091,0.8182
1025480,33260,33259,1677,11,11,1,10,0.9091,0.8182
1009393,375324,375325,2768,11,11,1,10,0.9091,0.8182
1020546,9204,9212,3257,11,11,1,10,0.9091,0.8182
1034950,177601,177602,3740,11,11,1,10,0.9091,0.8182
1054417,365058,365056,3832,11,11,1,10,0.9091,0.8182
1275390,390509,390508,4318,11,11,1,10,0.9091,0.8182
1035783,306237,319035,6047,11,11,1,10,0.9091,0.8182
1029649,370383,370384,6053,11,11,1,10,0.9091,0.8182
1029681,370384,370382,6067,11,11,1,10,0.9091,0.8182
1095085,420288,420286,6622,11,11,1,10,0.9091,0.8182
1030156,6227,6181,7289,11,11,1,10,0.9091,0.8182
1033222,285128,285129,8639,11,11,1,10,0.9091,0.8182
1034753,292159,292158,8978,11,11,1,10,0.9091,0.8182
