BADGE,CLUSTER
1000512,0
1202843,0
1000519,1
1001474,2
1001475,2
1000521,2
1001158,2
1001488,2
1001491,2
1001147,2
1000524,3
1000526,4
1125405,4
1125406,4
1125407,4
1124669,4
1124670,4
1124671,4
1125478,4
1125479,4
1125521,4
1125522,4
1000530,5
1000588,5
1000527,5
1000589,5
1000587,6
1000590,6
1000528,6
1000529,6
1002916,7
1000531,7
1000532,7
1003549,7
1000557,7
1000533,8
1000571,8
1000573,8
1000541,8
1000555,8
1000558,9
1000534,9
1000572,9
1000539,9
1000540,9
1000556,9
1000535,10
1001613,11
1001606,11
1000536,11
1000538,12
1000542,13
1005490,13
1005857,13
1000543,14
1027356,15
1027357,15
1000544,15
1032422,15
1255013,15
1262344,15
1000545,16
1000546,17
1000547,18
1001733,18
1001729,18
1001732,18
1000549,19
1000550,20
1012541,21
1012540,21
1000552,21
1000553,22
1000559,23
1000961,23
1001352,23
1000802,23
1001354,23
1000805,23
1000820,23
1000822,23
1001279,24
1000560,24
1005528,24
1000561,25
1001771,25
1001772,25
1001773,25
1001774,25
1000995,25
1001551,25
1001556,25
1001536,25
1053715,25
1001538,25
1000562,26
1002036,27
1000927,27
1000563,27
1002039,27
1002038,27
1000870,27
1001783,27
1001009,27
1001415,28
1000564,28
1000565,28
1000997,28
1001389,28
1001390,28
1001422,28
1001016,28
1000566,29
1000567,30
1048857,30
1000568,31
1000569,32
1000570,33
1000575,34
1006071,34
1000576,35
1007774,35
1032123,36
1032124,36
1000577,36
1032129,36
1032130,36
1035983,37
1045426,37
1035986,37
1043457,37
1000578,37
1036002,37
1000579,38
1026305,39
1000580,39
1004104,39
1026302,39
1026303,39
1048685,40
1009071,40
1009073,40
1000581,40
1247605,40
1009025,40
1018731,41
1018766,41
1018767,41
1019166,41
1019168,41
1019169,41
1000582,41
1028718,42
1020611,42
1019290,42
1049023,42
1000583,42
1135522,42
1023322,43
1023323,43
1023324,43
1023325,43
1023232,43
1023308,43
1023309,43
1000584,43
1048746,44
1019710,44
1019711,44
1019713,44
1019725,44
1019693,44
1000585,44
1012837,44
1030179,45
1030245,45
1030180,45
1030244,45
1030181,45
1031036,45
1000586,45
1000591,46
1000592,47
1000593,47
1000594,48
1000595,49
1002466,49
1008574,49
1002413,49
1002415,49
1008702,49
1008575,49
1008705,49
1025395,50
1025396,50
1025397,50
1097559,50
1000596,50
1025016,50
1052771,50
1009080,50
1073440,51
1000597,51
1012979,51
1021664,51
1026455,51
1012895,51
1026457,51
1120005,51
1020286,52
1020288,52
1000599,52
1018874,52
1018876,52
1027255,52
1018818,52
1020248,53
1000600,53
1020847,53
1020848,53
1020849,53
1020893,53
1071147,54
1135666,54
1004534,54
1000601,54
1004536,54
1004537,54
1052844,54
1012962,54
1004586,54
1073680,55
1000602,55
1000603,56
1000604,57
1000605,58
1000626,59
1012852,59
1000606,59
1000652,59
1000683,59
1000726,59
1000653,59
1000654,59
1000724,59
1000725,59
1000623,59
1000727,59
1000625,59
1000628,60
1000607,60
1000608,61
1000693,61
1000609,62
1011271,63
1000610,63
1000712,64
1000713,64
1000714,64
1000611,64
1000715,64
1003768,64
1000612,65
1000613,65
1000614,65
1078904,66
1078026,66
1078908,66
1078909,66
1078910,66
1078911,66
1098310,66
1000615,66
1078025,66
1094874,66
1078898,66
1000616,67
1000663,67
1000665,67
1000617,68
1000618,69
1000620,70
1000690,71
1000680,71
1000681,71
1000622,71
1000664,72
1000666,72
1000651,72
1000684,72
1000685,72
1000624,72
1000627,73
1000629,74
1000630,75
1048644,76
1000633,76
1000634,77
1000635,78
1000636,79
1000637,80
1000638,81
1274144,81
1000639,82
1000640,83
1000641,84
1000642,85
1000646,86
1000643,86
1000645,87
1048650,87
1005546,88
1000647,88
1000648,88
1000649,88
1003771,88
1003773,88
1000650,89
1070913,90
1000679,90
1000682,90
1000655,90
1000657,90
1000658,90
1000656,91
1000661,92
1000662,92
1000659,92
1000660,92
1000667,93
1000668,94
1000669,95
1000670,96
1000671,97
1225674,97
1147604,98
1119008,98
1097174,98
1000672,98
1300849,98
1021172,98
1154913,98
1114108,98
1109410,98
1197071,98
1233024,98
1097149,98
1202175,98
1097127,98
1232972,98
1119294,98
1000673,99
1194984,100
1000675,100
1000676,100
1000677,100
1000678,101
1037243,102
1037246,102
1037194,102
1037199,102
1037200,102
1000686,102
1037202,102
1000687,103
1048653,103
1000688,104
1000689,105
1000692,106
1000694,107
1000695,108
1048658,108
1000696,109
1000697,109
1000698,110
1001030,111
1005911,111
1000699,111
1000787,112
1000700,112
1000701,113
1000702,114
1000703,115
1000704,116
1000705,117
1000706,118
1037818,118
1000707,119
1000708,120
1000709,121
1002068,122
1000711,122
1000716,123
1000717,124
1000719,125
1000722,126
1000720,126
1000721,127
1000723,127
1000737,128
1000728,128
1000729,129
1000730,130
1000731,130
1000733,131
1000734,132
1002946,132
1000735,133
1000736,134
1000738,135
1052408,135
1059467,135
1052811,135
1014291,135
1012770,135
1000739,136
1000740,137
1000741,138
1000742,138
1001962,139
1001961,139
1000743,139
1000744,140
1000745,141
1000746,142
1000747,143
1000748,144
1000749,145
1000750,145
1000751,146
1000752,147
1003732,148
1003733,148
1003735,148
1000753,148
1005919,148
1005921,148
1000754,149
1000755,149
1001916,149
1000764,150
1000766,150
1000767,150
1000756,150
1000757,150
1000759,150
1000765,151
1000801,151
1000963,151
1001645,151
1001529,151
1000758,151
1000762,152
1000763,152
1003598,152
1304323,152
1003647,152
1000760,152
1000761,153
1000768,154
1000769,155
1000770,156
1307782,156
1273090,156
1307785,156
1012971,157
1052499,157
1000831,157
1001901,157
1000771,157
1002183,157
1048673,157
1000772,158
1000775,158
1003636,158
1003637,158
1003638,158
1003639,158
1000773,159
1000774,160
1003605,160
1000781,160
1003607,160
1000783,160
1003606,160
1000776,161
1000777,162
1000778,163
1000779,164
1005878,164
1001144,164
1000856,164
1000780,165
1000828,166
1000829,166
1000830,166
1003589,166
1000782,166
1000816,166
1003641,166
1003642,166
1000818,166
1136928,166
1000784,167
1000785,168
1005931,169
1005932,169
1005933,169
1000844,169
1000788,169
1000789,170
1003628,171
1003810,171
1003673,171
1003705,171
1003675,171
1000790,171
1000791,172
1000792,173
1000793,174
1003815,175
1000794,175
1000795,176
1024978,176
1008613,176
1115655,176
1026058,176
1004029,176
1014998,176
1000796,177
1000797,178
1000798,179
1003603,179
1003671,179
1003805,179
1003580,179
1003581,179
1003813,179
1000799,180
1003660,180
1012823,180
1003802,180
1003803,180
1003804,180
1003582,180
1003734,181
1005920,181
1000800,181
1000803,182
1001646,182
1039777,182
1001656,182
1020045,182
1001658,182
1001657,182
1000804,183
1003657,183
1000806,184
1000960,184
1000807,185
1000809,186
1000808,186
1001989,186
1000810,186
1000811,187
1001348,187
1001349,187
1001247,188
1001256,188
1001258,188
1001259,188
1001037,188
1000812,188
1001038,188
1014599,188
1001245,188
1001917,189
1000813,189
1000814,189
1001039,189
1000852,189
1003745,189
1001242,189
1000815,190
1001837,190
1001838,190
1000817,191
1000819,192
1003572,192
1003573,192
1003575,192
1001806,193
1000821,193
1001372,193
1003659,194
1005511,194
1001036,194
1000854,194
1000855,194
1000823,194
1000824,195
1000902,196
1000825,196
1003817,197
1000859,197
1000826,197
1000827,198
1000835,199
1003794,199
1000832,199
1000834,199
1005862,200
1005863,200
1005864,200
1000833,200
1005865,200
1000836,200
1003717,201
1003718,201
1003719,201
1000837,201
1000839,201
1003716,201
1000838,202
1000924,203
1000843,203
1000840,203
1000926,204
1000841,204
1000842,204
1218892,205
1218894,205
1217222,205
1217223,205
1000845,205
1217744,205
1217746,205
1218877,205
1218879,205
1000994,206
1003798,206
1000846,206
1000847,206
1011585,206
1000848,207
1003720,208
1000864,208
1003721,208
1000866,208
1000867,208
1003722,208
1003723,208
1000849,208
1000850,208
1000851,208
1001919,209
1000857,209
1000858,209
1000860,210
1000861,211
1001987,211
1000862,212
1000863,213
1000865,214
1000868,215
1005464,215
1000875,215
1000869,216
1003785,216
1003784,216
1000893,216
1000871,217
1001012,218
1000872,218
1000873,218
1000874,219
1000876,220
1001029,221
1001031,221
1000877,221
1000878,221
1000879,221
1059099,222
1000880,222
1000882,222
1012807,222
1000881,223
1000977,224
1276193,224
1000883,224
1005468,225
1001971,225
1003661,225
1003663,225
1005506,225
1005507,225
1005508,225
1005509,225
1003700,225
1003702,225
1003706,225
1003708,225
1003583,225
1005930,225
1000884,225
1000885,225
1003744,225
1000887,225
1003747,225
1000886,226
1006282,227
1013139,227
1006284,227
1006031,227
1048631,227
1052550,227
1007178,227
1000888,227
1007180,227
1000890,227
1000891,227
1006010,228
1000889,228
1006651,228
1006012,228
1000892,229
1003686,229
1007674,229
1007676,229
1000894,230
1048652,231
1003684,231
1000895,231
1000896,232
1002172,232
1002173,232
1002174,232
1009229,232
1000897,233
1009227,233
1009210,233
1009212,233
1009216,233
1009217,233
1000898,234
1009230,234
1009231,234
1009232,234
1009233,234
1262434,234
1132902,234
1255998,234
1249675,234
1003649,234
1072293,235
1000899,235
1119860,235
1052579,235
1009211,235
1000900,236
1000901,236
1000903,237
1000904,238
1000905,238
1000906,239
1000910,240
1000907,240
1000908,241
1000909,241
1000918,242
1000911,242
1000934,243
1009172,243
1009173,243
1000912,243
1000913,243
1000914,243
1000915,243
1001697,243
1000916,244
1000917,245
1000919,245
1002246,245
1002247,245
1000939,246
1000920,246
1000938,246
1000923,246
1000921,247
1005895,248
1000922,248
1005897,248
1000925,249
1014634,249
1002034,249
1000928,250
1000929,250
1000930,250
1008814,250
1008817,250
1002541,250
1010527,250
1010891,250
1000931,251
1000932,252
1000933,252
1000935,252
1000936,253
1000937,254
1000940,255
1000941,256
1000943,256
1000942,257
1000966,258
1000944,258
1000945,258
1000946,258
1009411,258
1009221,259
1007285,259
1009259,259
1002338,259
1002340,259
1002343,259
1000947,259
1002266,260
1000959,260
1009241,260
1000948,260
1009214,260
1009215,260
1009280,260
1000949,261
1009284,262
1007282,262
1009285,262
1009263,262
1000950,262
1000951,262
1014637,262
1009282,262
1009283,262
1009577,263
1009514,263
1009515,263
1009516,263
1009517,263
1048601,263
1048602,263
1010212,263
1000952,263
1009575,263
1002394,264
1002395,264
1008842,264
1008843,264
1008844,264
1008845,264
1306866,264
1000953,264
1045515,265
1108976,265
1288596,265
1308184,265
1119445,265
1002714,265
1266724,265
1148147,265
1000954,265
1058385,265
1001125,266
1005629,266
1002430,266
1000955,266
1000956,267
1000957,267
1000958,267
1009238,267
1009240,267
1007498,267
1000962,268
1000964,269
1009281,269
1005276,270
1007613,270
1000965,270
1000967,270
1007626,270
1007627,270
1007628,270
1007570,270
1007571,270
1007573,270
1134114,271
1131030,271
1000968,271
1010941,271
1008450,272
1008451,272
1000969,272
1002592,273
1002595,273
1000970,273
1011457,273
1007338,273
1002615,273
1052860,273
1008447,274
1000971,274
1008438,274
1008439,274
1008440,274
1008446,274
1000972,275
1000973,275
1000974,276
1001696,276
1001117,277
1001118,277
1000975,277
1001115,277
1000976,278
1001032,279
1001033,279
1001035,279
1000978,279
1000979,279
1000980,280
1000981,281
1000983,281
1000982,282
1001025,283
1001026,283
1000984,283
1000985,283
1000986,283
1000987,283
1000988,284
1000989,284
1000990,284
1000991,284
1003821,284
1001027,284
1000992,285
1034078,286
1001559,286
1000993,286
1000996,287
1000999,287
1000998,288
1001000,289
1001001,290
1001003,290
1001101,290
1001102,290
1001103,290
1001002,291
1001004,292
1001006,292
1001100,292
1001005,293
1001007,294
1001008,295
1001010,296
