transf_id,badge
31358,1000512
19827,1000519
19834,1000521
3771,1000524
1517,1000526
384765,1000527
384765,1000528
384765,1000529
384765,1000530
3575,1000531
3575,1000532
3575,1000533
3575,1000534
455,1000535
190715,1000536
609,1000538
3575,1000539
3575,1000540
3575,1000541
5529,1000542
19796,1000543
23485,1000544
255,1000545
218,1000546
19790,1000547
19791,1000549
302,1000550
501900,1000552
2660,1000553
3575,1000555
3575,1000556
3575,1000557
3575,1000558
211,1000559
19819,1000560
296,1000561
349,1000562
466,1000563
19848,1000564
461,1000565
466,1000566
10164,1000567
716,1000568
414,1000569
87332,1000570
3575,1000571
3575,1000572
3575,1000573
10671,1000575
19902,1000576
344923,1000577
22413,1000578
344460,1000579
13088,1000580
10139,1000581
23035,1000582
9013,1000583
9182,1000584
23500,1000585
6833,1000586
384765,1000587
384765,1000588
384765,1000589
384765,1000590
689,1000591
689,1000592
689,1000593
689,1000594
11527,1000595
10197,1000596
13414,1000597
9271,1000599
8987,1000600
23357,1000601
23336,1000602
5572,1000603
5566,1000604
5557,1000605
5576,1000606
21894,1000607
5592,1000608
307195,1000609
21895,1000610
5578,1000611
5579,1000612
5579,1000613
5579,1000614
18160,1000615
5581,1000616
5576,1000617
5575,1000618
5568,1000620
5565,1000622
5576,1000623
221438,1000624
5576,1000625
5576,1000626
5541,1000627
21894,1000628
5544,1000629
5546,1000630
21902,1000633
5547,1000634
5560,1000635
5571,1000636
5560,1000637
5554,1000638
5553,1000639
5551,1000640
27472,1000641
5552,1000642
5577,1000643
5552,1000645
5577,1000646
21901,1000647
153928,1000648
153929,1000649
21897,1000650
221438,1000651
5576,1000652
5576,1000653
5576,1000654
5573,1000655
4459,1000656
5573,1000657
5570,1000658
453995,1000659
453995,1000660
5558,1000661
453995,1000662
5579,1000663
221438,1000664
5579,1000665
5576,1000666
5589,1000667
21882,1000668
5590,1000669
275195,1000670
5550,1000671
5549,1000672
5548,1000673
5537,1000675
5537,1000676
5537,1000677
5540,1000678
5563,1000679
58523,1000680
5564,1000681
5569,1000682
5576,1000683
221438,1000684
5580,1000685
44448,1000686
5582,1000687
5568,1000688
5582,1000689
21893,1000692
5592,1000693
21892,1000694
21898,1000695
5588,1000696
5588,1000697
21904,1000698
5486,1000699
5512,1000700
5514,1000701
5514,1000702
5513,1000703
5508,1000704
5510,1000705
5506,1000706
21877,1000707
503,1000708
410,1000709
399,1000711
5578,1000712
5578,1000713
5578,1000714
5578,1000715
5536,1000716
5543,1000717
5536,1000719
5530,1000720
5530,1000721
5530,1000722
5530,1000723
5576,1000724
5576,1000725
5576,1000726
221438,1000727
5528,1000728
5524,1000729
5525,1000730
5525,1000731
5518,1000733
5522,1000734
5518,1000735
5519,1000736
5528,1000737
375316,1000738
5512,1000739
5533,1000740
5539,1000741
5539,1000742
354861,1000743
5515,1000744
85738,1000745
21879,1000746
5511,1000747
5543,1000748
5536,1000749
5536,1000750
5536,1000751
346,1000752
367,1000753
346,1000754
346,1000755
218,1000756
218,1000757
236,1000758
218,1000759
19702,1000760
19702,1000761
19702,1000762
19702,1000763
218,1000764
236,1000765
218,1000766
218,1000767
21878,1000768
322881,1000769
216635,1000770
375328,1000771
19689,1000772
5489,1000773
19696,1000774
19689,1000775
435,1000776
297915,1000777
435,1000778
19840,1000779
5494,1000780
19696,1000781
5504,1000782
19696,1000783
5527,1000784
390898,1000785
5512,1000787
19700,1000788
211196,1000789
19683,1000790
19687,1000791
158739,1000792
158739,1000793
578,1000794
383756,1000795
112300,1000796
21900,1000797
19691,1000798
19694,1000799
354,1000800
236,1000801
211,1000802
236,1000803
171195,1000804
211,1000805
19846,1000806
171195,1000807
19816,1000808
346,1000809
334,1000810
349,1000811
294,1000812
302,1000813
302,1000814
84777,1000815
5507,1000816
5501,1000817
5504,1000818
5502,1000819
211,1000820
211,1000821
211,1000822
298,1000823
19838,1000824
19838,1000825
19838,1000826
432,1000827
5507,1000828
5509,1000829
5509,1000830
375328,1000831
19676,1000832
19676,1000833
19679,1000834
19679,1000835
19677,1000836
19677,1000837
19676,1000838
19677,1000839
5495,1000840
19709,1000841
5495,1000842
5495,1000843
19700,1000844
280965,1000845
19699,1000846
19699,1000847
5589,1000848
19681,1000849
19681,1000850
19688,1000851
302,1000852
298,1000854
298,1000855
426,1000856
19838,1000857
19838,1000858
19838,1000859
5493,1000860
85736,1000861
5497,1000862
5496,1000863
19688,1000864
19688,1000865
19681,1000866
19681,1000867
19849,1000868
5465,1000869
466,1000870
443,1000871
450,1000872
450,1000873
448,1000874
19849,1000875
19809,1000876
19809,1000877
19809,1000878
19809,1000879
964,1000880
24542,1000881
964,1000882
770,1000883
19688,1000884
19688,1000885
19693,1000886
19688,1000887
24102,1000888
24109,1000889
24102,1000890
24102,1000891
5474,1000892
83807,1000893
552,1000894
5477,1000895
377568,1000896
377567,1000897
377566,1000898
377567,1000899
435,1000900
435,1000901
19838,1000902
19846,1000903
715,1000904
715,1000905
715,1000906
722,1000907
722,1000908
722,1000909
722,1000910
722,1000911
737,1000912
737,1000913
737,1000914
737,1000915
727,1000916
727,1000917
722,1000918
727,1000919
19806,1000920
94692,1000921
19809,1000922
19806,1000923
5495,1000924
474,1000925
5495,1000926
466,1000927
24652,1000928
24652,1000929
24652,1000930
19681,1000931
770,1000932
770,1000933
737,1000934
770,1000935
19806,1000936
19806,1000937
19806,1000938
19806,1000939
715,1000940
5551,1000941
715,1000942
5551,1000943
359731,1000944
359731,1000945
359731,1000946
359732,1000947
350203,1000948
350206,1000949
350206,1000950
350206,1000951
24208,1000952
10186,1000953
497067,1000954
24065,1000955
350204,1000956
350204,1000957
350204,1000958
350203,1000959
19846,1000960
211,1000961
211,1000962
236,1000963
350222,1000964
350234,1000965
359731,1000966
350234,1000967
24023,1000968
10099,1000969
10502,1000970
10127,1000971
725,1000972
725,1000973
725,1000974
19912,1000975
770,1000976
770,1000977
716,1000978
716,1000979
715,1000980
722,1000981
715,1000982
722,1000983
19701,1000984
19701,1000985
19701,1000986
19701,1000987
19708,1000988
19708,1000989
19706,1000990
19708,1000991
26330,1000992
94692,1000993
19699,1000994
296,1000995
461,1000996
443,1000997
443,1000998
461,1000999
383,1001000
383,1001001
23139,1001002
383,1001003
381,1001004
381,1001005
381,1001006
381,1001007
466,1001008
466,1001009
19849,1001010
98205,1001011
450,1001012
459,1001013
459,1001014
19849,1001015
440,1001016
441,1001017
454,1001018
441,1001019
24254,1001020
24254,1001021
2781,1001022
24254,1001023
19686,1001024
19701,1001025
19701,1001026
19708,1001027
19809,1001029
5486,1001030
19809,1001031
716,1001032
716,1001033
722,1001034
716,1001035
298,1001036
294,1001037
294,1001038
302,1001039
375323,1001040
375327,1001041
131188,1001042
375327,1001043
411,1001044
411,1001045
411,1001046
411,1001047
219,1001048
219,1001049
219,1001050
242,1001051
242,1001052
19797,1001053
19802,1001054
219,1001055
131188,1001056
131188,1001057
131188,1001058
131189,1001059
216315,1001060
225597,1001061
160961,1001062
256640,1001063
216315,1001064
216315,1001065
395,1001066
178570,1001067
19827,1001068
19827,1001069
89884,1001070
89884,1001071
360,1001072
340,1001073
374,1001074
374,1001075
190715,1001076
441,1001077
454,1001078
190715,1001079
455,1001080
455,1001081
190715,1001082
190715,1001083
455,1001084
190715,1001085
190715,1001086
455,1001087
454,1001088
441,1001089
442,1001090
442,1001091
458,1001092
458,1001093
442,1001094
442,1001095
400,1001096
458,1001097
458,1001098
434688,1001099
381,1001100
383,1001101
383,1001102
383,1001103
23982,1001104
10266,1001105
10266,1001106
10215,1001107
19815,1001108
215035,1001109
215036,1001110
324,1001111
19912,1001112
19912,1001113
19912,1001114
19912,1001115
19912,1001116
19912,1001117
19912,1001118
19912,1001119
10430,1001120
10430,1001121
10342,1001122
10304,1001123
33624,1001124
24065,1001125
10492,1001126
10185,1001127
691,1001128
692,1001129
692,1001130
19912,1001131
10456,1001132
10456,1001133
24269,1001134
24269,1001135
520,1001136
520,1001137
484,1001138
488,1001139
19897,1001140
19897,1001141
19894,1001142
370300,1001143
426,1001144
19834,1001145
19840,1001146
19834,1001147
418,1001148
418,1001149
418,1001150
418,1001151
645,1001152
74844,1001153
284,1001154
298,1001155
19796,1001156
19834,1001157
19834,1001158
19837,1001159
19840,1001160
418,1001161
418,1001162
426,1001163
484,1001164
480,1001165
655,1001166
653,1001167
157,1001168
153,1001169
153,1001170
157,1001171
153,1001172
153,1001173
153,1001174
153,1001175
19767,1001176
19767,1001177
19767,1001178
19767,1001179
127,1001180
127,1001181
127,1001182
127,1001183
268,1001184
252,1001185
205,1001186
205,1001187
74844,1001188
205,1001189
281919,1001190
376203,1001191
205,1001192
221,1001193
221,1001194
205,1001196
238,1001197
205,1001198
238,1001199
157,1001200
127,1001201
157,1001202
157,1001203
408,1001204
408,1001205
19831,1001206
408,1001207
218,1001208
19797,1001209
218,1001210
218,1001211
19775,1001212
157,1001213
205,1001214
157,1001215
19781,1001216
19781,1001217
19781,1001218
19781,1001219
19781,1001220
219,1001221
19781,1001222
19802,1001223
411,1001224
411,1001225
281919,1001226
411,1001227
19781,1001228
19781,1001229
19781,1001230
19781,1001231
446,1001232
19848,1001233
19848,1001234
432,1001235
302,1001236
302,1001237
302,1001238
323,1001239
302,1001240
302,1001241
302,1001242
302,1001243
320,1001244
268161,1001245
320,1001246
268161,1001247
279,1001248
279,1001249
279,1001250
19799,1001251
19804,1001252
290,1001253
282,1001254
268161,1001256
320,1001257
268161,1001258
320,1001259
320,1001260
323,1001261
320,1001262
323,1001263
19821,1001264
19820,1001265
19821,1001266
19821,1001267
19823,1001268
19821,1001269
19823,1001270
19820,1001271
351,1001272
19819,1001273
351,1001274
19821,1001275
19823,1001276
19823,1001277
19823,1001278
19819,1001279
40284,1001280
40284,1001281
279,1001282
279,1001283
655,1001284
653,1001285
19897,1001286
19897,1001287
4242,1001288
19799,1001289
264,1001290
264,1001291
286,1001292
279,1001293
282,1001294
655,1001296
655,1001297
655,1001298
655,1001299
511,1001300
516,1001301
503,1001302
495,1001303
516,1001304
516,1001305
418,1001306
505,1001307
5420,1001308
284,1001309
19804,1001310
282,1001311
376543,1001312
376543,1001313
376543,1001314
376543,1001315
19897,1001316
611,1001317
605,1001318
605,1001319
19894,1001320
497,1001322
19840,1001323
19840,1001324
19840,1001325
19840,1001326
19835,1001327
375,1001328
416,1001329
416,1001330
375,1001331
10300,1001332
24166,1001333
24166,1001334
10300,1001335
19837,1001336
19837,1001337
424,1001338
19834,1001339
609,1001340
609,1001341
375,1001342
19794,1001344
343,1001345
19794,1001346
19794,1001347
349,1001348
349,1001349
349,1001350
349,1001351
211,1001352
298,1001353
211,1001354
211,1001355
10458,1001356
10414,1001357
10458,1001358
10414,1001359
349,1001360
19820,1001361
347,1001362
356,1001363
343,1001364
351,1001365
351,1001366
343,1001367
349,1001368
356,1001369
349,1001370
356,1001371
211,1001372
244,1001373
232,1001374
232,1001375
232,1001376
232,1001377
244,1001378
268161,1001379
255,1001380
255,1001381
255,1001382
19794,1001383
356,1001384
349,1001385
356,1001386
347,1001387
438,1001388
438,1001389
446,1001390
438,1001391
438,1001392
438,1001393
438,1001394
438,1001395
9921,1001396
9936,1001397
491,1001398
418,1001399
430,1001400
302,1001401
302,1001402
440,1001403
438,1001404
438,1001405
19843,1001406
19843,1001407
232,1001408
232,1001409
255,1001410
255,1001411
433,1001412
433,1001413
430,1001414
433,1001415
17049,1001416
71331,1001417
71331,1001418
