BADGE,BADGE_ADDRESS,BADGE_CITY,MODEL_BADGE_LAT,MODEL_BADGE_LON,GIS_BADGE_LAT,GIS_BADGE_LON,MODEL_VS_GIS_LATLON_DISTANCE_M
1000785,455 ROCK CREEK CANYON RD,COLO SPGS,39.025484,-104.82518,38.70409674,-104.8342836,35745.3
1281513,"24100 GOLD CAMP RD, MTR 6",GN MTN FLS,38.918315,-104.652058,38.78934877,-105.0156959,34600.1
1001986,8435 COMMANCHE RD,,38.962763,-104.756167,38.7098228,-104.8267694,28782.8
1035890,"10685 HONDO AVE, PUMP STATION",GN MTN FLS,38.844287,-104.728109,38.9345173,-105.0179035,27013.9
1135991,"1575 S MURRAY BLVD, HSEMTR",COLO SPGS,38.927941,-105.00008,38.81060454,-104.7478955,25434.1
1219757,"13617 FROST BITTEN GRV, HSEMTR",COLO SPGS,38.809067,-104.779481,39.03025936,-104.7807608,24595.7
1073322,1065 ROCK CREEK CANYON RD,COLO SPGS,38.907369,-104.848628,38.70874746,-104.8475629,22085.9
1036845,9743 FEDERAL DR,COLO SPGS,38.7981,-104.802542,38.98958086,-104.8040876,21292.1
1066542,10660 WHITE DIAMOND PT,COLO SPGS,38.79865,-104.811,38.98470736,-104.795925,20729.7
1095652,230 E BROOKSIDE ST,COLO SPGS,38.980951,-104.718925,38.81289712,-104.8209879,20669.0
1000795,8040 W US HIGHWAY 24,,38.962594,-104.756474,38.89630943,-104.9703803,19917.0
1246083,2731 NORTH GATE BLVD,COLO SPGS,38.85353,-104.766685,39.02707903,-104.780685,19335.7
1127228,"3685 VERDE DR, ELEC",COLO SPGS,38.977788,-104.710689,38.81085487,-104.7605516,19057.1
1096993,897 PAGET PT APT 103,COLO SPGS,38.946522,-104.715473,38.8092794,-104.8443322,18902.7
1075314,"1203 EVERGREEN DR, BROADBAND",COLO SPGS,38.915167,-104.656824,38.76004176,-104.734669,18520.0
1281184,9 MARLAND RD,COLO SPGS,38.93666,-104.752312,38.7864032,-104.8368696,18241.5
1133393,,,38.841019,-104.854873,38.9904836,-104.7852123,17678.7
1059721,"6415 TEMPLETON GAP DL, TEMP",COLO SPGS,38.798892,-104.845736,38.92575742,-104.7229875,17662.2
1166258,624 E MONUMENT ST,COLO SPGS,38.978148,-104.708793,38.84336697,-104.8139379,17532.1
1277413,"134 MANITOU AVE, B",MANITOU,38.765986,-104.736208,38.85864038,-104.8945408,17156.4
1133689,,,38.760997,-104.70978,38.81955337,-104.8924289,17117.0
1285307,1126 NORWOOD AVE,COLO SPGS,38.93971,-104.744335,38.79977519,-104.8082485,16514.6
1044086,"1330 W KIOWA ST, HSEMTR2",COLO SPGS,38.947246,-104.71566,38.8399134,-104.8450471,16365.5
1055013,7901 WOODMEN CENTER HTS,COLO SPGS,39.025484,-104.82518,38.94143411,-104.6790115,15715.1
1043716,321 S EL PASO ST,COLO SPGS,38.946943,-104.715666,38.82850844,-104.8129915,15633.0
1111678,1215 SORRENTO DR,COLO SPGS,38.919106,-104.652467,38.81365366,-104.7675278,15386.0
1000615,10410 S STATE HIGHWAY 115 LOT 25,,38.784781,-104.73481,38.67898932,-104.8488281,15368.6
1030513,"9246 GRAND CORDERA PKWY, CLUBHOUSE",COLO SPGS,38.851009,-104.834033,38.9647082,-104.7355703,15245.5
1312540,2775 ROSSMERE ST,COLO SPGS,38.907507,-104.711768,38.92052233,-104.8803573,14657.9
1013057,,,38.847777,-104.759903,38.74350605,-104.8627941,14626.7
1152875,823 E MORENO AVE,COLO SPGS,38.94358,-104.759145,38.82475947,-104.8096948,13917.9
1143826,3115 GLENARM RD LOT 17,COLO SPGS,38.87132,-104.850097,38.7713113,-104.767082,13243.4
1084087,"701 MANITOU AVE, LIBRARY",MANITOU,38.769592,-104.818236,38.85660422,-104.9146955,12785.1
1074774,"235 MAIN ST, TRF SG",COLO SPGS,38.865999,-104.766057,38.75264671,-104.7420114,12775.2
1027232,"7405 INTRUDER VW, CONST TRLR",COLO SPGS,38.826474,-104.733209,38.93826851,-104.7209801,12476.0
