BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER
1202843,264643.0,31358.0,0
1000526,,1517.0,4
1012540,15373.0,501900.0,21
1005528,19823.0,19819.0,24
1000561,296.0,285.0,25
1000995,296.0,285.0,25
1001551,296.0,285.0,25
1001556,94692.0,285.0,25
1001536,296.0,285.0,25
1001538,296.0,285.0,25
1001415,433.0,446.0,28
1000564,19848.0,446.0,28
1000565,461.0,446.0,28
1000997,443.0,446.0,28
1001389,438.0,446.0,28
1001016,440.0,446.0,28
1006071,24292.0,10671.0,34
1012979,13395.0,13414.0,51
1000727,221438.0,5576.0,59
1000616,5581.0,5579.0,67
1000680,58523.0,5555.0,71
1000681,5564.0,5555.0,71
1000622,5565.0,5555.0,71
1000666,5576.0,221438.0,72
1000685,5580.0,221438.0,72
1005546,21905.0,21901.0,88
1000648,153928.0,21901.0,88
1000649,153929.0,21901.0,88
1000679,5563.0,5569.0,90
1000655,5573.0,5569.0,90
1000657,5573.0,5569.0,90
1000658,5570.0,5569.0,90
1000661,5558.0,453995.0,92
1119008,535973.0,535975.0,98
1097174,535976.0,535975.0,98
1000672,535963.0,535975.0,98
1300849,535973.0,535975.0,98
1021172,535973.0,535975.0,98
1197071,535976.0,535975.0,98
1233024,,535975.0,98
1097149,535976.0,535975.0,98
1097127,535977.0,535975.0,98
1232972,,535975.0,98
1119294,535973.0,535975.0,98
1002068,402.0,399.0,122
1000734,5522.0,5520.0,132
1000738,,375316.0,135
1014291,375317.0,375316.0,135
1304323,19707.0,19702.0,152
1000772,19689.0,19690.0,158
1000775,19689.0,19690.0,158
1003639,19696.0,19690.0,158
1000779,19840.0,426.0,164
1000828,5507.0,5509.0,166
1000782,5504.0,5509.0,166
1000816,5507.0,5509.0,166
1003642,5507.0,5509.0,166
1000818,5504.0,5509.0,166
1003705,19681.0,19683.0,171
1000795,,383756.0,176
1003603,19687.0,19691.0,179
1003813,19687.0,19691.0,179
1003804,19691.0,19694.0,180
1000803,236.0,19796.0,182
1000804,171195.0,7771.0,183
1000808,19816.0,346.0,186
1000810,334.0,346.0,186
1001247,268161.0,294.0,188
1001256,268161.0,294.0,188
1001258,268161.0,294.0,188
1001259,320.0,294.0,188
1001245,268161.0,294.0,188
1003745,298.0,302.0,189
1003659,302.0,298.0,194
1000832,19676.0,19679.0,199
1000836,19677.0,19676.0,200
1000841,19709.0,5495.0,204
1000864,19688.0,19678.0,208
1000866,19681.0,19678.0,208
1000867,19681.0,19678.0,208
1000849,19681.0,19678.0,208
1000850,19681.0,19678.0,208
1000851,19688.0,19678.0,208
1001919,426.0,19838.0,209
1001987,449260.0,85736.0,211
1000893,83807.0,5465.0,216
1001971,19709.0,19704.0,225
1003661,19709.0,19704.0,225
