BADGE,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,MAJORITY_TRANSFORMER,MAJORITY_VOTES,MAJORITY_SHARE,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA
1013505,4536,10,9,23210,9,1.0,UG6420,13CW-2,RQM-18,38.923532860000002,-104.786418979999993,25.000000000000000
1002139,866,1,0,,0,,,,,,,
1002390,1016,1,0,,0,,,,,,,
1003836,1355,1,0,,0,,,,,,,
1008771,2906,1,0,,0,,,,,,,
1009880,3182,1,0,,0,,,,,,,
1010276,3294,1,0,,0,,,,,,,
1011735,3820,1,0,,0,,,,,,,
1011882,3870,1,0,,0,,,,,,,
1015194,5282,1,0,,0,,,,,,,
1019866,5723,1,0,,0,,,,,,,
1020997,6026,1,0,,0,,,,,,,
1021443,6142,1,0,,0,,,,,,,
1021453,6145,1,0,,0,,,,,,,
1023006,6666,1,0,,0,,,,,,,
1024006,6934,1,0,,0,,,,,,,
1031217,8923,1,0,,0,,,,,,,
1031365,8960,1,0,,0,,,,,,,
1031708,9066,1,0,,0,,,,,,,
1031971,9191,1,0,,0,,,,,,,
1032062,9208,1,0,,0,,,,,,,
1032504,9332,1,0,,0,,,,,,,
1032946,9443,1,0,,0,,,,,,,
1036039,10261,1,0,,0,,,,,,,
1037856,10692,1,0,,0,,,,,,,
1048094,13009,1,0,,0,,,,,,,
1058066,14401,1,0,,0,,,,,,,
1058314,14441,1,0,,0,,,,,,,
1058643,14503,1,0,,0,,,,,,,
1061937,15810,1,0,,0,,,,,,,
1072102,17966,1,0,,0,,,,,,,
1073671,18581,1,0,,0,,,,,,,
1074033,18766,1,0,,0,,,,,,,
1075311,19041,1,0,,0,,,,,,,
1079976,20227,1,0,,0,,,,,,,
1084286,21656,1,0,,0,,,,,,,
1088766,21960,1,0,,0,,,,,,,
1089916,22261,1,0,,0,,,,,,,
1092259,23158,1,0,,0,,,,,,,
1096896,24563,1,0,,0,,,,,,,
1100570,25265,1,0,,0,,,,,,,
1104714,26430,1,0,,0,,,,,,,
1105924,26830,1,0,,0,,,,,,,
1106422,26964,1,0,,0,,,,,,,
1108878,27196,1,0,,0,,,,,,,
1109907,27476,1,0,,0,,,,,,,
1111695,27881,1,0,,0,,,,,,,
1116000,29041,1,0,,0,,,,,,,
1119088,29425,1,0,,0,,,,,,,
1119577,29496,1,0,,0,,,,,,,
1119590,29499,1,0,,0,,,,,,,
1119637,29511,1,0,,0,,,,,,,
1127374,31416,5,0,,0,,,,,,,
1131092,31416,5,0,,0,,,,,,,
1277891,31416,5,0,,0,,,,,,,
1137839,31416,5,0,,0,,,,,,,
1249629,31416,5,0,,0,,,,,,,
1136250,32994,3,0,,0,,,,,,,
1132741,32994,3,0,,0,,,,,,,
1132761,32994,3,0,,0,,,,,,,
1132818,33032,1,0,,0,,,,,,,
1132862,33049,1,0,,0,,,,,,,
1134178,33562,1,0,,0,,,,,,,
1135999,34085,1,0,,0,,,,,,,
1137797,34596,1,0,,0,,,,,,,
1138360,34823,1,0,,0,,,,,,,
1143529,35301,1,0,,0,,,,,,,
1151011,37227,1,0,,0,,,,,,,
1153004,37414,1,0,,0,,,,,,,
1155301,38081,1,0,,0,,,,,,,
1178795,42675,1,0,,0,,,,,,,
1184557,43512,1,0,,0,,,,,,,
1185028,43630,1,0,,0,,,,,,,
1186681,43982,1,0,,0,,,,,,,
1190601,44682,1,0,,0,,,,,,,
1195364,44833,1,0,,0,,,,,,,
1195366,44835,1,0,,0,,,,,,,
1195368,44836,1,0,,0,,,,,,,
1195369,44837,1,0,,0,,,,,,,
1195370,44838,1,0,,0,,,,,,,
1195371,44839,1,0,,0,,,,,,,
1196850,45278,1,0,,0,,,,,,,
1201300,46599,1,0,,0,,,,,,,
1205569,47116,1,0,,0,,,,,,,
1208388,47853,1,0,,0,,,,,,,
1208769,47952,1,0,,0,,,,,,,
1218282,49022,1,0,,0,,,,,,,
1218390,49044,1,0,,0,,,,,,,
1223717,50055,1,0,,0,,,,,,,
1227096,50660,1,0,,0,,,,,,,
1229407,51132,1,0,,0,,,,,,,
1231769,51185,1,0,,0,,,,,,,
1232068,51243,1,0,,0,,,,,,,
1232463,51250,1,0,,0,,,,,,,
1233117,51281,1,0,,0,,,,,,,
1237810,51368,1,0,,0,,,,,,,
1237811,51369,1,0,,0,,,,,,,
1247665,51467,1,0,,0,,,,,,,
1249628,51508,1,0,,0,,,,,,,
1251075,51607,1,0,,0,,,,,,,
1267639,52479,1,0,,0,,,,,,,
1271351,53332,1,0,,0,,,,,,,
1273630,53724,1,0,,0,,,,,,,
1277841,54536,1,0,,0,,,,,,,
1277842,54537,1,0,,0,,,,,,,
1277843,54538,1,0,,0,,,,,,,
1277844,54539,1,0,,0,,,,,,,
1277892,54544,1,0,,0,,,,,,,
1280339,55241,1,0,,0,,,,,,,
1281649,55629,1,0,,0,,,,,,,
1282875,55963,1,0,,0,,,,,,,
1285303,56057,1,0,,0,,,,,,,
1287109,56385,1,0,,0,,,,,,,
1297492,56880,1,0,,0,,,,,,,
1297833,57017,1,0,,0,,,,,,,
1298788,57260,1,0,,0,,,,,,,
1299439,57395,1,0,,0,,,,,,,
1301820,58030,1,0,,0,,,,,,,
1310673,59687,1,0,,0,,,,,,,
1311887,59909,1,0,,0,,,,,,,
1311941,59922,1,0,,0,,,,,,,
