OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
1000,4,4,2
10007,13,13,2
1002,9,9,3
10029,11,11,2
10031,7,7,2
10032,4,4,2
10038,12,12,3
10043,8,8,2
10049,9,9,3
10058,3,3,3
10060,8,8,2
10067,2,2,2
10069,7,7,2
1007,7,7,2
10075,6,6,3
10077,8,8,5
10078,7,7,2
1008,11,11,3
10081,13,13,3
10089,9,9,2
10097,7,7,2
1010,7,7,2
10116,6,6,3
10120,7,7,3
10123,10,10,2
10129,7,7,2
10130,6,6,2
10139,16,16,6
1015,5,5,2
10153,4,4,2
10155,5,5,2
10157,2,2,2
10160,2,2,2
10162,2,2,2
10164,6,6,2
10165,3,3,2
10167,3,3,2
10176,2,2,2
10180,8,8,2
10192,10,10,2
10195,7,7,2
10205,6,6,2
10210,7,7,2
10221,5,5,2
10228,6,6,3
1023,24,24,3
10232,8,8,2
10241,9,9,2
10257,7,7,3
10264,9,9,3
10274,9,9,2
10276,5,5,2
10280,10,10,2
10285,8,8,2
10289,3,3,3
10292,3,3,3
10294,12,12,3
10297,4,4,2
10302,5,5,2
10303,8,8,3
10305,7,7,2
10306,8,8,3
10308,7,7,2
10312,5,5,3
1033,2,2,2
10333,12,12,2
10343,8,8,3
10354,9,9,2
10381,6,6,2
10384,8,8,2
10387,6,6,2
10389,7,7,2
10391,7,7,2
1040,2,2,2
10400,8,8,3
10405,10,10,3
10406,2,2,2
10409,3,3,2
10410,3,3,2
10414,7,7,3
10425,8,8,2
1043,6,6,2
10431,6,6,2
1044,3,3,3
10440,7,7,2
10443,7,7,2
10449,9,9,3
1046,9,9,2
10464,6,6,2
10480,8,8,2
10481,9,9,4
1049,9,9,3
10497,9,9,3
10499,8,8,2
105,2,2,2
1050,7,7,2
10502,8,8,2
10507,7,7,3
10515,2,2,2
1052,20,20,2
10530,8,8,2
10532,9,9,3
10536,11,11,2
10538,8,8,2
10539,3,3,3
1054,13,13,2
10543,10,10,2
1056,7,7,2
10563,8,8,2
10570,16,16,5
10572,9,9,2
10575,8,8,2
10577,9,9,2
10579,10,10,2
10587,11,11,2
10589,10,10,2
1059,6,6,5
10594,8,8,2
10598,9,9,2
106,3,3,2
10609,8,8,2
10613,7,7,2
10619,8,8,2
10621,10,10,2
10622,7,7,2
10631,8,8,2
10646,9,9,2
10653,6,6,2
10656,7,7,2
10659,9,9,2
10661,6,6,2
10664,7,7,2
10666,9,9,2
10667,8,8,2
10670,6,6,2
10671,3,3,2
10672,9,9,3
10674,2,2,2
10677,9,9,4
10680,2,2,2
10681,3,3,3
10682,3,3,2
10686,8,8,2
10693,14,14,6
10695,7,7,2
10698,7,7,2
1070,8,8,5
10701,23,23,4
10702,12,12,3
10714,11,11,2
10717,7,7,2
10720,2,2,2
10729,2,2,2
10733,8,8,2
10734,6,6,2
1074,10,10,2
10742,10,10,2
10746,9,9,5
1075,10,10,2
10751,7,7,2
10758,8,8,2
1076,7,7,2
10763,10,10,2
10780,7,7,2
10782,7,7,3
10784,2,2,2
10785,3,3,2
10787,9,9,3
10790,2,2,2
10793,2,2,2
