NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
10018,5,5,2
10050,3,3,2
10075,7,7,2
101,4,4,2
10171,6,6,2
10173,7,7,2
10188,9,9,3
10197,3,3,2
10211,7,7,2
10214,7,7,2
10222,9,9,2
10229,2,2,2
1024,16,16,4
10267,5,5,4
10318,5,5,2
1035,3,3,3
10418,3,3,2
10444,7,7,2
10530,4,4,2
10532,7,7,4
10570,5,5,2
10575,6,6,3
10616,5,5,2
10671,5,5,2
10717,5,5,2
10731,5,5,2
10764,5,5,2
10765,8,8,3
10769,6,6,2
10776,4,4,2
10780,3,3,2
10844,6,6,2
10920,6,6,2
10924,12,12,2
1093,7,7,2
11,3,3,2
11049,11,11,2
11129,6,6,2
11154,13,13,5
1116,4,4,2
112,3,3,2
11207,8,8,2
1132,5,5,2
1141,18,18,2
1151,2,2,2
1165,9,9,2
11664,7,7,2
11674,5,5,4
1168,9,9,3
11721,4,4,2
11742,7,7,2
1178,5,5,4
11790,7,7,2
119,2,2,2
1196,7,7,2
11971,10,10,2
12002,8,8,2
1204,6,6,3
1206,9,9,2
12123,6,6,2
12189,6,6,2
12225,5,5,2
1223,9,9,3
1226,2,2,2
1238,4,4,2
12392,4,4,2
12429,3,3,2
125,2,2,2
12524,9,9,2
12645,9,9,2
1269,5,5,2
12703,7,7,2
1275,6,6,2
1281,2,2,2
1294,3,3,2
13,3,3,3
13139,4,4,2
13142,12,12,2
13143,7,7,2
13146,5,5,2
13147,18,18,3
1315,4,4,2
13155,8,8,2
13157,9,9,4
13171,5,5,2
13172,5,5,2
13183,7,7,2
13193,10,10,2
13196,7,7,2
13198,7,7,2
13201,10,10,3
13207,9,9,4
13208,6,6,2
1321,23,23,2
13218,9,9,2
13224,9,9,4
13226,3,3,2
13228,8,8,5
13232,12,12,2
13233,6,6,2
13237,9,9,2
13251,5,5,2
13257,4,4,3
13261,8,8,3
13278,4,4,3
13284,7,7,4
13301,10,10,2
13315,8,8,2
13321,8,8,3
13322,5,5,2
13323,14,14,2
13336,7,7,2
13341,3,3,2
13356,28,28,6
13363,6,6,2
13367,7,7,2
13373,5,5,2
13375,2,2,2
13377,8,8,2
1338,11,11,5
13382,3,3,2
13383,3,3,2
13385,3,3,2
1341,4,4,2
13417,17,17,2
13435,5,5,2
13471,11,11,3
13482,2,2,2
13486,11,11,2
13494,3,3,2
13508,14,14,2
13549,5,5,3
13551,7,7,2
1363,7,7,2
13654,6,6,2
13802,5,5,2
13818,4,4,2
13819,7,7,2
1388,9,9,2
13888,7,7,2
13921,3,3,2
13948,2,2,2
13980,6,6,2
1401,8,8,2
14011,7,7,2
1403,7,7,2
14041,5,5,2
14052,9,9,2
14054,7,7,2
14148,9,9,3
1415,9,9,3
14151,13,13,2
1417,8,8,5
14202,4,4,2
14214,4,4,2
14220,11,11,4
14251,5,5,2
14252,12,12,3
14253,5,5,3
14254,10,10,5
14259,4,4,3
1427,9,9,2
14284,8,8,3
1430,10,10,4
14325,2,2,2
14351,4,4,2
14356,9,9,2
14406,4,4,4
14407,8,8,2
14422,3,3,2
14433,2,2,2
14440,8,8,2
14470,9,9,3
14486,8,8,2
14517,16,16,3
14518,13,13,3
14519,6,6,2
14551,9,9,5
14554,5,5,3
14558,6,6,2
14570,7,7,3
14572,7,7,2
14574,7,7,4
14575,4,4,2
14579,7,7,2
14582,7,7,3
14583,8,8,2
14589,4,4,3
14597,7,7,3
14600,4,4,2
14601,9,9,2
14602,3,3,2
14603,8,8,4
14605,7,7,4
14608,6,6,2
14614,2,2,2
14615,8,8,4
14641,6,6,3
14651,6,6,2
14675,5,5,3
14676,6,6,3
14681,8,8,2
14683,5,5,4
14684,4,4,2
14686,9,9,5
14687,7,7,3
1469,10,10,3
14695,6,6,3
14701,9,9,5
14702,7,7,2
14714,3,3,2
14725,7,7,3
14726,7,7,2
14738,6,6,3
