BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1000524,2,1,0,1,0.0
1000527,11,4,0,7,0.3
1000530,11,4,0,7,0.3
1000538,8,1,0,7,0.0
1000547,7,6,2,3,0.375
1000559,10,9,0,1,0.8889
1000561,12,11,0,1,0.9091
1000563,8,9,1,0,0.875
1000564,11,1,0,10,0.0
1000565,11,7,0,4,0.6
1000577,7,5,0,2,0.6667
1000582,6,7,1,0,0.8333
1000588,11,4,0,7,0.3
1000589,11,4,0,7,0.3
1000595,6,8,2,0,0.7143
1000596,11,9,1,3,0.6364
1000607,4,2,0,2,0.3333
1000615,4,11,7,0,0.3
1000627,4,1,0,3,0.0
1000628,4,2,0,2,0.3333
1000629,4,1,0,3,0.0
1000630,4,1,0,3,0.0
1000634,4,1,0,3,0.0
1000647,8,6,0,2,0.7143
1000648,8,6,0,2,0.7143
1000649,8,6,0,2,0.7143
1000656,2,1,0,1,0.0
1000667,2,1,0,1,0.0
1000668,3,1,0,2,0.0
1000672,20,2,1,19,0.0
1000692,4,1,0,3,0.0
1000696,3,2,0,1,0.5
1000697,3,2,0,1,0.5
1000698,2,1,0,1,0.0
1000711,3,2,0,1,0.5
1000716,2,1,0,1,0.0
1000717,3,2,0,1,0.5
1000751,2,1,0,1,0.0
1000753,12,6,0,6,0.4545
1000778,3,1,0,2,0.0
1000779,8,5,0,3,0.5714
1000784,3,1,0,2,0.0
1000785,1,3,2,0,0.0
1000791,8,1,0,7,0.0
1000795,8,14,6,0,0.5385
1000796,7,1,0,6,0.0
1000798,6,6,1,1,0.6667
1000802,10,9,0,1,0.8889
1000803,7,6,0,1,0.8333
1000805,10,9,0,1,0.8889
1000806,11,2,0,9,0.1
1000808,4,2,0,2,0.3333
1000809,4,2,0,2,0.3333
1000810,4,2,0,2,0.3333
1000812,8,9,1,0,0.875
1000817,3,1,0,2,0.0
1000820,10,9,0,1,0.8889
1000822,10,9,0,1,0.8889
1000825,5,2,0,3,0.25
1000826,5,1,0,4,0.0
1000845,9,20,11,0,0.4211
1000848,2,1,0,1,0.0
1000849,10,6,0,4,0.5556
1000850,10,6,0,4,0.5556
1000851,10,6,0,4,0.5556
1000856,8,5,0,3,0.5714
1000857,8,3,0,5,0.2857
1000858,8,3,0,5,0.2857
1000859,5,2,0,3,0.25
1000864,10,6,0,4,0.5556
1000866,10,6,0,4,0.5556
1000867,10,6,0,4,0.5556
1000869,8,4,0,4,0.4286
1000870,8,9,1,0,0.875
1000877,9,4,0,5,0.375
1000878,9,1,0,8,0.0
1000879,9,4,0,5,0.375
1000880,4,3,0,1,0.6667
1000882,4,3,0,1,0.6667
1000884,5,13,8,0,0.3333
1000885,5,13,8,0,0.3333
1000887,5,13,8,0,0.3333
1000893,8,4,0,4,0.4286
1000894,34,1,0,33,0.0
1000897,13,11,0,2,0.8333
1000899,13,11,0,2,0.8333
1000900,3,2,0,1,0.5
1000901,3,2,0,1,0.5
1000902,5,2,0,3,0.25
1000903,11,1,0,10,0.0
1000917,4,3,0,1,0.6667
1000919,4,1,0,3,0.0
1000920,4,2,0,2,0.3333
1000922,9,3,0,6,0.25
1000923,4,2,0,2,0.3333
1000927,8,9,1,0,0.875
1000928,7,7,1,1,0.7143
1000929,7,7,1,1,0.7143
1000930,7,7,1,1,0.7143
1000938,4,2,0,2,0.3333
1000939,4,2,0,2,0.3333
1000940,2,1,0,1,0.0
1000947,6,1,0,5,0.0
1000949,7,2,0,5,0.1667
1000950,7,9,4,2,0.4
1000951,7,9,4,2,0.4
1000952,10,8,0,2,0.7778
1000954,10,9,0,1,0.8889
1000956,46,23,1,24,0.4565
1000957,46,23,1,24,0.4565
1000958,46,23,1,24,0.4565
1000960,11,2,0,9,0.1
1000961,10,9,0,1,0.8889
1000962,10,9,0,1,0.8889
1000964,1,8,7,0,0.0
1000965,46,23,1,24,0.4565
1000967,46,23,1,24,0.4565
1000968,9,4,0,5,0.375
1000969,4,3,0,1,0.6667
1000971,10,6,0,4,0.5556
1000974,4,1,0,3,0.0
1000975,4,2,0,2,0.3333
1000978,5,1,0,4,0.0
1000979,5,4,0,1,0.75
1000980,2,1,0,1,0.0
1000981,2,1,0,1,0.0
1000983,2,1,0,1,0.0
1000995,12,11,0,1,0.9091
1000997,11,7,0,4,0.6
1001004,11,3,0,8,0.2
1001005,11,1,0,10,0.0
1001006,11,3,0,8,0.2
1001009,8,9,1,0,0.875
1001016,11,7,0,4,0.6
1001029,9,4,0,5,0.375
1001031,9,4,0,5,0.375
1001032,5,4,0,1,0.75
1001033,5,4,0,1,0.75
1001035,5,4,0,1,0.75
1001037,8,9,1,0,0.875
1001038,8,9,1,0,0.875
1001041,26,22,0,4,0.84
1001043,26,22,0,4,0.84
1001048,9,7,0,2,0.75
1001050,9,2,0,7,0.125
1001052,9,7,0,2,0.75
1001053,2,1,0,1,0.0
1001054,9,7,0,2,0.75
1001055,9,7,0,2,0.75
1001072,3,1,0,2,0.0
1001074,3,1,0,2,0.0
1001075,2,1,0,1,0.0
1001096,2,1,0,1,0.0
1001099,6,11,5,0,0.5
1001100,11,3,0,8,0.2
1001115,4,1,0,3,0.0
1001117,4,1,0,3,0.0
1001118,4,2,0,2,0.3333
1001126,7,6,0,1,0.8333
1001138,5,2,0,3,0.25
1001140,5,2,0,3,0.25
1001141,5,2,0,3,0.25
1001144,8,5,0,3,0.5714
1001149,4,3,0,1,0.6667
1001151,4,3,0,1,0.6667
1001152,2,1,0,1,0.0
1001163,8,5,0,3,0.5714
1001166,7,3,0,4,0.3333
1001168,7,3,0,4,0.3333
1001171,7,3,0,4,0.3333
1001185,6,5,0,1,0.8
1001191,17,1,0,16,0.0
1001193,11,1,0,10,0.0
1001194,11,10,0,1,0.9
1001200,7,3,0,4,0.3333
1001202,7,3,0,4,0.3333
1001203,7,3,0,4,0.3333
1001209,2,1,0,1,0.0
1001215,7,3,0,4,0.3333
1001221,9,7,0,2,0.75
1001245,8,9,1,0,0.875
1001247,1,9,8,0,0.0
1001251,13,10,0,3,0.75
1001254,13,1,0,12,0.0
1001256,8,9,1,0,0.875
1001258,8,9,1,0,0.875
1001259,8,9,1,0,0.875
1001276,5,4,0,1,0.75
1001277,5,4,0,1,0.75
1001280,13,10,0,3,0.75
1001281,13,10,0,3,0.75
1001284,7,3,0,4,0.3333
1001287,5,2,0,3,0.25
1001289,13,1,0,12,0.0
1001293,13,10,0,3,0.75
1001294,13,10,0,3,0.75
1001296,7,1,0,6,0.0
1001298,7,3,0,4,0.3333
1001299,7,3,0,4,0.3333
1001303,5,2,0,3,0.25
1001306,4,1,0,3,0.0
1001307,5,2,0,3,0.25
1001309,5,1,0,4,0.0
1001311,13,10,0,3,0.75
1001312,7,8,1,0,0.8571
1001314,7,8,1,0,0.8571
1001315,7,8,1,0,0.8571
1001316,5,2,0,3,0.25
1001329,5,2,0,3,0.25
1001330,5,2,0,3,0.25
1001340,8,7,0,1,0.8571
1001341,8,7,0,1,0.8571
1001350,7,6,0,1,0.8333
1001351,7,6,0,1,0.8333
1001352,10,9,0,1,0.8889
1001354,10,9,0,1,0.8889
1001355,10,1,0,9,0.0
1001363,12,6,0,6,0.4545
1001368,7,6,0,1,0.8333
1001369,12,6,0,6,0.4545
1001370,7,6,0,1,0.8333
