BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP
1196646,,449042,29371,10,9,0,9,1.0,1.0
1232528,,506687,29491,10,9,0,9,1.0,1.0
1257453,,27371,18969,9,8,0,8,1.0,1.0
1115523,,3004,28934,9,8,0,8,1.0,1.0
1232465,,525844,10894,8,7,0,7,1.0,1.0
1232497,,444308,24616,8,7,0,7,1.0,1.0
1097178,,506638,1464,7,6,0,6,1.0,1.0
1265550,,384443,2512,7,6,0,6,1.0,1.0
1232532,,506639,2937,7,6,0,6,1.0,1.0
1278656,,16010,21565,7,6,0,6,1.0,1.0
1232488,,536372,24621,7,6,0,6,1.0,1.0
1097208,,536190,24625,8,6,0,6,1.0,1.0
1097145,,536190,24625,8,6,0,6,1.0,1.0
1232503,,536187,24647,10,6,0,6,1.0,1.0
1097207,,536187,24647,10,6,0,6,1.0,1.0
1232964,,536187,24647,10,6,0,6,1.0,1.0
1232555,,536187,24647,10,6,0,6,1.0,1.0
1232533,,389930,24675,7,6,0,6,1.0,1.0
1232538,,536367,34578,7,6,0,6,1.0,1.0
1257712,,7913,51285,7,6,0,6,1.0,1.0
1232979,,384663,5279,6,5,0,5,1.0,1.0
1037817,,13491,10688,6,5,0,5,1.0,1.0
1074805,,4623,18942,6,5,0,5,1.0,1.0
1233013,,477901,24637,7,5,0,5,1.0,1.0
1179888,,477901,24637,7,5,0,5,1.0,1.0
1098531,,12152,24800,6,5,0,5,1.0,1.0
1232467,,497070,29514,6,5,0,5,1.0,1.0
1097190,,378639,4411,5,4,0,4,1.0,1.0
1096704,,525843,4778,8,4,0,4,1.0,1.0
1097172,,525843,4778,8,4,0,4,1.0,1.0
1233018,,525843,4778,8,4,0,4,1.0,1.0
1233026,,525843,4778,8,4,0,4,1.0,1.0
1257706,,23720,13936,5,4,0,4,1.0,1.0
1233002,,537121,17566,6,4,0,4,1.0,1.0
1097161,,537121,17566,6,4,0,4,1.0,1.0
1247846,,14575,22838,5,4,0,4,1.0,1.0
1232993,,536699,24464,6,4,0,4,1.0,1.0
1096654,,536699,24464,6,4,0,4,1.0,1.0
1232949,,537134,29495,5,4,0,4,1.0,1.0
1247844,,136956,33068,5,4,0,4,1.0,1.0
1257426,,20603,42223,5,4,0,4,1.0,1.0
1257440,,21487,44593,5,4,0,4,1.0,1.0
1299377,,536734,51383,6,4,0,4,1.0,1.0
1240541,,536734,51383,6,4,0,4,1.0,1.0
1257443,,26678,25530,4,3,0,3,1.0,1.0
1232505,,535483,29493,5,3,0,3,1.0,1.0
1232552,,535483,29493,5,3,0,3,1.0,1.0
1257390,,16768,33054,4,3,0,3,1.0,1.0
1280972,,428,725,3,2,0,2,1.0,1.0
1130929,,62688,18862,3,2,0,2,1.0,1.0
1233022,,535995,29498,3,2,0,2,1.0,1.0
1232953,,391281,51269,4,2,0,2,1.0,1.0
1232956,,391281,51269,4,2,0,2,1.0,1.0
1233004,,535979,51274,3,2,0,2,1.0,1.0
1037460,,328317,10604,2,1,0,1,1.0,1.0
1062586,,1532,15987,2,1,0,1,1.0,1.0
1232508,,473122,34592,2,1,0,1,1.0,1.0
1169183,,20955,40649,2,1,0,1,1.0,1.0
1233901,,873,45338,2,1,0,1,1.0,1.0
1232460,,473127,51249,3,1,0,1,1.0,1.0
1233031,,473127,51249,3,1,0,1,1.0,1.0
1233030,,477883,51261,2,1,0,1,1.0,1.0
1257661,,536189,51322,2,1,0,1,1.0,1.0
1257444,,24984,51339,2,1,0,1,1.0,1.0
1257414,,264325,51674,2,1,0,1,1.0,1.0
1257421,,111662,51677,2,1,0,1,1.0,1.0
1257422,,17101,51678,2,1,0,1,1.0,1.0
1257425,,665,51681,2,1,0,1,1.0,1.0
1257445,,16576,51685,2,1,0,1,1.0,1.0
1257454,,5210,51690,2,1,0,1,1.0,1.0
1257596,,476,51704,2,1,0,1,1.0,1.0
1257653,,14180,51717,2,1,0,1,1.0,1.0
1265551,,376736,51749,2,1,0,1,1.0,1.0
1159348,16479,16445,38692,32,32,1,31,0.9688,0.9375
1080458,26324,16047,18923,24,24,1,23,0.9583,0.9167
1217152,280968,281275,3346,19,19,1,18,0.9474,0.8947
1126038,102048,102047,27041,19,19,1,18,0.9474,0.8947
1009442,390898,390901,3073,18,18,1,17,0.9444,0.8889
1102207,16242,16286,25671,18,18,1,17,0.9444,0.8889
1222133,12250,24957,34746,18,18,1,17,0.9444,0.8889
1176142,13071,13049,39270,17,17,1,16,0.9412,0.8824
1079331,57883,57893,774,16,16,1,15,0.9375,0.875
1201098,12002,24865,44964,16,16,1,15,0.9375,0.875
1280714,10991,10968,48876,16,16,1,15,0.9375,0.875
1038509,354828,354843,3442,15,15,1,14,0.9333,0.8667
1063144,21975,21976,16130,15,15,1,14,0.9333,0.8667
1076628,284155,282241,19348,15,15,1,14,0.9333,0.8667
1222795,10679,10731,45444,15,15,1,14,0.9333,0.8667
1070106,199042,199043,767,14,14,1,13,0.9286,0.8571
1080154,15897,15893,1194,14,14,1,13,0.9286,0.8571
1035302,286723,286724,3440,14,14,1,13,0.9286,0.8571
1034164,294077,294076,9774,14,14,1,13,0.9286,0.8571
1277325,1785,1820,25547,14,14,1,13,0.9286,0.8571
1113152,25813,14647,28258,14,14,1,13,0.9286,0.8571
1149874,262077,262079,35592,14,14,1,13,0.9286,0.8571
1164250,3234,21246,39352,14,14,1,13,0.9286,0.8571
1189189,4297,4310,42178,14,14,1,13,0.9286,0.8571
1216562,11157,82208,48622,14,14,1,13,0.9286,0.8571
1000727,221438,5576,60,13,13,1,12,0.9231,0.8462
1008326,24698,24718,1798,13,13,1,12,0.9231,0.8462
1057321,343987,343986,4013,13,13,1,12,0.9231,0.8462
1043269,156167,129268,7903,13,13,1,12,0.9231,0.8462
1056850,192324,192327,14151,13,13,1,12,0.9231,0.8462
1127860,5271,5301,16990,13,13,1,12,0.9231,0.8462
1228624,23009,8225,18452,13,13,1,12,0.9231,0.8462
1077110,273279,282236,18792,13,13,1,12,0.9231,0.8462
1075914,273278,282235,19186,13,13,1,12,0.9231,0.8462
1076678,284157,284155,19349,13,13,1,12,0.9231,0.8462
1116256,14318,14342,1173,12,12,1,11,0.9167,0.8333
1024416,258564,258563,3465,12,12,1,11,0.9167,0.8333
1202902,27207,18762,5005,12,12,1,11,0.9167,0.8333
1131849,345084,20786,5191,12,12,1,11,0.9167,0.8333
1189188,4310,4297,5374,12,12,1,11,0.9167,0.8333
1033900,288002,288003,7831,12,12,1,11,0.9167,0.8333
1038122,148481,148482,8174,12,12,1,11,0.9167,0.8333
1090506,1307,1332,14906,12,12,1,11,0.9167,0.8333
1188497,3217,3178,17687,12,12,1,11,0.9167,0.8333
1187083,102048,102050,18296,12,12,1,11,0.9167,0.8333
1079458,35167,35164,20071,12,12,1,11,0.9167,0.8333
1093870,18361,18332,23706,12,12,1,11,0.9167,0.8333
1113899,5189,21785,26894,12,12,1,11,0.9167,0.8333
1116688,14342,25725,28463,12,12,1,11,0.9167,0.8333
