BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER
1202843,264643.0,31358.0,0
1012540,15373.0,501900.0,21
1005528,19823.0,19819.0,24
1000561,296.0,285.0,25
1000995,296.0,285.0,25
1001551,296.0,285.0,25
1001556,94692.0,285.0,25
1001536,296.0,285.0,25
1001538,296.0,285.0,25
1001415,433.0,446.0,29
1000565,461.0,446.0,29
1000997,443.0,446.0,29
1001389,438.0,446.0,29
1001016,440.0,446.0,29
1006071,24292.0,10671.0,35
1012979,13395.0,13414.0,52
1000727,221438.0,5576.0,60
1000616,5581.0,5579.0,68
1000680,58523.0,5564.0,72
1000622,5565.0,5564.0,72
1000666,5576.0,221438.0,73
1000685,5580.0,221438.0,73
1005546,21905.0,21901.0,89
1000648,153928.0,21901.0,89
1000649,153929.0,21901.0,89
1000679,5563.0,5569.0,91
1000655,5573.0,5569.0,91
1000657,5573.0,5569.0,91
1000658,5570.0,5569.0,91
1000661,5558.0,453995.0,93
1136544,535967.0,5549.0,99
1002068,402.0,399.0,123
1000734,5522.0,5520.0,133
1014291,375317.0,375316.0,136
1304323,19707.0,19702.0,153
1000772,19689.0,19690.0,159
1000775,19689.0,19690.0,159
1003639,19696.0,19690.0,159
1000779,19840.0,426.0,165
1003770,5496.0,5494.0,166
1000828,5507.0,5509.0,167
1000782,5504.0,5509.0,167
1000816,5507.0,5509.0,167
1003642,5507.0,5509.0,167
1000818,5504.0,5509.0,167
1003705,19681.0,19683.0,172
1003603,19687.0,19691.0,180
1003804,19691.0,19694.0,181
1000803,236.0,19796.0,183
1000804,171195.0,7771.0,184
1000808,19816.0,334.0,187
1001247,268161.0,294.0,190
1001256,268161.0,294.0,190
1001258,268161.0,294.0,190
1001259,320.0,294.0,190
1001245,268161.0,294.0,190
1003745,298.0,302.0,191
1003659,302.0,298.0,196
1000832,19676.0,19679.0,201
1000836,19677.0,19676.0,202
1000841,19709.0,5495.0,205
1000864,19688.0,19681.0,209
1000851,19688.0,19681.0,209
1001919,426.0,19838.0,210
1001987,449260.0,85736.0,213
1000893,83807.0,5465.0,218
1003663,19694.0,19709.0,228
1003706,19705.0,19709.0,228
1003583,19694.0,19709.0,228
