BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1000524,1,2,1,0,0.0
1000527,4,11,7,0,0.3
1000530,4,11,7,0,0.3
1000538,1,8,7,0,0.0
1000547,6,7,3,2,0.375
1000559,8,10,2,0,0.7778
1000560,1,3,2,0,0.0
1000561,10,12,2,0,0.8182
1000563,9,8,0,1,0.875
1000564,1,11,10,0,0.0
1000565,4,11,7,0,0.3
1000567,8,2,0,6,0.1429
1000575,6,2,0,4,0.2
1000576,1,2,1,0,0.0
1000577,5,7,2,0,0.6667
1000582,7,6,0,1,0.8333
1000588,4,11,7,0,0.3
1000589,4,11,7,0,0.3
1000595,9,6,0,3,0.625
1000596,1,11,10,0,0.0
1000597,1,8,7,0,0.0
1000606,17,13,0,4,0.75
1000615,9,4,0,5,0.375
1000616,17,3,0,14,0.125
1000623,17,13,0,4,0.75
1000625,17,13,0,4,0.75
1000626,17,13,0,4,0.75
1000627,3,4,1,0,0.6667
1000629,3,4,1,0,0.6667
1000630,3,4,1,0,0.6667
1000634,1,4,3,0,0.0
1000642,3,1,0,2,0.0
1000643,3,2,0,1,0.5
1000645,3,2,0,1,0.5
1000646,3,2,0,1,0.5
1000647,6,8,2,0,0.7143
1000648,6,8,2,0,0.7143
1000649,6,8,2,0,0.7143
1000652,17,13,0,4,0.75
1000653,17,13,0,4,0.75
1000654,17,13,0,4,0.75
1000656,1,2,1,0,0.0
1000663,17,3,0,14,0.125
1000665,17,3,0,14,0.125
1000667,1,2,1,0,0.0
1000668,1,3,2,0,0.0
1000672,2,20,19,1,0.0
1000683,17,13,0,4,0.75
1000687,3,2,0,1,0.5
1000689,3,1,0,2,0.0
1000696,2,3,1,0,0.5
1000697,2,3,1,0,0.5
1000698,1,2,1,0,0.0
1000711,2,3,1,0,0.5
1000716,1,2,1,0,0.0
1000717,2,3,1,0,0.5
1000724,17,13,0,4,0.75
1000725,17,13,0,4,0.75
1000726,17,13,0,4,0.75
1000727,17,13,0,4,0.75
1000751,1,2,1,0,0.0
1000754,5,3,0,2,0.5
1000755,5,3,0,2,0.5
1000771,6,7,1,0,0.8333
1000778,1,3,2,0,0.0
1000780,3,2,0,1,0.5
1000782,14,10,0,4,0.6923
1000784,1,3,2,0,0.0
1000785,3,1,0,2,0.0
1000788,1,5,4,0,0.0
1000790,7,6,0,1,0.8333
1000791,1,8,7,0,0.0
1000795,11,8,1,4,0.5455
1000796,1,7,6,0,0.0
1000798,11,6,0,5,0.5
1000800,5,3,0,2,0.5
1000802,8,10,2,0,0.7778
1000803,6,7,1,0,0.8333
1000805,8,10,2,0,0.7778
1000806,2,11,9,0,0.1
1000808,5,4,2,3,0.1667
1000809,5,4,2,3,0.1667
1000810,5,4,2,3,0.1667
1000812,8,8,1,1,0.75
1000816,14,10,0,4,0.6923
1000818,14,10,0,4,0.6923
1000819,14,4,0,10,0.2308
1000820,8,10,2,0,0.7778
1000822,8,10,2,0,0.7778
1000825,2,5,3,0,0.25
1000826,1,5,4,0,0.0
1000828,14,10,0,4,0.6923
1000829,14,10,0,4,0.6923
1000830,14,10,0,4,0.6923
1000831,6,7,1,0,0.8333
1000832,1,4,3,0,0.0
1000834,3,4,1,0,0.6667
1000835,3,4,1,0,0.6667
1000844,1,5,4,0,0.0
1000845,133,9,0,124,0.0606
1000848,1,2,1,0,0.0
1000849,9,10,1,0,0.8889
1000850,9,10,1,0,0.8889
1000851,9,10,1,0,0.8889
1000859,2,5,3,0,0.25
1000863,3,1,0,2,0.0
1000864,9,10,1,0,0.8889
1000866,9,10,1,0,0.8889
1000867,1,10,9,0,0.0
1000868,2,3,1,0,0.5
1000869,4,8,4,0,0.4286
1000870,9,8,0,1,0.875
1000875,2,3,1,0,0.5
1000877,4,9,5,0,0.375
1000878,1,9,8,0,0.0
1000879,4,9,5,0,0.375
1000880,2,4,2,0,0.3333
1000882,1,4,3,0,0.0
1000883,1,3,2,0,0.0
1000884,27,5,0,22,0.1538
1000885,27,5,0,22,0.1538
1000887,27,5,0,22,0.1538
1000888,10,11,1,0,0.9
1000890,10,11,1,0,0.9
1000891,10,11,1,0,0.9
1000893,4,8,4,0,0.4286
1000894,1,34,33,0,0.0
1000896,9,5,0,4,0.5
1000897,23,13,4,14,0.3077
1000899,1,13,12,0,0.0
1000900,2,3,1,0,0.5
1000901,2,3,1,0,0.5
1000902,2,5,3,0,0.25
1000903,1,11,10,0,0.0
1000912,6,8,2,0,0.7143
1000913,6,8,2,0,0.7143
1000914,6,8,2,0,0.7143
1000915,6,8,2,0,0.7143
1000917,3,4,1,0,0.6667
