NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
10004,8,8,2
10015,10,10,2
1002,9,9,3
10023,10,10,3
10029,11,11,3
10031,7,7,2
10032,4,4,2
10037,10,10,2
10038,12,12,2
10043,8,8,2
10044,10,10,3
10047,6,6,2
10058,3,3,3
10067,2,2,2
10069,7,7,2
10075,6,6,3
10077,8,8,3
10078,7,7,2
1008,11,11,4
10081,13,13,2
10085,11,11,2
10089,9,9,2
10097,7,7,2
1010,7,7,2
10114,7,7,2
1012,7,7,2
10120,7,7,3
10123,10,10,3
10129,7,7,2
10139,16,16,8
1014,9,9,3
10141,7,7,2
10153,4,4,2
10157,2,2,2
10161,3,3,2
10164,6,6,2
10165,3,3,2
10167,3,3,2
10175,2,2,2
10176,2,2,2
10180,8,8,3
10183,2,2,2
10191,7,7,2
10195,7,7,2
10197,2,2,2
1020,9,9,3
10205,6,6,2
10217,7,7,2
10218,7,7,2
10219,6,6,2
10228,6,6,2
1023,24,24,3
10232,8,8,2
1024,7,7,2
10241,9,9,3
10248,9,9,4
10257,7,7,2
10261,6,6,2
10264,9,9,2
10266,7,7,2
10274,9,9,2
10285,8,8,2
10289,3,3,3
10292,3,3,3
10293,2,2,2
10294,12,12,5
10297,4,4,2
10299,6,6,2
10300,6,6,2
10303,8,8,3
10305,7,7,2
10308,7,7,2
10312,5,5,2
1033,2,2,2
10333,12,12,2
10343,8,8,2
10352,6,6,2
10358,6,6,2
10364,13,13,2
10370,2,2,2
10381,6,6,2
10384,8,8,2
10389,7,7,2
10392,14,14,3
1040,2,2,2
10400,8,8,3
10405,10,10,4
10406,2,2,2
10409,3,3,2
10410,3,3,2
10414,7,7,3
10417,7,7,2
10425,8,8,2
10431,6,6,2
10439,7,7,2
1044,3,3,3
10440,7,7,3
10443,7,7,2
10447,9,9,3
10449,9,9,3
10468,11,11,4
10472,6,6,2
10481,9,9,3
10491,7,7,2
10493,6,6,2
10497,9,9,2
10499,8,8,2
105,2,2,2
1050,7,7,3
10507,7,7,3
10511,7,7,2
10515,2,2,2
1052,20,20,5
10530,8,8,3
10531,10,10,2
10532,9,9,3
10538,8,8,2
10539,3,3,2
1054,13,13,7
10541,6,6,2
10543,10,10,3
10551,9,9,4
10554,8,8,3
10559,18,18,2
10562,7,7,2
10563,8,8,2
10564,4,4,2
10569,7,7,2
10570,16,16,7
10571,7,7,2
10572,9,9,2
10575,8,8,2
10576,7,7,2
10577,9,9,2
10581,6,6,2
10586,7,7,5
10588,8,8,2
10589,10,10,2
1059,6,6,3
10590,7,7,2
10594,8,8,2
10598,9,9,3
10605,6,6,2
10609,8,8,3
10613,7,7,2
10619,8,8,2
1062,6,6,2
10631,8,8,2
10632,9,9,2
10644,2,2,2
10646,9,9,2
10647,7,7,2
10656,7,7,2
10659,9,9,2
10661,6,6,2
10664,7,7,2
10666,9,9,2
10667,8,8,2
10668,8,8,3
10670,6,6,2
10671,3,3,2
10672,9,9,4
10673,5,5,2
10674,2,2,2
10677,9,9,3
10680,2,2,2
10681,3,3,3
10682,3,3,2
10683,4,4,2
10686,8,8,2
1069,6,6,2
10693,14,14,3
10698,7,7,2
1070,8,8,3
10701,23,23,4
10702,12,12,2
10703,13,13,2
10711,9,9,2
10714,11,11,5
10717,7,7,2
10720,2,2,2
10727,6,6,2
10729,2,2,2
10734,6,6,2
1074,10,10,2
10742,10,10,2
1075,10,10,3
10751,7,7,2
10758,8,8,3
10763,10,10,2
1078,8,8,2
10780,7,7,2
10782,7,7,3
10784,2,2,2
10785,3,3,2
10787,9,9,4
10793,2,2,2
10794,14,14,3
10796,8,8,2
10798,9,9,3
10801,10,10,2
10803,2,2,2
10804,10,10,2
10810,7,7,2
10816,10,10,5
10818,3,3,2
10821,7,7,3
10823,7,7,2
10828,12,12,4
10831,7,7,3
10832,6,6,2
10833,3,3,2
10834,7,7,2
10835,21,21,11
10836,6,6,3
10837,6,6,2
10841,6,6,2
10845,7,7,2
1085,8,8,2
10858,12,12,3
10859,9,9,3
10864,8,8,2
10865,3,3,3
10868,7,7,3
1087,10,10,6
10871,2,2,2
10873,8,8,2
10874,9,9,3
10876,7,7,2
1088,9,9,2
10880,6,6,2
10883,7,7,3
10884,8,8,2
10889,11,11,2
10903,12,12,4
10904,6,6,2
10910,3,3,2
10912,7,7,2
10913,6,6,2
10914,8,8,2
10917,10,10,3
10918,13,13,2
1093,18,18,2
10931,8,8,2
10938,9,9,4
10941,2,2,2
10945,6,6,4
1095,10,10,3
10953,6,6,3
10954,2,2,2
10955,9,9,2
10957,5,5,2
10965,5,5,2
10967,7,7,2
1097,10,10,2
10970,7,7,2
10976,14,14,3
1098,7,7,2
1099,7,7,3
10990,7,7,3
10993,6,6,2
1100,9,9,3
11005,2,2,2
11009,6,6,2
11010,8,8,2
11011,7,7,2
11017,7,7,2
11019,7,7,2
11020,7,7,2
11021,7,7,2
11023,3,3,3
11024,2,2,2
11025,2,2,2
11029,8,8,3
11034,3,3,2
11042,8,8,2
11045,8,8,2
11049,9,9,3
1105,4,4,2
11051,8,8,2
11067,12,12,4
11071,7,7,2
11072,6,6,2
11073,8,8,2
11078,10,10,2
1108,2,2,2
11082,4,4,2
11083,2,2,2
11098,6,6,2
11126,6,6,2
11127,2,2,2
1113,6,6,2
11130,2,2,2
11131,11,11,2
11137,4,4,2
11144,8,8,2
11146,7,7,2
11148,9,9,2
11159,6,6,2
11160,6,6,2
11163,8,8,2
11172,2,2,2
11173,8,8,3
11188,21,21,4
11190,14,14,3
11191,3,3,2
11192,9,9,2
11199,11,11,2
11210,7,7,2
11213,8,8,3
11216,7,7,2
11219,8,8,2
11227,7,7,2
11230,13,13,2
11231,7,7,2
11239,8,8,2
11244,13,13,5
11246,6,6,2
11248,5,5,2
11252,6,6,4
11254,7,7,2
11256,7,7,2
11257,7,7,3
11259,6,6,2
11268,9,9,2
11269,9,9,2
11274,9,9,2
11276,7,7,2
11278,5,5,2
11279,8,8,2
11282,8,8,2
11285,9,9,2
11289,8,8,2
11292,10,10,2
1130,9,9,2
11310,8,8,2
11311,6,6,2
11313,7,7,4
11315,7,7,2
11316,8,8,2
11319,9,9,2
11321,8,8,3
11322,9,9,2
11328,11,11,6
11334,2,2,2
11336,6,6,2
11341,6,6,2
11344,11,11,3
11355,7,7,2
11360,6,6,2
11369,7,7,2
11372,7,7,2
11376,10,10,2
11382,15,15,6
11384,12,12,3
11387,11,11,7
11389,7,7,3
11391,7,7,2
11396,8,8,2
11397,7,7,2
11409,7,7,2
11410,3,3,2
11414,14,14,2
11419,3,3,2
11422,8,8,2
11429,2,2,2
11432,6,6,2
11435,12,12,2
11439,7,7,2
11446,8,8,2
11447,8,8,2
11458,8,8,2
11461,7,7,4
11462,10,10,3
11463,3,3,2
11470,7,7,2
11476,8,8,2
1148,5,5,2
11485,7,7,2
11491,13,13,3
1150,9,9,3
11509,6,6,2
11511,9,9,2
11513,8,8,3
11516,6,6,2
11520,7,7,2
11527,7,7,2
11529,7,7,2
11531,9,9,2
11537,8,8,2
1154,6,6,2
11540,7,7,2
11547,5,5,3
11549,6,6,2
11553,6,6,2
11556,7,7,2
11557,3,3,2
11558,9,9,3
11559,8,8,2
1156,7,7,2
11562,8,8,2
11564,9,9,3
11569,5,5,2
11570,12,12,3
11575,9,9,2
11577,9,9,2
11587,7,7,2
11602,4,4,2
11606,19,19,4
11613,9,9,3
11629,13,13,4
11631,2,2,2
11644,8,8,2
11650,8,8,2
11665,4,4,2
11669,8,8,3
117,3,3,2
1170,7,7,2
1171,8,8,2
11713,8,8,2
11715,8,8,2
11716,12,12,4
11721,8,8,2
11724,7,7,2
1173,3,3,3
11730,7,7,2
11731,7,7,6
11735,11,11,3
11736,5,5,2
11739,14,14,7
11740,16,16,2
11741,10,10,2
11747,6,6,2
11750,6,6,2
1176,7,7,2
11762,8,8,2
11772,10,10,9
11773,3,3,3
11774,9,9,6
11775,3,3,2
11776,3,3,2
11780,2,2,2
11782,2,2,2
11793,9,9,2
118,2,2,2
11806,6,6,2
11808,4,4,3
11811,6,6,2
11813,8,8,3
11820,7,7,2
11824,9,9,3
11826,9,9,2
11831,6,6,2
11835,8,8,2
11838,11,11,3
11841,7,7,2
11843,7,7,2
11844,7,7,2
11845,7,7,5
11858,8,8,2
11861,5,5,2
11862,8,8,2
1187,7,7,3
11878,6,6,2
1188,7,7,2
11880,8,8,2
11882,3,3,2
11887,7,7,2
1189,8,8,2
11891,8,8,2
11899,5,5,2
119,3,3,2
11901,6,6,2
11906,7,7,2
11908,6,6,5
11912,8,8,2
11913,8,8,2
11919,8,8,2
11921,8,8,2
11931,8,8,2
11937,2,2,2
11940,10,10,2
11942,9,9,2
1195,17,17,7
11952,10,10,3
11959,10,10,4
11964,9,9,4
11966,10,10,4
11967,8,8,3
11975,11,11,3
11976,9,9,4
11977,30,30,6
11981,7,7,3
11984,6,6,3
11985,12,12,2
11987,7,7,3
11990,6,6,2
11991,10,10,2
11992,2,2,2
11994,2,2,2
11995,2,2,2
12,8,8,5
12013,2,2,2
12015,2,2,2
12023,8,8,3
12039,8,8,2
1204,6,6,2
12042,8,8,2
12043,7,7,3
12044,11,11,2
1205,6,6,2
12051,2,2,2
12052,2,2,2
12055,6,6,2
12056,8,8,3
12059,7,7,2
12064,9,9,2
12065,4,4,2
12070,3,3,3
12076,7,7,2
12090,8,8,2
12093,7,7,2
12107,7,7,2
12108,10,10,3
12124,6,6,2
1213,6,6,2
1214,11,11,2
12144,6,6,2
12147,8,8,3
12150,7,7,2
12152,7,7,2
12153,3,3,3
12154,11,11,2
12155,2,2,2
12159,2,2,2
12160,8,8,4
12166,2,2,2
12171,7,7,2
12181,7,7,2
12187,2,2,2
12189,8,8,2
12191,2,2,2
12196,4,4,2
12197,8,8,2
12201,10,10,2
12221,7,7,2
1223,15,15,5
1224,8,8,3
12242,6,6,2
12249,5,5,2
12252,10,10,2
1226,9,9,2
12261,2,2,2
12266,8,8,5
12269,6,6,5
12270,6,6,2
12276,7,7,2
12278,4,4,2
12282,11,11,6
12284,2,2,2
12288,12,12,2
12307,7,7,2
12315,8,8,2
12319,8,8,2
12320,6,6,2
12322,7,7,3
12331,6,6,2
12333,2,2,2
12336,9,9,8
12351,9,9,2
12357,10,10,2
12362,7,7,2
12363,2,2,2
12366,7,7,2
12374,12,12,2
12384,6,6,2
1239,7,7,2
12396,9,9,2
12400,6,6,3
12403,8,8,2
12407,10,10,3
1241,9,9,3
1242,12,12,2
12421,10,10,2
12422,13,13,3
12425,5,5,2
12428,7,7,3
1243,7,7,2
12439,7,7,2
1244,8,8,2
12440,9,9,2
12444,6,6,2
12448,7,7,3
12449,6,6,2
12451,7,7,2
12453,7,7,2
12459,7,7,2
1246,9,9,3
12473,19,19,2
12475,8,8,2
12479,9,9,3
1248,2,2,2
12484,8,8,8
12488,7,7,2
12495,9,9,3
12505,7,7,2
12507,10,10,2
12508,7,7,3
12511,7,7,2
12514,12,12,5
12517,9,9,2
12520,5,5,2
12529,8,8,2
12542,2,2,2
12550,8,8,2
12570,9,9,2
12583,7,7,2
12585,8,8,2
12590,12,12,2
12592,7,7,2
12595,4,4,2
12599,9,9,2
12602,10,10,2
1261,9,9,2
12611,8,8,2
12613,10,10,4
1262,7,7,2
12627,7,7,2
1263,5,5,2
12634,10,10,2
12639,2,2,2
12649,10,10,2
12652,11,11,2
12655,7,7,2
12656,7,7,3
12657,7,7,2
12660,10,10,2
12679,6,6,2
12681,10,10,5
12682,14,14,2
12683,9,9,2
12684,7,7,2
12687,8,8,2
1269,2,2,2
12691,6,6,2
12695,12,12,2
12704,9,9,2
12706,6,6,2
12715,6,6,2
12716,2,2,2
12723,9,9,3
12724,2,2,2
12729,4,4,2
1273,8,8,2
12733,14,14,6
12737,7,7,2
12743,9,9,3
12744,9,9,2
12747,7,7,2
12748,18,18,7
12750,2,2,2
1276,7,7,2
12762,8,8,2
12763,8,8,3
12764,9,9,3
12766,10,10,4
12771,10,10,2
12774,8,8,2
12777,12,12,3
12780,8,8,2
12789,4,4,2
12791,8,8,2
12794,12,12,3
12796,5,5,2
12807,17,17,6
12811,7,7,2
12815,8,8,2
12826,7,7,2
12828,11,11,2
12830,7,7,2
12840,9,9,3
12843,32,32,3
12876,17,17,2
12889,2,2,2
12894,7,7,2
1290,8,8,2
12900,2,2,2
12908,3,3,2
12909,2,2,2
12920,3,3,3
12921,3,3,2
12923,9,9,3
12929,4,4,2
1294,7,7,2
12958,10,10,7
1296,9,9,4
12970,12,12,2
12973,11,11,2
12974,8,8,2
12978,7,7,3
12979,8,8,2
12982,11,11,2
12985,8,8,2
12986,8,8,2
12987,23,23,3
12988,46,46,5
12989,8,8,2
12996,8,8,2
12999,14,14,2
13006,4,4,2
13008,9,9,5
13011,7,7,2
13012,11,11,2
13013,13,13,2
13017,8,8,2
13020,11,11,2
13024,8,8,2
13026,7,7,2
13027,8,8,2
13031,8,8,2
13033,8,8,2
13043,8,8,2
13045,3,3,2
13046,8,8,5
13047,11,11,7
13049,3,3,2
1305,14,14,2
13053,4,4,3
13055,4,4,3
13057,2,2,2
13059,4,4,3
