OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
100,3,3,2
10003,8,8,2
10013,33,33,5
10027,13,13,2
10033,4,4,2
10034,6,6,2
10036,9,9,2
10044,28,28,5
10048,7,7,2
10060,18,18,3
10065,10,10,2
10069,9,9,2
10073,4,4,2
10089,12,12,3
10091,8,8,2
10099,3,3,2
10100,6,6,3
10103,2,2,2
10110,5,5,3
1012,8,8,2
10123,2,2,2
1013,9,9,2
1014,7,7,2
10154,9,9,2
10164,10,10,2
10170,3,3,2
1018,10,10,2
1019,7,7,2
10193,2,2,2
10194,7,7,2
10196,2,2,2
10205,2,2,2
10206,2,2,2
1021,8,8,2
1022,9,9,2
10224,7,7,2
10228,2,2,2
1023,4,4,2
10245,8,8,2
10258,7,7,2
1026,7,7,2
10269,7,7,2
10271,10,10,3
10299,6,6,2
10301,7,7,2
10314,2,2,2
10318,9,9,3
10326,13,13,2
10328,3,3,2
1033,10,10,2
10334,8,8,2
10336,6,6,2
10341,8,8,3
10343,9,9,4
10350,9,9,2
10351,8,8,2
10365,7,7,2
10367,12,12,2
10379,7,7,2
10380,15,15,7
10390,9,9,2
10393,6,6,5
10396,7,7,2
10403,2,2,2
10410,4,4,2
10428,7,7,2
10441,5,5,2
10442,7,7,2
10457,12,12,2
10461,2,2,2
10464,2,2,2
10480,8,8,2
10482,7,7,2
10484,8,8,2
10487,8,8,3
10495,7,7,2
10549,7,7,2
10552,7,7,2
10555,11,11,2
10562,13,13,2
10566,7,7,2
1057,9,9,2
10580,8,8,2
10582,13,13,2
106,3,3,2
1060,9,9,3
10605,7,7,2
10613,14,14,3
10615,9,9,2
10623,9,9,3
10640,8,8,2
10656,2,2,2
1066,8,8,2
10660,18,18,2
10669,15,15,3
10687,9,9,2
10696,6,6,3
10715,7,7,2
10721,7,7,2
10738,5,5,2
10740,16,16,5
10741,2,2,2
10755,7,7,2
10767,7,7,2
10769,10,10,2
10771,11,11,3
10784,7,7,2
10791,7,7,2
10793,5,5,2
10802,12,12,2
10807,7,7,2
10810,9,9,2
10811,7,7,2
10835,7,7,2
10839,6,6,2
10842,8,8,2
10843,5,5,2
10845,7,7,2
10856,5,5,2
10860,10,10,2
10871,3,3,2
10886,6,6,2
1089,16,16,2
10893,8,8,3
10899,4,4,2
10904,3,3,2
10930,7,7,2
10933,8,8,2
10939,9,9,2
1095,9,9,2
10965,6,6,2
10968,2,2,2
10969,7,7,2
10970,12,12,2
11,3,3,2
11001,7,7,2
1101,7,7,2
11013,8,8,2
1103,7,7,2
1104,8,8,3
11040,10,10,2
11041,9,9,3
11042,6,6,2
1105,7,7,2
11051,8,8,2
11053,8,8,2
11054,7,7,2
11064,11,11,2
11065,11,11,3
11069,12,12,3
11070,7,7,2
11071,14,14,2
11074,11,11,2
11075,10,10,3
11077,2,2,2
1108,13,13,4
11082,6,6,2
11083,9,9,2
1109,7,7,2
11099,7,7,2
1110,12,12,2
11104,7,7,2
11109,10,10,2
11110,13,13,2
11114,2,2,2
11116,7,7,2
1112,10,10,2
11128,2,2,2
1113,18,18,3
11135,18,18,3
11142,3,3,2
11150,48,48,10
11160,8,8,2
11161,9,9,2
11162,8,8,2
11163,11,11,3
11168,11,11,2
11172,7,7,2
11177,9,9,2
1119,7,7,2
11190,11,11,2
11193,7,7,2
1120,17,17,3
11204,10,10,2
11208,7,7,2
11209,2,2,2
1123,7,7,2
11236,9,9,2
11247,17,17,6
11258,15,15,2
11260,9,9,2
1127,10,10,2
11274,10,10,3
11281,8,8,2
11290,12,12,4
11292,7,7,2
11298,24,24,4
113,2,2,2
1130,14,14,2
11300,11,11,2
1131,4,4,2
11314,8,8,3
11324,7,7,2
11327,8,8,2
11335,9,9,5
11343,22,22,5
11345,2,2,2
11347,10,10,2
11353,8,8,2
11365,13,13,2
11380,3,3,2
1139,7,7,2
11395,11,11,2
1140,7,7,2
11400,2,2,2
1141,9,9,2
11421,7,7,2
1143,8,8,2
11435,5,5,2
1144,7,7,2
11441,7,7,2
11444,11,11,2
11452,8,8,2
1146,5,5,2
11465,11,11,2
11478,2,2,2
11481,11,11,3
11482,5,5,2
11488,10,10,3
11491,6,6,2
11492,7,7,2
11494,8,8,2
11499,10,10,2
11501,8,8,2
11503,7,7,2
11516,8,8,3
11517,10,10,3
11521,8,8,2
11530,11,11,2
11531,9,9,2
11532,2,2,2
11537,8,8,2
1154,7,7,2
11540,9,9,2
1155,14,14,2
11560,24,24,3
11581,9,9,2
11604,3,3,2
11611,8,8,2
11627,7,7,2
11630,2,2,2
11671,9,9,2
11677,9,9,2
11688,9,9,2
11703,7,7,4
11706,9,9,2
11721,7,7,2
11726,7,7,2
11729,11,11,2
11730,10,10,2
11740,7,7,2
11743,7,7,2
11746,8,8,3
11749,3,3,3
1177,7,7,2
11781,2,2,2
11794,30,30,6
11798,7,7,2
1180,9,9,2
11801,9,9,2
11803,2,2,2
11807,4,4,3
11819,7,7,2
11821,15,15,2
11822,24,24,3
1183,9,9,3
11841,7,7,2
11845,8,8,2
11850,6,6,3
11864,9,9,2
1187,12,12,3
11872,8,8,3
11886,7,7,2
1189,5,5,2
119,2,2,2
1191,7,7,2
11915,10,10,3
11919,8,8,2
1192,7,7,2
11923,7,7,2
11928,7,7,2
11940,7,7,2
11942,9,9,2
11946,7,7,2
11951,2,2,2
1196,7,7,2
11960,7,7,2
11961,8,8,2
11962,10,10,2
1200,15,15,3
12004,13,13,2
12006,3,3,2
12007,9,9,2
12010,2,2,2
12017,7,7,2
12024,28,28,5
12046,7,7,2
12052,12,12,2
12063,2,2,2
12064,7,7,2
12074,11,11,2
12084,17,17,3
12096,17,17,3
12103,9,9,2
12104,23,23,5
12105,10,10,4
1211,7,7,2
12110,10,10,2
12122,9,9,2
12126,11,11,2
12139,8,8,2
12151,10,10,2
12161,9,9,2
12165,9,9,2
12174,9,9,2
12187,6,6,2
12189,9,9,2
12194,8,8,2
12196,8,8,2
1220,7,7,4
12202,10,10,2
12218,11,11,3
1222,9,9,2
12220,7,7,2
12249,3,3,2
12256,13,13,3
12265,6,6,2
12280,10,10,2
12297,8,8,2
1230,8,8,2
12310,7,7,2
12330,6,6,2
12333,2,2,2
12339,11,11,2
1235,29,29,4
12353,13,13,2
12359,9,9,3
12364,5,5,2
12367,7,7,2
12371,8,8,2
12379,19,19,2
12384,12,12,2
1239,9,9,3
12411,54,54,11
1242,2,2,2
12463,7,7,2
12464,8,8,2
12480,5,5,3
12481,9,9,2
12498,24,24,5
12501,8,8,2
12512,6,6,2
12520,7,7,2
12528,5,5,2
12531,2,2,2
1254,4,4,2
12540,8,8,2
12543,9,9,2
12544,4,4,2
12553,8,8,3
12603,7,7,2
12614,10,10,2
12633,8,8,2
12635,3,3,3
12639,7,7,2
12653,7,7,3
12661,12,12,2
12662,7,7,2
12667,6,6,3
1267,6,6,2
12671,2,2,2
12686,9,9,2
1269,7,7,2
12694,15,15,3
12695,3,3,3
12706,16,16,3
12721,3,3,2
12731,4,4,3
12770,15,15,2
12791,13,13,2
12797,6,6,2
12799,7,7,2
12806,10,10,3
12810,7,7,2
12815,53,53,11
12824,19,19,4
1284,4,4,2
12859,7,7,2
12884,11,11,2
12887,6,6,2
12948,7,7,2
1295,2,2,2
12951,8,8,2
12954,7,7,2
12970,10,10,2
12973,2,2,2
12975,2,2,2
12980,7,7,2
12992,6,6,2
12993,12,12,2
13,3,3,3
1300,2,2,2
13002,13,13,2
13011,7,7,2
1302,7,7,2
13039,5,5,2
1306,8,8,2
13061,10,10,2
13064,11,11,3
13071,8,8,2
13078,8,8,2
13083,10,10,2
13085,7,7,2
13111,14,14,2
13120,25,25,2
13122,7,7,2
13124,17,17,4
13131,3,3,2
13144,10,10,2
13147,41,41,7
13156,8,8,2
13157,17,17,3
13163,11,11,2
13165,11,11,2
13178,8,8,2
13201,2,2,2
13211,8,8,2
13235,9,9,3
13246,7,7,2
13261,9,9,2
13262,6,6,4
13274,9,9,2
1328,4,4,2
13291,13,13,2
13293,10,10,2
13300,12,12,2
13301,7,7,2
13304,9,9,2
13305,18,18,3
13307,4,4,2
13312,18,18,2
13314,5,5,2
13315,7,7,2
13318,13,13,3
13325,13,13,2
13330,5,5,2
13331,5,5,2
13332,23,23,3
1334,25,25,3
13342,7,7,2
13354,10,10,2
13363,12,12,2
13367,6,6,2
13368,4,4,2
13369,9,9,4
13370,6,6,2
13371,13,13,2
13372,11,11,2
13373,19,19,3
13377,21,21,3
13380,9,9,2
13381,4,4,2
13386,8,8,3
13388,3,3,2
13390,7,7,4
13394,11,11,2
13395,6,6,2
13397,11,11,2
13399,9,9,2
1340,7,7,2
13410,12,12,4
13412,6,6,3
13417,9,9,2
13418,4,4,3
13422,13,13,5
13423,2,2,2
13433,28,28,5
13439,8,8,2
13442,5,5,3
13445,4,4,3
13447,6,6,2
13451,7,7,4
13455,22,22,3
13458,20,20,4
13466,9,9,2
13468,10,10,2
13470,8,8,2
13479,10,10,2
13480,6,6,2
13486,13,13,3
13487,8,8,2
13488,27,27,9
13489,5,5,2
13490,14,14,2
13491,7,7,2
13493,9,9,2
13498,8,8,2
1350,10,10,4
13502,16,16,3
13503,7,7,2
13508,4,4,3
13511,18,18,6
13523,7,7,2
13528,6,6,2
13531,7,7,4
13533,15,15,2
13538,5,5,2
1354,4,4,2
13540,9,9,3
13547,3,3,2
13548,3,3,2
13550,3,3,2
13600,5,5,2
13613,4,4,3
13615,2,2,2
13624,6,6,2
13629,5,5,3
1363,6,6,2
13636,11,11,3
13638,3,3,2
13641,5,5,2
13647,2,2,2
13659,3,3,2
13660,13,13,2
1367,9,9,2
13673,40,40,9
13676,11,11,2
13679,67,67,7
1368,7,7,2
13685,6,6,2
13692,10,10,2
13693,2,2,2
13698,15,15,2
13699,28,28,4
13708,13,13,2
1372,10,10,2
13720,33,33,4
13725,34,34,2
13729,10,10,2
1373,7,7,2
13761,3,3,2
13767,2,2,2
13769,2,2,2
13771,3,3,2
13778,7,7,2
13792,8,8,2
13804,2,2,2
13808,15,15,5
13813,2,2,2
13817,8,8,2
13819,6,6,2
13821,2,2,2
13828,7,7,2
1383,8,8,2
13839,15,15,2
1384,163,163,24
1387,9,9,2
13894,8,8,2
13920,2,2,2
13931,8,8,2
13939,7,7,2
13953,12,12,2
13973,5,5,2
13974,9,9,2
13977,4,4,2
13988,3,3,2
13991,9,9,2
14003,9,9,2
14013,11,11,2
14028,7,7,2
14029,2,2,2
14031,2,2,2
14039,9,9,2
14051,9,9,2
14068,7,7,2
14088,8,8,3
14095,11,11,2
14097,14,14,6
1410,8,8,2
14103,3,3,2
14106,8,8,2
14109,19,19,6
1411,7,7,2
14110,11,11,2
14112,7,7,2
14144,13,13,3
14159,13,13,4
14160,10,10,3
14162,7,7,2
14163,7,7,3
14178,3,3,2
14181,7,7,2
14183,6,6,2
14184,7,7,2
14185,8,8,2
1419,7,7,2
14194,18,18,2
14195,7,7,2
14200,8,8,2
14205,8,8,2
1422,9,9,2
14223,9,9,2
14225,11,11,3
14231,9,9,2
14234,14,14,2
14235,7,7,2
1424,9,9,3
1426,7,7,4
14262,10,10,2
14271,11,11,7
14272,7,7,2
1428,8,8,2
14286,23,23,4
143,12,12,2
14300,8,8,2
14307,2,2,2
14319,15,15,2
14332,6,6,2
14335,13,13,2
14347,2,2,2
1435,9,9,2
1437,10,10,4
14380,14,14,2
14388,8,8,2
1439,8,8,2
14391,3,3,2
144,5,5,2
14400,9,9,3
14403,21,21,8
1441,8,8,2
1442,26,26,4
1443,7,7,2
14436,11,11,3
14437,20,20,4
14440,5,5,2
14459,7,7,2
14460,7,7,2
14466,9,9,2
14474,2,2,2
14486,2,2,2
14487,6,6,2
14491,7,7,2
14513,2,2,2
14530,11,11,2
1454,7,7,2
14544,7,7,2
14552,2,2,2
1456,10,10,3
14561,2,2,2
14564,9,9,2
14579,20,20,3
1458,9,9,2
14584,4,4,2
14595,12,12,3
14601,4,4,2
14614,8,8,2
14615,8,8,2
14633,3,3,2
14641,6,6,3
14643,19,19,3
14651,8,8,2
14654,9,9,2
1466,8,8,2
14664,10,10,3
1467,8,8,2
1468,8,8,2
14681,8,8,2
14686,10,10,2
14695,8,8,2
14697,8,8,2
14702,16,16,2
1471,2,2,2
1472,12,12,2
14727,16,16,3
1473,9,9,2
14732,10,10,2
14744,21,21,3
14761,9,9,5
14765,5,5,3
14770,6,6,2
14774,10,10,2
14779,8,8,2
14784,7,7,2
14785,7,7,3
14789,6,6,3
14790,9,9,3
14798,6,6,2
14802,10,10,2
14805,4,4,3
14808,9,9,2
1481,6,6,2
14813,7,7,3
14816,4,4,2
14819,6,6,2
1482,2,2,2
14821,5,5,2
14824,6,6,2
14830,8,8,4
14844,7,7,2
14854,15,15,2
14858,7,7,2
1486,13,13,2
14863,7,7,2
14870,9,9,2
14871,12,12,2
14875,7,7,2
14877,16,16,2
14880,8,8,2
14886,7,7,2
14887,12,12,2
14889,12,12,2
14890,4,4,2
14891,4,4,2
14896,8,8,2
14909,4,4,2
14910,9,9,2
14915,6,6,2
14916,7,7,2
14927,3,3,2
14930,7,7,2
14931,38,38,6
14933,12,12,3
14935,7,7,2
14936,21,21,3
14938,7,7,3
14939,7,7,2
14944,6,6,2
14945,56,56,9
14946,2,2,2
14949,10,10,2
14951,7,7,3
14954,6,6,3
14959,9,9,2
14961,12,12,2
14962,11,11,2
14963,23,23,3
14969,8,8,2
14973,14,14,2
14979,7,7,3
14981,11,11,4
14982,5,5,3
14983,11,11,6
14990,6,6,2
14992,3,3,2
14996,9,9,2
14998,9,9,2
1500,16,16,3
15005,3,3,2
15007,8,8,2
1501,6,6,2
15011,9,9,2
15014,4,4,2
15017,6,6,3
15029,6,6,3
15031,6,6,2
15033,14,14,2
15037,3,3,2
15042,7,7,4
15043,10,10,3
15044,11,11,3
15047,3,3,2
15049,6,6,2
15050,9,9,2
15051,14,14,3
15052,9,9,2
15056,6,6,2
15059,8,8,2
15068,7,7,2
15069,7,7,4
15071,8,8,2
15072,5,5,2
15075,34,34,4
15079,12,12,4
1508,7,7,2
15080,11,11,3
15082,14,14,6
15084,8,8,5
15085,9,9,2
15089,21,21,2
1509,10,10,4
1510,9,9,2
15101,7,7,2
15104,10,10,2
15105,9,9,2
15118,2,2,2
1512,11,11,2
15120,9,9,3
15126,27,27,3
15127,7,7,2
15128,10,10,2
15130,4,4,3
15131,15,15,4
15138,11,11,2
15139,9,9,3
15143,12,12,2
15147,6,6,4
1516,9,9,2
15165,9,9,2
15168,6,6,3
15173,10,10,2
15182,16,16,5
15184,4,4,2
15204,6,6,2
15209,8,8,2
1521,9,9,2
15210,4,4,2
15218,6,6,3
15220,8,8,2
15221,13,13,4
15223,14,14,2
15225,17,17,4
15233,6,6,2
15235,9,9,4
15236,2,2,2
15239,6,6,2
15240,3,3,2
15250,13,13,2
15251,8,8,3
15256,8,8,3
15257,9,9,4
15262,6,6,2
15263,11,11,2
15264,7,7,2
15265,7,7,2
15266,8,8,2
15276,8,8,5
15278,5,5,2
15279,15,15,2
1528,8,8,4
15280,9,9,2
15287,3,3,3
15288,6,6,2
15289,5,5,3
15290,15,15,6
15295,74,74,8
15303,8,8,2
15309,6,6,3
15310,8,8,2
15315,6,6,2
15330,6,6,2
15342,7,7,2
15346,11,11,4
15348,8,8,2
15355,6,6,3
15358,7,7,2
15360,9,9,2
15361,10,10,2
15363,3,3,3
15372,5,5,3
15373,6,6,3
15374,4,4,2
15387,3,3,2
15389,10,10,2
15390,9,9,2
1540,8,8,2
15404,9,9,2
15405,16,16,4
15406,7,7,3
1541,9,9,2
15419,2,2,2
15420,7,7,2
15423,7,7,2
15426,22,22,2
15427,6,6,4
1543,8,8,2
15430,12,12,2
15432,10,10,3
15435,8,8,4
15438,9,9,2
15439,6,6,2
15440,4,4,3
15443,7,7,2
15450,8,8,2
15456,10,10,4
15461,15,15,2
15463,7,7,2
15465,14,14,2
15467,8,8,3
1547,7,7,2
15473,3,3,2
15476,8,8,3
15477,7,7,2
15478,6,6,3
1548,3,3,2
15480,8,8,3
