BADGE,CURRENT_TRANSFORMER_OLD,RECOMMENDED_TRANSFORMER_OLD,CLUSTER_OLD,CURRENT_TRANSFORMER_NEW,RECOMMENDED_TRANSFORMER_NEW,CLUSTER_NEW,STATUS
1000524,,3771.0,3.0,,,,no_longer_flagged
1000526,,1517.0,4.0,,,,no_longer_flagged
1000553,,2660.0,22.0,,,,no_longer_flagged
1000561,296.0,285.0,25.0,296.0,285.0,25.0,unchanged
1000565,461.0,446.0,29.0,461.0,433.0,29.0,recommendation_changed
1000575,10671.0,93092.0,35.0,,,,no_longer_flagged
1000615,,18160.0,67.0,,,,no_longer_flagged
1000616,5581.0,5576.0,60.0,5581.0,5579.0,68.0,recommendation_changed
1000622,5565.0,5555.0,71.0,5565.0,5564.0,72.0,recommendation_changed
1000629,5544.0,5541.0,73.0,,,,no_longer_flagged
1000630,5546.0,5541.0,73.0,,,,no_longer_flagged
1000648,153928.0,21901.0,85.0,153928.0,21901.0,89.0,unchanged
1000649,153929.0,21901.0,85.0,153929.0,21901.0,89.0,unchanged
1000655,5573.0,5569.0,87.0,5573.0,5569.0,91.0,unchanged
1000656,221438.0,4459.0,88.0,,,,no_longer_flagged
1000657,5573.0,5569.0,87.0,5573.0,5569.0,91.0,unchanged
1000658,5570.0,5569.0,87.0,5570.0,5569.0,91.0,unchanged
1000661,5558.0,453995.0,89.0,,,,no_longer_flagged
1000663,5579.0,5576.0,60.0,,,,no_longer_flagged
1000665,5579.0,5576.0,60.0,,,,no_longer_flagged
1000666,5576.0,221438.0,72.0,5576.0,221438.0,73.0,unchanged
1000672,535963.0,5549.0,95.0,,,,no_longer_flagged
1000679,5563.0,5569.0,87.0,5563.0,5569.0,91.0,unchanged
1000680,58523.0,5555.0,71.0,58523.0,5564.0,72.0,recommendation_changed
1000681,5564.0,5555.0,71.0,,,,no_longer_flagged
1000685,5580.0,221438.0,72.0,5580.0,221438.0,73.0,unchanged
1000692,21893.0,21894.0,61.0,,,,no_longer_flagged
1000727,221438.0,5576.0,60.0,221438.0,5576.0,60.0,unchanged
1000734,5522.0,5520.0,127.0,5522.0,5520.0,136.0,unchanged
1000738,,375316.0,130.0,,,,no_longer_flagged
1000772,19689.0,19690.0,153.0,19689.0,19690.0,162.0,unchanged
1000775,19689.0,19690.0,153.0,19689.0,19690.0,162.0,unchanged
1000779,19840.0,426.0,159.0,,,,no_longer_flagged
1000780,5494.0,5496.0,160.0,,,,no_longer_flagged
1000782,5504.0,5509.0,161.0,5504.0,5509.0,170.0,unchanged
1000785,,390898.0,163.0,,,,no_longer_flagged
1000795,,383756.0,171.0,,,,no_longer_flagged
1000803,236.0,19796.0,177.0,236.0,19796.0,186.0,unchanged
1000804,171195.0,7771.0,178.0,,,,no_longer_flagged
1000808,19816.0,354.0,176.0,19816.0,334.0,190.0,recommendation_changed
1000810,334.0,354.0,176.0,,,,no_longer_flagged
1000816,5507.0,5509.0,161.0,,,,no_longer_flagged
1000818,5504.0,5509.0,161.0,5504.0,5509.0,170.0,unchanged
1000819,5502.0,5509.0,161.0,,,,no_longer_flagged
1000828,5507.0,5509.0,161.0,,,,no_longer_flagged
1000832,,,,19676.0,19679.0,205.0,newly_flagged
1000836,19677.0,19676.0,193.0,19677.0,19676.0,206.0,unchanged
1000841,19709.0,5495.0,197.0,19709.0,5495.0,209.0,unchanged
1000849,19681.0,19678.0,202.0,,,,no_longer_flagged
1000850,19681.0,19678.0,202.0,,,,no_longer_flagged
1000851,19688.0,19678.0,202.0,19688.0,19681.0,214.0,recommendation_changed
1000857,19838.0,426.0,159.0,,,,no_longer_flagged
1000858,19838.0,426.0,159.0,,,,no_longer_flagged
1000864,19688.0,19678.0,202.0,19688.0,19681.0,214.0,recommendation_changed
1000866,19681.0,19678.0,202.0,,,,no_longer_flagged
1000884,19688.0,19693.0,221.0,19688.0,19709.0,235.0,recommendation_changed
1000885,19688.0,19693.0,221.0,19688.0,19709.0,235.0,recommendation_changed
1000887,19688.0,19693.0,221.0,19688.0,19709.0,235.0,recommendation_changed
1000892,5474.0,5472.0,225.0,5474.0,5472.0,239.0,unchanged
1000893,83807.0,5465.0,210.0,83807.0,5465.0,224.0,unchanged
1000944,359731.0,359728.0,258.0,,,,no_longer_flagged
1000945,359731.0,359728.0,258.0,,,,no_longer_flagged
1000946,359731.0,359728.0,258.0,,,,no_longer_flagged
1000947,359732.0,377565.0,259.0,,,,no_longer_flagged
1000956,350204.0,350224.0,266.0,,,,no_longer_flagged
1000957,350204.0,350224.0,266.0,,,,no_longer_flagged
1000965,,,,350234.0,350204.0,284.0,newly_flagged
1000967,350234.0,350224.0,266.0,350234.0,350204.0,284.0,recommendation_changed
1000970,10502.0,24265.0,274.0,10502.0,24265.0,288.0,unchanged
1000972,,725.0,276.0,,,,no_longer_flagged
1000973,,725.0,276.0,,,,no_longer_flagged
1000990,19706.0,19708.0,287.0,19706.0,19708.0,302.0,unchanged
1000993,94692.0,296.0,289.0,,,,no_longer_flagged
1000995,296.0,285.0,25.0,,,,no_longer_flagged
1001005,381.0,238717.0,298.0,,,,no_longer_flagged
1001016,,,,440.0,433.0,29.0,newly_flagged
1001018,454.0,441.0,306.0,454.0,441.0,321.0,unchanged
1001049,219.0,218.0,316.0,219.0,218.0,334.0,unchanged
1001052,242.0,219.0,315.0,242.0,219.0,333.0,unchanged
1001054,19802.0,219.0,315.0,19802.0,219.0,333.0,unchanged
1001099,,434688.0,347.0,,,,no_longer_flagged
1001126,10492.0,66533.0,364.0,,,,no_longer_flagged
1001153,74844.0,19767.0,383.0,74844.0,19767.0,407.0,unchanged
1001187,205.0,238.0,400.0,,,,no_longer_flagged
1001194,,,,221.0,19785.0,430.0,newly_flagged
1001206,19831.0,405.0,408.0,,,,no_longer_flagged
1001212,19775.0,281919.0,402.0,,,,no_longer_flagged
1001232,446.0,19848.0,416.0,446.0,19848.0,447.0,unchanged
1001245,,,,268161.0,294.0,193.0,newly_flagged
1001247,268161.0,294.0,182.0,268161.0,294.0,193.0,unchanged
1001252,19804.0,290.0,426.0,19804.0,290.0,457.0,unchanged
1001256,268161.0,294.0,182.0,268161.0,294.0,193.0,unchanged
1001258,268161.0,294.0,182.0,268161.0,294.0,193.0,unchanged
1001259,320.0,294.0,182.0,320.0,294.0,193.0,unchanged
1001266,19821.0,19820.0,429.0,19821.0,19820.0,462.0,unchanged
1001280,40284.0,19799.0,425.0,,,,no_longer_flagged
1001281,40284.0,19799.0,425.0,,,,no_longer_flagged
1001282,279.0,19794.0,437.0,279.0,19794.0,472.0,unchanged
1001292,286.0,282.0,446.0,286.0,282.0,481.0,unchanged
1001293,279.0,282.0,427.0,279.0,282.0,482.0,unchanged
1001307,505.0,495.0,452.0,505.0,495.0,488.0,unchanged
1001363,356.0,367.0,143.0,,,,no_longer_flagged
1001369,356.0,367.0,143.0,,,,no_longer_flagged
1001371,356.0,367.0,143.0,,,,no_longer_flagged
1001373,244.0,232.0,486.0,244.0,232.0,523.0,unchanged
1001378,,,,244.0,232.0,524.0,newly_flagged
1001379,268161.0,298.0,385.0,268161.0,298.0,409.0,unchanged
1001382,255.0,232.0,486.0,255.0,232.0,523.0,unchanged
1001384,356.0,367.0,143.0,,,,no_longer_flagged
1001386,356.0,367.0,143.0,,,,no_longer_flagged
1001389,438.0,446.0,29.0,438.0,446.0,529.0,unchanged
1001400,430.0,446.0,499.0,,,,no_longer_flagged
1001401,302.0,323.0,420.0,302.0,323.0,460.0,unchanged
1001403,440.0,441.0,306.0,440.0,433.0,539.0,recommendation_changed
1001404,438.0,430.0,500.0,,,,no_longer_flagged
1001405,438.0,446.0,499.0,438.0,446.0,541.0,unchanged
1001407,19843.0,438.0,502.0,19843.0,438.0,543.0,unchanged
1001409,232.0,244.0,487.0,,,,no_longer_flagged
1001412,433.0,441.0,306.0,,,,no_longer_flagged
1001416,17049.0,17004.0,506.0,,,,no_longer_flagged
1001427,392.0,238717.0,298.0,392.0,238717.0,553.0,unchanged
1001432,,20213.0,517.0,,,,no_longer_flagged
1001439,30689.0,30695.0,523.0,30689.0,30685.0,565.0,recommendation_changed
1001462,19819.0,19823.0,430.0,19819.0,19823.0,463.0,unchanged
1001466,376546.0,376542.0,539.0,,,,no_longer_flagged
1001524,19825.0,375.0,564.0,19825.0,375.0,608.0,unchanged
1001532,766.0,732.0,568.0,,,,no_longer_flagged
1001538,296.0,285.0,25.0,,,,no_longer_flagged
1001551,296.0,285.0,25.0,,,,no_longer_flagged
1001556,94692.0,285.0,25.0,94692.0,296.0,305.0,recommendation_changed
1001562,,,,221.0,19785.0,430.0,newly_flagged
1001572,,,,221.0,19785.0,430.0,newly_flagged
1001578,9403.0,19852.0,589.0,9403.0,19852.0,635.0,unchanged
1001591,19785.0,221.0,405.0,,,,no_longer_flagged
1001592,,,,221.0,19785.0,430.0,newly_flagged
1001623,19825.0,375.0,564.0,19825.0,375.0,608.0,unchanged
1001624,24729.0,24709.0,609.0,,,,no_longer_flagged
