BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP
1196646,,449042,31313,10,9,0,9,1.0,1.0
1232528,,506687,31441,10,9,0,9,1.0,1.0
1257453,,27371,19828,9,8,0,8,1.0,1.0
1115523,,3004,30827,9,8,0,8,1.0,1.0
1232465,,525844,11287,8,7,0,7,1.0,1.0
1232497,,444308,25959,8,7,0,7,1.0,1.0
1097178,,506638,1584,7,6,0,6,1.0,1.0
1265550,,384443,2660,7,6,0,6,1.0,1.0
1232532,,506639,3112,7,6,0,6,1.0,1.0
1278656,,16010,22562,7,6,0,6,1.0,1.0
1232488,,536372,25964,7,6,0,6,1.0,1.0
1097208,,536190,25968,8,6,0,6,1.0,1.0
1097145,,536190,25968,8,6,0,6,1.0,1.0
1232503,,536187,25990,10,6,0,6,1.0,1.0
1097207,,536187,25990,10,6,0,6,1.0,1.0
1232964,,536187,25990,10,6,0,6,1.0,1.0
1232555,,536187,25990,10,6,0,6,1.0,1.0
1232533,,389930,26020,7,6,0,6,1.0,1.0
1232538,,536367,36862,7,6,0,6,1.0,1.0
1257712,,7913,56403,7,6,0,6,1.0,1.0
1232979,,384663,5476,6,5,0,5,1.0,1.0
1037817,,13491,11072,6,5,0,5,1.0,1.0
1233013,,477901,25980,7,5,0,5,1.0,1.0
1179888,,477901,25980,7,5,0,5,1.0,1.0
1098531,,12152,26154,6,5,0,5,1.0,1.0
1232467,,497070,31464,6,5,0,5,1.0,1.0
1096704,,525843,4967,8,4,0,4,1.0,1.0
1097172,,525843,4967,8,4,0,4,1.0,1.0
1233018,,525843,4967,8,4,0,4,1.0,1.0
1233026,,525843,4967,8,4,0,4,1.0,1.0
1257706,,23720,14391,5,4,0,4,1.0,1.0
1233002,,537121,18356,6,4,0,4,1.0,1.0
1097161,,537121,18356,6,4,0,4,1.0,1.0
1247846,,14575,23981,5,4,0,4,1.0,1.0
1232993,,536699,25800,6,4,0,4,1.0,1.0
1096654,,536699,25800,6,4,0,4,1.0,1.0
1232949,,537134,31445,5,4,0,4,1.0,1.0
1247844,,136956,35241,5,4,0,4,1.0,1.0
1299377,,536734,56512,6,4,0,4,1.0,1.0
1240541,,536734,56512,6,4,0,4,1.0,1.0
1097190,,378639,4599,4,3,0,3,1.0,1.0
1232505,,535483,31443,5,3,0,3,1.0,1.0
1232552,,535483,31443,5,3,0,3,1.0,1.0
1257390,,16768,35226,4,3,0,3,1.0,1.0
1280972,,428,796,3,2,0,2,1.0,1.0
1130929,,62688,19713,3,2,0,2,1.0,1.0
1074805,,4623,19799,3,2,0,2,1.0,1.0
1233022,,535995,31448,3,2,0,2,1.0,1.0
1232953,,391281,56387,4,2,0,2,1.0,1.0
1232956,,391281,56387,4,2,0,2,1.0,1.0
1233004,,535979,56392,3,2,0,2,1.0,1.0
1037460,,328317,10985,2,1,0,1,1.0,1.0
1062586,,1532,16618,2,1,0,1,1.0,1.0
1232508,,473122,36876,2,1,0,1,1.0,1.0
1169183,,20955,43832,2,1,0,1,1.0,1.0
1233901,,873,49441,2,1,0,1,1.0,1.0
1232460,,473127,56366,3,1,0,1,1.0,1.0
1233031,,473127,56366,3,1,0,1,1.0,1.0
1233030,,477883,56378,2,1,0,1,1.0,1.0
1257661,,536189,56444,2,1,0,1,1.0,1.0
1257444,,24984,56463,2,1,0,1,1.0,1.0
1257414,,264325,56847,2,1,0,1,1.0,1.0
1257421,,111662,56850,2,1,0,1,1.0,1.0
1257422,,17101,56851,2,1,0,1,1.0,1.0
1257425,,665,56854,2,1,0,1,1.0,1.0
1257426,,20603,56855,2,1,0,1,1.0,1.0
1257440,,21487,56859,2,1,0,1,1.0,1.0
1257443,,26678,56860,2,1,0,1,1.0,1.0
1257454,,5210,56866,2,1,0,1,1.0,1.0
1257596,,476,56881,2,1,0,1,1.0,1.0
1257653,,14180,56899,2,1,0,1,1.0,1.0
1265551,,376736,56937,2,1,0,1,1.0,1.0
1159348,16479,16445,41564,32,32,1,31,0.9688,0.9375
1080458,26324,16047,19779,24,24,1,23,0.9583,0.9167
1217152,280968,281275,3525,19,19,1,18,0.9474,0.8947
1126038,102048,102047,28679,19,19,1,18,0.9474,0.8947
1009442,390898,390901,3251,18,18,1,17,0.9444,0.8889
1102207,16242,16286,27131,18,18,1,17,0.9444,0.8889
1222133,12250,24957,37038,18,18,1,17,0.9444,0.8889
1176142,13071,13049,42197,17,17,1,16,0.9412,0.8824
1079331,57883,57893,847,16,16,1,15,0.9375,0.875
1201098,12002,24865,48970,16,16,1,15,0.9375,0.875
1280714,10991,10968,53601,16,16,1,15,0.9375,0.875
1038509,354828,354843,3622,15,15,1,14,0.9333,0.8667
1063144,21975,21976,16769,15,15,1,14,0.9333,0.8667
1076628,284155,282241,20225,15,15,1,14,0.9333,0.8667
1222795,10679,10731,49565,15,15,1,14,0.9333,0.8667
1070106,199042,199043,840,14,14,1,13,0.9286,0.8571
1080154,15897,15893,1301,14,14,1,13,0.9286,0.8571
1035302,286723,286724,3620,14,14,1,13,0.9286,0.8571
1034164,294077,294076,10129,14,14,1,13,0.9286,0.8571
1113152,25813,14647,30064,14,14,1,13,0.9286,0.8571
1149874,262077,262079,37960,14,14,1,13,0.9286,0.8571
1164250,3234,21246,42287,14,14,1,13,0.9286,0.8571
1189189,4297,4310,45570,14,14,1,13,0.9286,0.8571
1216562,11157,82208,53336,14,14,1,13,0.9286,0.8571
1000727,221438,5576,60,13,13,1,12,0.9231,0.8462
1008326,24698,24718,1925,13,13,1,12,0.9231,0.8462
1043269,156167,129268,8205,13,13,1,12,0.9231,0.8462
1127860,5271,5301,17722,13,13,1,12,0.9231,0.8462
1228624,23009,8225,19291,13,13,1,12,0.9231,0.8462
1077110,273279,282236,19643,13,13,1,12,0.9231,0.8462
1075914,273278,282235,20054,13,13,1,12,0.9231,0.8462
1076678,284157,284155,20226,13,13,1,12,0.9231,0.8462
1116256,14318,14342,1280,12,12,1,11,0.9167,0.8333
1024416,258564,258563,3645,12,12,1,11,0.9167,0.8333
1202902,27207,18762,5197,12,12,1,11,0.9167,0.8333
1033900,288002,288003,8132,12,12,1,11,0.9167,0.8333
1038122,148481,148482,8484,12,12,1,11,0.9167,0.8333
1090506,1307,1332,15422,12,12,1,11,0.9167,0.8333
1188497,3217,3178,18485,12,12,1,11,0.9167,0.8333
1187083,102048,102050,19131,12,12,1,11,0.9167,0.8333
1079458,35167,35164,20989,12,12,1,11,0.9167,0.8333
1093870,18361,18332,24982,12,12,1,11,0.9167,0.8333
1113899,5189,21785,28518,12,12,1,11,0.9167,0.8333
1116688,14342,25725,30305,12,12,1,11,0.9167,0.8333
1197065,45732,45733,32132,12,12,1,11,0.9167,0.8333
1186812,26106,26118,34182,12,12,1,11,0.9167,0.8333
1266762,2198,136958,36675,12,12,1,11,0.9167,0.8333
1206048,25801,14494,42122,12,12,1,11,0.9167,0.8333
1208466,11848,11840,44659,12,12,1,11,0.9167,0.8333
1167338,258886,258885,28638,17,17,1,15,0.8824,0.8235
1167376,258887,258885,28638,17,17,1,15,0.8824,0.8235
1312089,5917,5922,34987,22,22,2,20,0.9091,0.8182
1280079,5917,5922,34987,22,22,2,20,0.9091,0.8182
1007408,10755,24394,1061,11,11,1,10,0.9091,0.8182
1011409,6657,6551,1503,11,11,1,10,0.9091,0.8182
1022685,370382,370381,6811,11,11,1,10,0.9091,0.8182
1029681,370384,370382,6823,11,11,1,10,0.9091,0.8182
