BADGE,CLUSTER
1000512,0
1202843,0
1000519,1
1001491,2
1000521,2
1001475,2
1001488,2
1000524,3
1000526,4
1125405,4
1125406,4
1125407,4
1124669,4
1124670,4
1124671,4
1125478,4
1125479,4
1125521,4
1125522,4
1000530,5
1000588,5
1000527,5
1000589,5
1000587,6
1000590,6
1000528,6
1000529,6
1002916,7
1000531,7
1000532,7
1003549,7
1000557,7
1000533,8
1000571,8
1000573,8
1000541,8
1000555,8
1000558,9
1000534,9
1000572,9
1000539,9
1000540,9
1000556,9
1000535,10
1000536,11
1000538,12
1000542,13
1000543,14
1027356,15
1027357,15
1000544,15
1032422,15
1255013,15
1262344,15
1000545,16
1000546,17
1000547,18
1001733,18
1001729,18
1001732,18
1000549,19
1000550,20
1012541,21
1012540,21
1000552,21
1000553,22
1000559,23
1000961,23
1001352,23
1000802,23
1000962,23
1001354,23
1000805,23
1000820,23
1000822,23
1000560,24
1000561,25
1001771,25
1001772,25
1001773,25
1001774,25
1053715,25
1000562,26
1002036,27
1000927,27
1000563,27
1002039,27
1002037,27
1002038,27
1000870,27
1001783,27
1001009,27
1000564,28
1001016,29
1001415,29
1000565,29
1000566,30
1000567,31
1048857,31
1000568,32
1000569,33
1000570,34
1000575,35
1006071,35
1000576,36
1032123,37
1032124,37
1000577,37
1032129,37
1032130,37
1035983,38
1045426,38
1035986,38
1043457,38
1000578,38
1036002,38
1000579,39
1026305,40
1000580,40
1026302,40
1026303,40
1048685,41
1009071,41
1009073,41
1000581,41
1247605,41
1009025,41
1018731,42
1018766,42
1018767,42
1019166,42
1019168,42
1019169,42
1000582,42
1028718,43
1020611,43
1019290,43
1049023,43
1000583,43
1135522,43
1023322,44
1023324,44
1023325,44
1023232,44
1023308,44
1023309,44
1000584,44
1048746,45
1019710,45
1019711,45
1019713,45
1019725,45
1019693,45
1000585,45
1012837,45
1030244,46
1030245,46
1030179,46
1030180,46
1030181,46
1031036,46
1000586,46
1000591,47
1000592,48
1000593,48
1000594,49
1000595,50
1002466,50
1008574,50
1002413,50
1002415,50
1008702,50
1008575,50
1008705,50
1025395,51
1025396,51
1025397,51
1097559,51
1000596,51
1025016,51
1052771,51
1009080,51
1025394,51
1073440,52
1000597,52
1012979,52
1021664,52
1026455,52
1012895,52
1026457,52
1120005,52
1020286,53
1020288,53
1000599,53
1018874,53
1018876,53
1027255,53
1018818,53
1000600,54
1071147,55
1135666,55
1004534,55
1000601,55
1004536,55
1004537,55
1052844,55
1012962,55
1004586,55
1000602,56
1000603,57
1000604,58
1000605,59
1000626,60
1012852,60
1000606,60
1000652,60
1000683,60
1000726,60
1000653,60
1000654,60
1000724,60
1000725,60
1000623,60
1000727,60
1000625,60
1000628,61
1000607,61
1000608,62
1000693,62
1000609,63
1011271,64
1000610,64
1000712,65
1000713,65
1000714,65
1000611,65
1000715,65
1003768,65
1000612,66
1000613,66
1000614,66
1078904,67
1078908,67
1078909,67
1078910,67
1078911,67
1094874,67
1098310,67
1000615,67
1078025,67
1078026,67
1078898,67
1000616,68
1000663,68
1000665,68
1000617,69
1000618,70
1000620,71
1000690,72
1000680,72
1000681,72
1000622,72
1000664,73
1000666,73
1000651,73
1000684,73
1000685,73
1000624,73
1000627,74
1000629,75
1000630,76
1048644,77
1000633,77
1000634,78
1000635,79
1000636,80
1000637,81
1000638,82
1274144,82
1000639,83
1000640,84
1000641,85
1000642,86
1000646,87
1000643,87
1000645,88
1048650,88
1005546,89
1000647,89
1000648,89
1000649,89
1003771,89
1003773,89
1000650,90
1070913,91
1000679,91
1000682,91
1000655,91
1000657,91
1000658,91
1000656,92
1000659,93
1000662,94
1000660,94
1000661,95
1000667,96
1000668,97
1000669,98
1000670,99
1000671,100
1225674,100
1136544,101
1000672,101
1000673,102
1000675,103
1000676,103
1194984,104
1000677,104
1000678,105
1037243,106
1037246,106
1037194,106
1037199,106
1037200,106
1000686,106
1037202,106
1000687,107
1048653,107
1000688,108
1000689,109
1000692,110
1000694,111
1000695,112
1048658,112
1000696,113
1000697,113
1000698,114
1005911,115
1000699,115
1000787,116
1000700,116
1000701,117
1000702,118
1000703,119
1000704,120
1000705,121
1000706,122
1000707,123
1000708,124
1000709,125
1002068,126
1000711,126
1000716,127
1000717,128
1000719,129
1000722,130
1000720,130
1000721,131
1000723,131
1000737,132
1000728,132
1000729,133
1000730,134
1000731,134
1000733,135
1000734,136
1002946,136
1000735,137
1000736,138
1000738,139
1052408,139
1059467,139
1052811,139
1014291,139
1012770,139
1000739,140
1000740,141
1000741,142
1000742,142
1001962,143
1001961,143
1000743,143
1000744,144
1000745,145
1000746,146
1000747,147
1000748,148
1000749,149
1000750,149
1000751,150
1000752,151
1003732,152
1003733,152
1003735,152
1000753,152
1005919,152
1005921,152
1000754,153
1000755,153
1001916,153
1000764,154
1000766,154
1000767,154
1000756,154
1000757,154
1000759,154
1000765,155
1000801,155
1000963,155
1001645,155
1001529,155
1000758,155
1000762,156
1000763,156
1003598,156
1304323,156
1003647,156
1000760,156
1000761,157
1000768,158
1000769,159
1000770,160
1307782,160
1273090,160
1307785,160
1012971,161
1052499,161
1000831,161
1001901,161
1000771,161
1002183,161
1048673,161
1000772,162
1000775,162
1003636,162
1003637,162
1003638,162
1003639,162
1000773,163
1000774,164
1003605,164
1000781,164
1003607,164
1000783,164
1003606,164
1000776,165
1000777,166
1000778,167
1000779,168
1000780,169
1000829,170
1000830,170
1000782,170
1003641,170
1000818,170
1136928,170
1000784,171
1021538,172
1013394,172
1000785,172
1000788,173
1000789,174
1003628,175
1003810,175
1003705,175
1003673,175
1003675,175
1000790,175
1000791,176
1000792,177
1000793,178
1003815,179
1000794,179
1000795,180
1024978,180
1008613,180
1007664,180
1095907,180
1115655,180
1095912,180
1026058,180
1012824,180
1004029,180
1095889,180
1014998,180
1011471,180
1007731,180
1000796,181
1000797,182
1000798,183
1003603,183
1003671,183
1003805,183
1003580,183
1003581,183
1000799,184
1003660,184
1012823,184
1003802,184
1003803,184
1003804,184
1003582,184
1003734,185
1005920,185
1000800,185
1000803,186
1001646,186
1039777,186
1001656,186
1020045,186
1001657,186
1000804,187
1000806,188
1000960,188
1000807,189
1000808,190
1000810,190
1001989,191
1000809,191
1000811,192
1001348,192
1001349,192
1001247,193
1001256,193
1001258,193
1001259,193
1001037,193
1000812,193
1001038,193
1014599,193
1001245,193
1001917,194
1000813,194
1000814,194
1001039,194
1000852,194
1003745,194
1001242,194
1000815,195
1001837,195
1001838,195
1000828,196
1000816,196
1003642,196
1000817,197
1000819,198
1003572,198
1003573,198
1003575,198
1001806,199
1000821,199
1001372,199
1003659,200
1005511,200
1001036,200
1000854,200
1000855,200
1000823,200
1000824,201
1000902,202
1000825,202
1000826,203
1000827,204
1000835,205
1003794,205
1000832,205
1000834,205
1005862,206
1005863,206
1005864,206
1000833,206
1005865,206
1000836,206
1000838,206
1003717,207
1003718,207
1003719,207
1000837,207
1000839,207
1003716,207
1000924,208
1000843,208
1000840,208
1000926,209
1000841,209
1000842,209
1000844,210
1218892,211
1218893,211
1218894,211
1217220,211
1217221,211
1217222,211
1217223,211
1217744,211
1217746,211
1216849,211
1216850,211
1000845,211
1127954,211
1218600,211
1218601,211
1218602,211
1218876,211
1218877,211
1218878,211
1218879,211
1000994,212
1003798,212
1000846,212
1000847,212
1011585,212
1000848,213
1000864,214
1000866,214
1000867,214
1000849,214
1000850,214
1000851,214
1005878,215
1001144,215
1000856,215
1001163,215
1001919,216
1000857,216
1000858,216
1003817,217
1000859,217
1000860,218
1000861,219
1001987,219
1000862,220
1000863,221
1000865,222
1000868,223
1000875,223
1000869,224
1003785,224
1003784,224
1000893,224
1000871,225
1001012,226
1000872,226
1000873,226
1000874,227
1000876,228
1000877,229
1000879,229
1000878,230
1059099,231
1000880,231
1000881,232
1000882,233
1000883,234
1003708,235
1001971,235
1003661,235
1003663,235
1003700,235
1003702,235
1003706,235
1003583,235
1000884,235
1000885,235
1003744,235
1000887,235
1003747,235
1000886,236
1006282,237
1013139,237
1006284,237
1006031,237
1048631,237
1052550,237
1007178,237
1000888,237
1007180,237
1000890,237
1000891,237
1006010,238
1000889,238
1006651,238
1006012,238
1000892,239
1003686,239
1007674,239
1007676,239
1000894,240
1048652,241
1003684,241
1000895,241
1000896,242
1002172,242
1002173,242
1002174,242
1009229,242
1072293,243
1000897,243
1009227,243
1000899,243
1119860,243
1052579,243
1009210,243
1009211,243
1009212,243
1009216,243
1009217,243
1000898,244
1000900,245
1000901,245
1000903,246
1000904,247
1000905,247
1000906,248
1000907,249
1000908,250
1000909,251
1000910,252
1000918,253
1000911,253
1009172,254
1000912,254
1000913,254
1000914,254
1000915,254
1000916,255
1000917,256
1002247,256
1000919,257
1000920,258
1000923,258
1000921,259
1005895,260
1000922,260
1005897,260
1000925,261
1014634,261
1002034,261
1000928,262
1000929,262
1000930,262
1008814,262
1002541,262
1010527,262
1010891,262
1000931,263
1000932,264
1000933,265
1000934,266
1001697,266
1000935,267
1000936,268
1000937,269
1000938,270
1000939,271
1000940,272
1000941,273
1000943,273
1000942,274
1000966,275
1000944,275
1000945,275
1000946,275
1009411,275
1000947,276
1002266,277
1000959,277
1009241,277
1000948,277
1009214,277
1009215,277
1009280,277
1000949,278
1009285,278
1009284,279
1007282,279
1009218,279
1009263,279
1000950,279
1000951,279
1014637,279
1009282,279
1009283,279
1009577,280
1009514,280
1009515,280
1009516,280
1048601,280
1010212,280
1000952,280
1009575,280
1002394,281
1002395,281
1008842,281
1008844,281
1008845,281
1306866,281
1000953,281
1045515,282
1108976,282
1288596,282
1308184,282
1119445,282
1266724,282
1148147,282
1000954,282
1058385,282
1001125,283
1005629,283
1002430,283
1000955,283
1009223,284
1009224,284
1009238,284
1009239,284
1009240,284
1007570,284
1007571,284
1007573,284
1000956,284
1000957,284
1000958,284
1009256,284
1009257,284
1000965,284
1000967,284
1007324,284
1005276,284
1007613,284
1007627,284
1007628,284
1007498,284
1003742,284
1009219,284
1007610,285
1007612,285
1007581,285
1000964,285
1133703,285
1009278,285
1009279,285
1009281,285
1134114,286
1131030,286
1000968,286
1008450,287
1008451,287
1000969,287
1002592,288
1002595,288
1000970,288
1011457,288
1007338,288
1002615,288
1052860,288
1008447,289
1000971,289
1008438,289
1008439,289
1008440,289
1008446,289
1000972,290
1000973,290
1000974,291
1001118,292
1000975,292
1000976,293
1276193,294
1000977,294
1000978,295
1001032,296
1001033,296
1001035,296
1000979,296
1000980,297
1000981,298
1000982,299
1000983,300
1001025,301
1001026,301
1000984,301
1000985,301
1000986,301
1000987,301
1000988,302
1000989,302
1000990,302
1000991,302
1003821,302
1001027,302
1000992,303
1000993,304
1000995,305
1001551,305
1001556,305
1001536,305
1001538,305
1000996,306
1000997,307
1000998,308
1000999,309
1001000,310
1001001,311
1001003,311
1001101,311
1001102,311
1001103,311
1001002,312
1001004,313
1001006,313
1001100,313
1001005,314
1001007,315
1001008,316
1001010,317
1001011,318
1001013,319
1001014,319
1001015,320
1001089,321
1001017,321
1001018,321
1001019,321
1001020,322
1001021,322
1001023,322
1025177,322
1025178,322
1025668,322
1001022,323
1127734,323
1179846,323
1180011,323
1179755,323
1179759,323
1001024,324
1003822,324
1003824,324
1003825,324
1001985,324
1003775,324
1001029,325
1001030,326
1001031,327
1001034,328
1009420,329
1009422,329
1009423,329
1009489,329
1009432,329
1001040,329
1009433,329
1009479,330
1009480,330
1009481,330
1009482,330
1009483,330
1009484,330
1009485,330
1009486,330
1009487,330
1009488,330
1070969,330
1014656,330
