BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER
1202843,264643.0,31358.0,0
1012540,15373.0,501900.0,21
1000561,296.0,285.0,25
1001016,440.0,433.0,29
1000565,461.0,433.0,29
1006071,24292.0,10671.0,35
1012979,13395.0,13414.0,52
1000727,221438.0,5576.0,60
1000616,5581.0,5579.0,68
1000680,58523.0,5564.0,72
1000622,5565.0,5564.0,72
1000666,5576.0,221438.0,73
1000685,5580.0,221438.0,73
1005546,21905.0,21901.0,89
1000648,153928.0,21901.0,89
1000649,153929.0,21901.0,89
1000679,5563.0,5569.0,91
1000655,5573.0,5569.0,91
1000657,5573.0,5569.0,91
1000658,5570.0,5569.0,91
1136544,535967.0,5549.0,101
1002068,402.0,399.0,126
1000734,5522.0,5520.0,136
1014291,375317.0,375316.0,139
1304323,19707.0,19702.0,156
1000772,19689.0,19690.0,162
1000775,19689.0,19690.0,162
1003639,19696.0,19690.0,162
1000782,5504.0,5509.0,170
1000818,5504.0,5509.0,170
1003705,19681.0,19683.0,175
1003603,19687.0,19691.0,183
1003804,19691.0,19694.0,184
1000803,236.0,19796.0,186
1000808,19816.0,334.0,190
1001247,268161.0,294.0,193
1001256,268161.0,294.0,193
1001258,268161.0,294.0,193
1001259,320.0,294.0,193
1001245,268161.0,294.0,193
1003745,298.0,302.0,194
1003659,302.0,298.0,200
1000832,19676.0,19679.0,205
1000836,19677.0,19676.0,206
1000841,19709.0,5495.0,209
1000864,19688.0,19681.0,214
1000851,19688.0,19681.0,214
1001919,426.0,19838.0,216
1001987,449260.0,85736.0,219
1000893,83807.0,5465.0,224
1003663,19694.0,19709.0,235
1003706,19705.0,19709.0,235
1003583,19694.0,19709.0,235
1000884,19688.0,19709.0,235
1000885,19688.0,19709.0,235
1003744,19688.0,19709.0,235
1000887,19688.0,19709.0,235
1003747,19693.0,19709.0,235
1006651,30364.0,24109.0,238
1000892,5474.0,5472.0,239
1003686,5474.0,5472.0,239
1009218,350228.0,350206.0,279
1009223,350228.0,350204.0,284
1009224,350228.0,350204.0,284
1007570,350223.0,350204.0,284
1007571,350223.0,350204.0,284
1007573,350234.0,350204.0,284
1009256,350228.0,350204.0,284
