TRANSFORMER,CLUSTER
2.0,1
3.0,1
4.0,1
5.0,2
6.0,1
7.0,1
8.0,1
9.0,2
10.0,3
11.0,2
12.0,1
13.0,2
14.0,2
15.0,1
16.0,1
17.0,1
18.0,2
19.0,2
20.0,2
21.0,1
22.0,1
23.0,1
24.0,2
25.0,1
26.0,1
27.0,1
28.0,2
29.0,1
30.0,1
31.0,2
32.0,1
33.0,1
34.0,1
35.0,2
36.0,2
37.0,1
38.0,3
39.0,1
40.0,2
41.0,2
42.0,2
43.0,1
44.0,1
45.0,2
46.0,1
47.0,1
48.0,1
49.0,2
50.0,3
51.0,1
52.0,3
53.0,2
54.0,1
55.0,1
56.0,2
57.0,2
58.0,3
59.0,5
60.0,2
61.0,1
62.0,1
63.0,2
64.0,2
66.0,1
67.0,1
68.0,1
69.0,2
70.0,1
71.0,1
72.0,3
74.0,1
75.0,2
76.0,2
77.0,1
78.0,3
79.0,2
80.0,1
81.0,3
82.0,1
83.0,2
84.0,2
85.0,2
86.0,1
87.0,2
88.0,2
89.0,3
90.0,1
91.0,1
92.0,3
93.0,1
94.0,1
95.0,2
96.0,1
98.0,1
100.0,1
101.0,1
102.0,3
103.0,2
104.0,1
106.0,2
107.0,2
108.0,2
109.0,3
110.0,2
111.0,2
112.0,2
113.0,4
114.0,2
115.0,3
116.0,1
117.0,3
118.0,2
119.0,2
120.0,4
121.0,1
122.0,1
123.0,2
125.0,1
126.0,1
127.0,2
129.0,1
130.0,1
131.0,3
132.0,1
133.0,2
134.0,1
135.0,1
136.0,1
137.0,1
138.0,2
139.0,3
140.0,4
141.0,1
142.0,3
143.0,1
144.0,3
145.0,1
147.0,4
148.0,3
149.0,4
150.0,2
151.0,1
152.0,1
153.0,2
154.0,3
155.0,4
156.0,2
157.0,7
158.0,2
159.0,2
160.0,1
161.0,3
162.0,4
163.0,1
164.0,4
165.0,3
167.0,2
168.0,1
169.0,2
170.0,2
172.0,2
174.0,3
175.0,3
176.0,4
177.0,7
178.0,1
179.0,1
180.0,2
181.0,2
182.0,1
183.0,1
184.0,2
185.0,2
186.0,2
187.0,3
188.0,1
189.0,1
190.0,3
191.0,1
192.0,1
193.0,3
195.0,2
196.0,2
197.0,5
198.0,1
199.0,2
200.0,2
201.0,1
202.0,1
204.0,2
205.0,2
207.0,4
208.0,1
209.0,2
210.0,4
211.0,3
212.0,2
213.0,1
214.0,1
215.0,3
216.0,2
217.0,3
218.0,3
219.0,4
220.0,2
221.0,3
222.0,1
223.0,1
224.0,3
225.0,1
226.0,1
227.0,3
228.0,1
229.0,2
230.0,1
231.0,2
232.0,2
233.0,5
234.0,3
235.0,1
236.0,2
237.0,2
238.0,3
239.0,3
240.0,2
241.0,2
242.0,2
243.0,1
244.0,4
247.0,3
248.0,2
249.0,1
250.0,1
251.0,2
252.0,3
253.0,1
254.0,2
255.0,4
257.0,1
259.0,1
260.0,1
261.0,2
262.0,1
264.0,2
265.0,2
266.0,1
268.0,5
269.0,2
270.0,3
271.0,1
274.0,3
277.0,1
279.0,4
280.0,9
282.0,4
284.0,4
285.0,1
286.0,1
290.0,4
291.0,1
292.0,2
293.0,1
294.0,3
295.0,4
296.0,3
297.0,3
298.0,3
299.0,1
300.0,5
301.0,2
302.0,14
303.0,2
304.0,2
305.0,2
309.0,2
310.0,3
311.0,1
312.0,3
314.0,4
315.0,2
316.0,2
317.0,1
318.0,2
319.0,4
320.0,4
322.0,2
323.0,4
324.0,2
325.0,1
326.0,2
327.0,3
329.0,2
330.0,3
331.0,1
333.0,2
334.0,1
335.0,6
336.0,2
337.0,2
338.0,5
339.0,3
340.0,1
341.0,2
342.0,2
343.0,4
344.0,2
345.0,2
346.0,3
347.0,1
348.0,2
349.0,5
350.0,1
351.0,4
353.0,2
354.0,1
355.0,1
356.0,1
357.0,4
358.0,1
359.0,1
360.0,1
361.0,2
362.0,1
363.0,2
364.0,2
365.0,2
366.0,1
367.0,1
368.0,1
371.0,1
374.0,2
375.0,7
376.0,2
378.0,4
381.0,3
383.0,2
385.0,4
386.0,5
387.0,3
388.0,1
389.0,4
390.0,5
391.0,1
392.0,1
393.0,6
394.0,5
395.0,1
396.0,5
397.0,4
399.0,4
400.0,2
401.0,1
402.0,6
403.0,1
404.0,1
405.0,3
406.0,4
407.0,1
408.0,3
410.0,7
411.0,3
414.0,1
416.0,2
417.0,1
418.0,5
419.0,1
420.0,5
422.0,2
423.0,1
424.0,2
425.0,2
426.0,2
427.0,1
428.0,2
430.0,5
432.0,3
433.0,3
435.0,3
436.0,1
437.0,2
438.0,9
440.0,2
441.0,2
442.0,5
443.0,3
444.0,3
446.0,4
447.0,2
448.0,1
450.0,1
451.0,1
454.0,4
455.0,5
458.0,4
459.0,2
461.0,3
462.0,4
464.0,4
466.0,3
467.0,3
468.0,2
470.0,5
471.0,3
472.0,1
473.0,3
474.0,3
475.0,1
476.0,3
478.0,4
479.0,1
480.0,2
481.0,3
482.0,3
483.0,2
484.0,4
485.0,1
487.0,2
488.0,2
489.0,7
490.0,4
491.0,1
492.0,3
493.0,2
495.0,1
496.0,3
497.0,1
