BADGE,CLUSTER
1000512,0
1202843,0
1000519,1
1001474,2
1001475,2
1000521,2
1001158,2
1001488,2
1001491,2
1001147,2
1000524,3
1125521,4
1125522,4
1000526,4
1125405,4
1125406,4
1125407,4
1124669,4
1124670,4
1124671,4
1125478,4
1125479,4
1000530,5
1000588,5
1000527,5
1000589,5
1000587,6
1000590,6
1000528,6
1000529,6
1000531,7
1000532,7
1003549,7
1002916,7
1000557,7
1000533,8
1000571,8
1000573,8
1000541,8
1000555,8
1000558,9
1000534,9
1000572,9
1000539,9
1000540,9
1000556,9
1000535,10
1001613,11
1001606,11
1000536,11
1000538,12
1000542,13
1005490,13
1005857,13
1000543,14
1027356,15
1262344,15
1027357,15
1032422,15
1000544,15
1255013,15
1000545,16
1000546,17
1001732,18
1001733,18
1001735,18
1002370,18
1000547,18
1001729,18
1000549,19
1000550,20
1012541,21
1000552,21
1012540,21
1000553,22
1000559,23
1000961,23
1001352,23
1000802,23
1001354,23
1000805,23
1000820,23
1000822,23
1000560,24
1000561,25
1001771,25
1001772,25
1001773,25
1001774,25
1000995,25
1001551,25
1001556,25
1053715,25
1001538,25
1000562,26
1002037,27
1002038,27
1002039,27
1000927,27
1000563,27
1000870,27
1001783,27
1001009,27
1002036,27
1000564,28
1001389,29
1001422,29
1001390,29
1000565,29
1000566,30
1025465,31
1000567,31
1009147,31
1024730,31
1024732,31
1048857,31
1024733,31
1025482,31
1000568,32
1000569,33
1000570,34
1006071,35
1000575,35
1005102,35
1005103,35
1005104,35
1005108,35
1000576,36
1032123,37
1032124,37
1032129,37
1032130,37
1000577,37
1045426,38
1036002,38
1000578,38
1043457,38
1035983,38
1035986,38
1000579,39
1000580,40
1004104,40
1026302,40
1026303,40
1026305,40
1009071,41
1009073,41
1048685,41
1009025,41
1000581,41
1247605,41
1018731,42
1018766,42
1018767,42
1019166,42
1000582,42
1019168,42
1019169,42
1020611,43
1019290,43
1049023,43
1000583,43
1135522,43
1028718,43
1023322,44
1023324,44
1023325,44
1023232,44
1023308,44
1023309,44
1000584,44
1019693,45
1019725,45
1048746,45
1012837,45
1019710,45
1019711,45
1019713,45
1000585,45
1030179,46
1030180,46
1030245,46
1030244,46
1030181,46
1031036,46
1000586,46
1000591,47
1000592,48
1000593,48
1000594,49
1002466,50
1000595,50
1002414,50
1002415,50
1008702,50
1008574,50
1008705,50
1008575,50
1008704,50
1000596,51
1000597,52
1000599,53
1027255,53
1020286,53
1020288,53
1018874,53
1018876,53
1018818,53
1020893,54
1020248,54
1000600,54
1020847,54
1020848,54
1020849,54
1004534,55
1012962,55
1004536,55
1004537,55
1135666,55
1000601,55
1052844,55
1071147,55
1004586,55
1000602,56
1073680,56
1000603,57
1000604,58
1000605,59
1000626,60
1000663,60
1000665,60
1000616,60
1000606,60
1012852,60
1130661,60
1000652,60
1000683,60
1000726,60
1000653,60
1000654,60
1000724,60
1000725,60
1000623,60
1000727,60
1000625,60
1000628,61
1000692,61
1024974,61
1000607,61
1000608,62
1000693,62
1000609,63
1000610,64
1011271,64
1003768,65
1000712,65
1000713,65
1000714,65
1000611,65
1000715,65
1000612,66
1000613,66
1000614,66
1078025,67
1078026,67
1078904,67
1098310,67
1078909,67
1078910,67
1078908,67
1000615,67
1094874,67
1000617,68
1000618,69
1000620,70
1000690,71
1000680,71
1000681,71
1000622,71
1000664,72
1000666,72
1000651,72
1000684,72
1000685,72
1000624,72
1000627,73
1000629,73
1000630,73
1000633,74
1048644,74
1000634,75
1000635,76
1000636,77
1000637,78
1274144,79
1000638,79
1000639,80
1000640,81
1000641,82
1000645,83
1048650,83
1000642,83
1000646,84
1307644,84
1000643,84
1005546,85
1003771,85
1003773,85
1000647,85
1000648,85
1000649,85
1000650,86
1000679,87
1000682,87
1070913,87
1000655,87
1000657,87
1000658,87
1000656,88
1000661,89
1000662,89
1000659,89
1000660,89
1000667,90
1000668,91
1000669,92
1000670,93
1000671,94
1225674,94
1000672,95
1136544,95
1000673,96
1194984,97
1000675,97
1000676,97
1000677,97
1000678,98
1037194,99
1037199,99
1037200,99
1037202,99
1037243,99
1037246,99
1000686,99
1000687,100
1000689,100
1048653,100
1000688,101
1000694,102
1000695,103
1048658,103
1000696,104
1000697,104
1000698,105
1001030,106
1005911,106
1000699,106
1000787,107
1000700,107
1000701,108
1000702,109
1000703,110
1000704,111
1000705,112
1037818,113
1000706,113
1000707,114
1000708,115
1000709,116
1002068,117
1000711,117
1000716,118
1000717,119
1001963,119
1000719,120
1000722,121
1000720,121
1000721,122
1000723,122
1000737,123
1000728,123
1000729,124
1000730,125
1000731,125
1000733,126
1002946,127
1000734,127
1000735,128
1000736,129
1014291,130
1059467,130
1012770,130
1000738,130
1052408,130
1052811,130
1000739,131
1000740,132
1000741,133
1000742,133
1001962,134
1001961,134
1000743,134
1000744,135
1000745,136
1000746,137
1000747,138
1000748,139
1000749,140
1000750,140
1000751,141
1000752,142
1001384,143
1001386,143
1003732,143
1003733,143
1003735,143
1001369,143
1001363,143
1005919,143
1005921,143
1001991,143
1000753,143
1001371,143
1000809,144
1001916,144
1001989,144
1000754,144
1000755,144
1000764,145
1000766,145
1000767,145
1000756,145
1000757,145
1000759,145
1000765,146
1000801,146
1000963,146
1001645,146
1001529,146
1000758,146
1000762,147
1000763,147
1003598,147
1003647,147
1304323,147
1000760,147
1000761,148
1000768,149
1000769,150
1000770,151
1273090,151
1307782,151
1307785,151
1052499,152
1000831,152
1000771,152
1012971,152
1002183,152
1048673,152
1000772,153
1003636,153
1003637,153
1000775,153
1003638,153
1003639,153
1000773,154
1000774,155
1003605,155
1003606,155
1003607,155
1000781,155
1000783,155
1000776,156
1000777,157
1000778,158
1005878,159
1001163,159
1000779,159
1001919,159
1001144,159
1000856,159
1000857,159
1000858,159
1000780,160
1000863,160
1003770,160
1000828,161
1000829,161
1000830,161
1003572,161
1003573,161
1003575,161
1003641,161
1003642,161
1000782,161
1000816,161
1136928,161
1000818,161
1000819,161
1003589,161
1000784,162
1021538,163
1013394,163
1000785,163
1000788,164
1000789,165
1003628,166
1005470,166
1003673,166
1003705,166
1003675,166
1003810,166
1000790,166
1000791,167
1000792,168
1000793,169
1003815,170
1000794,170
1000795,171
1024978,171
1095912,171
1011471,171
1004029,171
1095889,171
1007731,171
1008613,171
1115655,171
1012824,171
1014998,171
1000796,172
1000797,173
1000798,174
1003603,174
1003800,174
1003799,174
1003671,174
1003801,174
1003805,174
1003807,174
1003580,174
1003581,174
1003813,174
1003660,175
1000799,175
1003802,175
1003803,175
1003804,175
1003582,175
1012823,175
1000800,176
1003734,176
1000808,176
1000810,176
1005920,176
1000803,177
1001646,177
1001656,177
1001657,177
1039777,177
1020045,177
1003657,178
1000804,178
1000806,179
1000960,179
1000807,180
1000811,181
1001348,181
1001349,181
1001247,182
1014599,182
1001256,182
1001258,182
1001259,182
1001037,182
1000812,182
1001038,182
1001917,183
1000813,183
1001039,183
1000814,183
1003745,183
1000852,183
1001242,183
1000815,184
1001837,184
1001838,184
1003591,185
1003588,185
1000817,185
1001806,186
1000821,186
1001372,186
1005511,187
1003659,187
1001036,187
1000854,187
1000855,187
1000823,187
1000824,188
1000902,189
1000825,189
1000826,190
1000827,191
1000832,192
1000833,193
1000836,193
1000838,193
1005862,193
1005863,193
1005864,193
1005865,193
1000835,194
1003794,194
1000834,194
1000837,195
1000839,195
1003716,195
1003717,195
1003718,195
1003719,195
1000924,196
1000843,196
1000840,196
1000926,197
1000841,197
1000842,197
1000844,198
1198803,199
1041612,199
1217300,199
1217303,199
1216816,199
1216817,199
1218878,199
1218879,199
1217852,199
1217853,199
1216822,199
1216821,199
1216823,199
1201988,199
1217857,199
1201987,199
1217854,199
1201989,199
1217861,199
1217855,199
1218892,199
1217856,199
1218894,199
1217863,199
1217360,199
1217362,199
1217363,199
1216849,199
1217365,199
1217366,199
1217367,199
1217901,199
1217904,199
1217905,199
1217907,199
1217911,199
1200022,199
1200023,199
1200024,199
1200025,199
1217988,199
1217989,199
1217990,199
1217991,199
1216992,199
1216993,199
1216996,199
1216997,199
1216999,199
1201986,199
1217025,199
1217027,199
1217028,199
1217030,199
1217041,199
1217042,199
1201690,199
1201691,199
1000845,199
1217045,199
1217046,199
1201692,199
1217044,199
1218600,199
1218601,199
1218602,199
1217057,199
1217058,199
1217056,199
1217063,199
1217064,199
1217065,199
1217066,199
1217067,199
1217072,199
1217076,199
1217077,199
1217078,199
1217080,199
1217081,199
1217082,199
1217084,199
1217085,199
1201738,199
1201739,199
1201740,199
1201741,199
1217096,199
1217097,199
1217098,199
1217099,199
1217101,199
1217103,199
1218140,199
1153269,199
1218142,199
1217113,199
1217114,199
1217112,199
1217116,199
1217117,199
1217119,199
1217121,199
1218153,199
1217123,199
1218155,199
1217125,199
1217122,199
1217127,199
1218154,199
1218152,199
1217137,199
1217139,199
1217140,199
1217142,199
1217143,199
1153306,199
1153307,199
1010556,199
1217157,199
1217160,199
1217161,199
1217163,199
1217168,199
1217169,199
1265862,199
1217171,199
1217209,199
1217210,199
1217211,199
1217220,199
1217223,199
1217744,199
1000994,200
1011585,200
1003798,200
1000846,200
1000847,200
1000848,201
1003722,202
1003723,202
1000864,202
1000866,202
1000849,202
1000850,202
1000851,202
1003720,202
1003721,202
1003817,203
1000859,203
1000860,204
1001987,205
1000861,205
1000862,206
1000865,207
1000867,208
1000868,209
1000875,209
1000869,210
1003784,210
1003785,210
1000893,210
1000871,211
1001012,212
1000872,212
1000873,212
1000874,213
1000876,214
1001029,215
1000877,215
1001031,215
1000879,215
1000878,216
1000880,217
1059099,217
1000881,218
1000882,219
1000883,220
1003661,221
1001971,221
1003680,221
1003681,221
1003682,221
1003683,221
1003700,221
1003702,221
1003706,221
1003708,221
1003583,221
1003596,221
1003599,221
1003744,221
1003746,221
1003747,221
1000884,221
1000885,221
1000887,221
1003752,221
1003753,221
1231809,221
1003755,221
1003760,221
1003762,221
1003763,221
1003635,221
1000886,222
1006284,223
1007178,223
1013139,223
1007180,223
1048631,223
1052550,223
1006282,223
1000888,223
1000890,223
1000891,223
1006651,224
1006010,224
1000889,224
1006012,224
1000892,225
1007676,225
1007674,225
1003686,225
1000894,226
1003684,227
1000895,227
1048652,227
1000896,228
1002173,228
1002174,228
1002172,228
1010825,228
1011649,228
1002361,228
1002362,228
1009229,228
1002235,229
1002381,229
1002382,229
1002383,229
1119860,229
1002360,229
1052579,229
1009291,229
1009293,229
1002184,229
1002185,229
1002186,229
1048675,229
1000897,229
1009210,229
1009211,229
1009212,229
1072293,229
1009216,229
1009217,229
1009226,229
1002233,229
1002234,229
1000898,230
1000899,231
1000900,232
1000901,232
1000903,233
1000904,234
1000905,234
1000906,235
1000910,236
1000907,236
1000908,237
1000909,237
1000918,238
1000911,238
1009172,239
1009173,239
1000912,239
1000913,239
1000914,239
1000915,239
1000916,240
1000917,241
1002246,241
1002247,241
1000919,242
1000920,243
1000923,243
1000921,244
1005897,245
1005895,245
1000922,245
1000925,246
1014634,246
1002034,246
1000928,247
1000929,247
1000930,247
1010527,247
1002541,247
1010891,247
1008814,247
1000931,248
1000932,249
1000933,249
1000935,249
1000934,250
1001697,250
1000936,251
1000937,252
1000938,253
1000939,254
1000940,255
1000941,256
1000943,256
1000942,257
1000944,258
1000945,258
1000946,258
1009259,258
1009261,258
1009411,258
1009414,258
1009415,258
1009354,258
1002340,258
1002342,258
1002343,258
1009338,258
1009339,258
1009340,258
1009341,258
1009221,258
1052525,258
1009355,258
1009356,258
1009357,258
1046192,259
