BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER
1202843,264643.0,31358.0,0
1073591,3508.0,384765.0,5
1012560,3508.0,384765.0,5
1012562,325437.0,384765.0,5
1012564,3575.0,384765.0,5
1012565,3508.0,384765.0,5
1012570,3476.0,384765.0,5
1012571,3476.0,384765.0,5
1012540,15373.0,501900.0,21
1005528,19823.0,19819.0,24
1000561,296.0,285.0,25
1001770,7771.0,285.0,25
1000995,296.0,285.0,25
1001551,296.0,285.0,25
1001556,94692.0,285.0,25
1001536,296.0,285.0,25
1001538,296.0,285.0,25
1001415,433.0,19846.0,28
1000564,19848.0,19846.0,28
1000565,461.0,19846.0,28
1000997,443.0,19846.0,28
1001389,438.0,19846.0,28
1001390,446.0,19846.0,28
1001422,446.0,19846.0,28
1001016,440.0,19846.0,28
1006071,24292.0,10671.0,34
1012979,13395.0,13414.0,51
1000727,221438.0,5576.0,59
1000692,21893.0,21894.0,60
1024974,21895.0,21894.0,60
1000616,5581.0,5579.0,67
1000680,58523.0,5564.0,71
1000622,5565.0,5564.0,71
1000666,5576.0,221438.0,72
1000685,5580.0,221438.0,72
1000629,5544.0,5541.0,73
1000630,5546.0,5541.0,73
1000634,5547.0,5541.0,73
1005546,21905.0,21901.0,85
1005547,21908.0,21901.0,85
1005483,21908.0,21901.0,85
1000648,153928.0,21901.0,85
1000649,153929.0,21901.0,85
1000679,5563.0,5569.0,87
1000655,5573.0,5569.0,87
1000657,5573.0,5569.0,87
1000658,5570.0,5569.0,87
1000661,5558.0,453995.0,89
1000668,21882.0,5588.0,91
1097149,535976.0,535975.0,95
1000672,5549.0,535975.0,95
1097151,,535975.0,95
1021172,535973.0,535975.0,95
1119294,535973.0,535975.0,95
1097174,535976.0,535975.0,95
1300849,535973.0,535975.0,95
1233024,,535975.0,95
1197071,535976.0,535975.0,95
1097129,535976.0,535975.0,95
1097132,,535975.0,95
1000711,399.0,402.0,117
1000734,5522.0,5520.0,127
1014291,375317.0,375316.0,130
1001384,356.0,367.0,142
1001386,356.0,367.0,142
1001363,356.0,367.0,142
1001991,19820.0,367.0,142
1001369,356.0,367.0,142
1001371,356.0,367.0,142
1304323,19707.0,19702.0,146
1000772,19689.0,19690.0,152
1000775,19689.0,19690.0,152
1003639,19696.0,19690.0,152
1000779,19840.0,426.0,158
1000857,19838.0,426.0,158
1000858,19838.0,426.0,158
1003770,5496.0,5494.0,159
1000828,5507.0,5509.0,160
1003642,5507.0,5509.0,160
1000782,5504.0,5509.0,160
1000816,5507.0,5509.0,160
1000818,5504.0,5509.0,160
1003705,19681.0,19683.0,165
1003603,19687.0,19691.0,173
1003813,19687.0,19691.0,173
1003804,19691.0,19694.0,174
1000803,236.0,19796.0,176
1000804,171195.0,7771.0,177
1000808,19816.0,346.0,179
1000810,334.0,346.0,179
1001256,268161.0,294.0,181
1001258,268161.0,294.0,181
1001259,320.0,294.0,181
1001245,268161.0,294.0,181
1003745,298.0,302.0,182
1003659,302.0,298.0,187
1000832,19676.0,19679.0,191
1000836,19677.0,19676.0,192
1000841,19709.0,5495.0,195
1000864,19688.0,19678.0,198
1000866,19681.0,19678.0,198
1000867,19681.0,19678.0,198
1000849,19681.0,19678.0,198
1000850,19681.0,19678.0,198
1000851,19688.0,19678.0,198
1001987,449260.0,85736.0,200
1000893,83807.0,5465.0,205
1005479,5468.0,5465.0,205
1005480,5464.0,5465.0,205
1005481,5468.0,5465.0,205
1003783,5469.0,5465.0,205
1003747,19693.0,19688.0,214
1006651,30364.0,24109.0,217
1000892,5474.0,5472.0,218
1003686,5474.0,5472.0,218
1002113,30686.0,30685.0,219
1002114,30684.0,30685.0,219
1002115,30687.0,30685.0,219
1007831,30693.0,30685.0,219
1002121,30688.0,30685.0,219
1002122,30688.0,30685.0,219
1002261,564.0,30685.0,219
1002130,30691.0,30685.0,219
1002168,30695.0,30685.0,219
1002169,30690.0,30685.0,219
1002170,30693.0,30685.0,219
1002171,30695.0,30685.0,219
1011260,30683.0,30685.0,219
1011264,552.0,30685.0,219
1001918,552.0,30685.0,219
1002454,31004.0,30685.0,219
1002455,30697.0,30685.0,219
1002191,564.0,30685.0,219
1000894,552.0,30685.0,219
1280974,30696.0,30685.0,219
1002084,30684.0,30685.0,219
1007798,30692.0,30685.0,219
1007799,30691.0,30685.0,219
1007800,30690.0,30685.0,219
1002096,564.0,30685.0,219
1007808,30693.0,30685.0,219
1001439,30689.0,30685.0,219
1096466,30691.0,30685.0,219
1009259,359723.0,359732.0,244
1009106,350225.0,350228.0,251
1009107,350225.0,350228.0,251
1009238,350204.0,350228.0,251
