BADGE,PEER_STABILITY,PEERS_CONSIDERED,N_RUNS_SEEN
1000512,1.0,1,3
1202843,1.0,1,3
1000519,,0,3
1000535,,0,3
1000676,1.0,1,3
1000675,1.0,1,3
1021482,1.0,3,3
1026265,1.0,3,3
1002450,1.0,3,3
1021484,1.0,3,3
1181142,1.0,13,3
1181263,1.0,13,3
1186700,1.0,13,3
1181246,1.0,13,3
1181261,1.0,13,3
1181243,1.0,13,3
1181260,1.0,13,3
1038558,1.0,13,3
1181244,1.0,13,3
1179331,1.0,13,3
1186699,1.0,13,3
1181247,1.0,13,3
1181251,1.0,13,3
1181140,1.0,13,3
1038561,,0,3
1038564,,0,3
1038615,1.0,6,3
1038618,1.0,6,3
1038616,1.0,6,3
1038617,1.0,6,3
1038568,1.0,6,3
1038567,1.0,6,3
1038601,1.0,6,3
1038581,1.0,2,3
1038575,1.0,2,3
1038579,1.0,2,3
1038576,,0,3
1038584,1.0,5,3
1038608,1.0,5,3
1038586,1.0,5,3
1038585,1.0,5,3
1038578,1.0,5,3
1038577,1.0,5,3
1038582,,0,3
1038587,,0,3
1038590,,0,3
1002451,1.0,1,3
1002474,1.0,1,3
1038595,,0,3
1038596,,0,3
1038613,,0,3
1038614,,0,3
1038624,,0,3
1038642,0.981,18,3
1038633,0.981,18,3
1038628,0.981,18,3
1038643,0.981,18,3
1038638,0.667,18,3
1038636,0.981,18,3
1038640,0.981,18,3
1038646,0.981,18,3
1038635,0.981,18,3
1038644,0.981,18,3
1038631,0.981,18,3
1038630,0.981,18,3
1038645,0.981,18,3
1038632,0.981,18,3
1038634,0.981,18,3
1038641,0.981,18,3
1038627,0.981,18,3
1038639,0.981,18,3
1038629,0.981,18,3
1038637,,0,3
1038650,1.0,5,3
1038666,1.0,5,3
1038647,1.0,5,3
1038648,1.0,5,3
1038649,1.0,5,3
1038652,1.0,5,3
1038651,1.0,6,3
1038657,1.0,6,3
1038655,1.0,6,3
1065080,1.0,6,3
1038653,1.0,6,3
1038654,1.0,6,3
1038656,1.0,6,3
1046511,1.0,7,3
1038667,1.0,7,3
1038663,1.0,7,3
1038665,1.0,7,3
1038670,1.0,7,3
1046513,1.0,7,3
1038664,1.0,7,3
1046514,1.0,7,3
1002452,,0,3
1038668,1.0,2,3
1039514,1.0,2,3
1039512,1.0,2,3
1038671,1.0,6,3
1038685,1.0,6,3
1038676,1.0,6,3
1038679,1.0,6,3
1038678,1.0,6,3
1038680,1.0,6,3
1038673,1.0,6,3
1038674,,0,3
1041975,1.0,8,3
1038677,1.0,8,3
1041973,1.0,8,3
1041978,1.0,8,3
1041972,1.0,8,3
1041976,1.0,8,3
1038675,1.0,8,3
1041971,1.0,8,3
1041977,1.0,8,3
1038681,,0,3
1038682,,0,3
1038687,1.0,5,3
1038695,1.0,5,3
1038698,1.0,5,3
1038690,1.0,5,3
1038696,1.0,5,3
1038689,1.0,5,3
1038694,1.0,5,3
1038697,1.0,5,3
1038701,1.0,5,3
1131011,1.0,5,3
1133951,1.0,5,3
1038691,1.0,5,3
1038702,1.0,5,3
1038700,1.0,5,3
1045576,1.0,5,3
1038699,1.0,5,3
1045572,1.0,5,3
1045574,1.0,5,3
1038710,1.0,8,3
1038711,1.0,8,3
1038713,1.0,8,3
1038714,1.0,8,3
1038704,1.0,8,3
1038712,1.0,8,3
1038705,1.0,8,3
1038703,1.0,8,3
1038709,1.0,8,3
1002454,,0,3
1038706,,0,3
1038707,,0,3
1038708,,0,3
1232465,1.0,7,3
1119563,1.0,7,3
1076817,1.0,7,3
1119652,1.0,7,3
1298170,1.0,7,3
1038715,1.0,7,3
1079756,1.0,7,3
1119650,1.0,7,3
1038726,,0,3
1038748,0.952,7,3
1038733,0.952,7,3
1038732,0.952,7,3
1038746,0.952,7,3
1038747,0.952,7,3
1038730,0.952,7,3
1038731,0.667,7,3
1038749,0.952,7,3
1038734,,0,3
1038742,0.667,7,3
1038743,0.952,7,3
1038737,0.952,7,3
1038738,0.952,7,3
1038735,0.952,7,3
1038736,0.952,7,3
1038744,0.952,7,3
1038745,0.952,7,3
1046945,0.75,8,3
1038752,0.75,8,3
1046946,0.75,8,3
1038761,0.5,8,3
1065187,0.75,8,3
1046944,0.75,8,3
1038751,0.5,8,3
1065188,0.5,8,3
1038753,0.75,8,3
1045958,1.0,7,3
1039318,1.0,7,3
1038755,1.0,7,3
1045959,1.0,7,3
1038756,1.0,7,3
1045961,1.0,7,3
1045960,1.0,7,3
1038754,1.0,7,3
1006528,1.0,5,3
1002456,1.0,5,3
1005780,1.0,5,3
1002457,1.0,5,3
1006525,1.0,5,3
1005778,1.0,5,3
1038759,1.0,3,3
1038757,1.0,3,3
1038760,1.0,3,3
1038758,1.0,3,3
1038762,1.0,8,3
1038766,1.0,8,3
1038765,1.0,8,3
1038763,1.0,8,3
1038769,1.0,8,3
1038770,1.0,8,3
1038764,1.0,8,3
1038768,1.0,8,3
1038767,1.0,8,3
1207065,1.0,5,3
1122104,1.0,5,3
1122803,1.0,5,3
1207067,1.0,5,3
1207066,1.0,5,3
1038771,1.0,5,3
1038776,1.0,8,3
1038784,1.0,8,3
1038786,1.0,8,3
1038783,1.0,8,3
1038773,1.0,8,3
1038785,1.0,8,3
1038772,1.0,8,3
1038774,1.0,8,3
1038775,1.0,8,3
1038777,,0,3
1038782,1.0,8,3
1038780,1.0,8,3
1038779,1.0,8,3
1038796,1.0,8,3
1038793,1.0,8,3
1038794,1.0,8,3
1038781,1.0,8,3
1038792,1.0,8,3
1038778,1.0,8,3
1038788,1.0,7,3
1038790,1.0,7,3
1038797,1.0,7,3
1038799,1.0,7,3
1038789,1.0,7,3
1038787,1.0,7,3
1038800,1.0,7,3
1038798,1.0,7,3
1038791,,0,3
1038795,,0,3
1038802,1.0,5,3
1038803,1.0,5,3
1038810,1.0,5,3
1038807,1.0,5,3
1038801,1.0,5,3
1038809,1.0,5,3
1005821,1.0,7,3
1006524,1.0,7,3
1006134,1.0,7,3
1006131,1.0,7,3
1002458,1.0,7,3
1006526,1.0,7,3
1005820,1.0,7,3
