BADGE,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,MAJORITY_TRANSFORMER,MAJORITY_VOTES,MAJORITY_SHARE,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA
1002676,1116,9,9,239355,9,1.0,OH21974,13RI-2,,38.862669,-104.7633649,25
1078204,18249,9,9,61090,9,1.0,PD14310,12JW-1,RSO-55,38.78357736,-104.7276176,25
1138765,22116,9,9,396221,9,1.0,UG129013,12FR-32,RBLR51A-5,38.91180997,-104.654234,25
1057661,13163,8,8,330887,8,1.0,PD103450,12FR-32,RBLR-279,38.92787084,-104.6606114,50
1080715,18825,8,8,14330,8,1.0,UG5723,12CL-13,RCN-104,38.85142929,-104.6983193,25
1095755,22255,8,8,396228,8,1.0,UG129230,12FR-32,RBLR51B-6,38.91232616,-104.6546479,50
1122002,27150,8,8,20175,8,1.0,OH10203,13RI-12,,38.86460566,-104.7762094,25
1166977,36236,8,8,2624,8,1.0,OH13474,12PJ-2,,38.84837867,-104.7973846,25
1061414,13557,7,7,43183,7,1.0,PD20293,12NG-21,REMC-8,39.01486092,-104.80144,50
1187873,22390,7,7,378107,7,1.0,PD106559,13FV-2,RGHM-128,38.83373203,-104.8525387,50
1114575,25935,7,7,13125,7,1.0,UG8897,12PR-2,RVL-40,38.87255252,-104.7366758,25
1019676,5387,6,6,23693,6,1.0,PD16385,12AP-3,RDR-80,38.91373155,-104.7370916,25
1169713,13661,6,6,11622,6,1.0,UG11084,13NP-1,RCM-11,38.88890141,-104.8079835,25
1090925,20812,6,6,26797,6,1.0,UG14751,13KE-61,RSB-15,38.79449967,-104.7521655,25
1178010,22409,6,6,20590,6,1.0,OH29966,13FV-1,,38.85344373,-104.866582,15
1097147,22694,8,6,536190,6,1.0,PD110652,12HZ-13,RBH1-19,38.75490331,-104.6657127,50
1113924,25977,6,6,4907,6,1.0,OH18221,13KE-72,,38.79211814,-104.7738172,25
