BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY,BADGE_SPID,BADGE_ADDRESS,BADGE_CITY,GIS_BADGE_LAT,GIS_BADGE_LON,BADGE_FEEDERID,BADGE_POINT_X,BADGE_POINT_Y,MODEL_BADGE_LAT,MODEL_BADGE_LON,MODEL_VS_GIS_LATLON_DISTANCE_M,LATLON_DISCREPANCY,CURRENT_TX_STRUCTNO,CURRENT_TX_LID,CURRENT_TX_FEEDERID,CURRENT_TX_SUBTYPE,CURRENT_TX_VAULTCD,CURRENT_TX_LAT,CURRENT_TX_LON,CURRENT_TX_KVA,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_LID,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_SUBTYPE,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,RECOMMENDATION_TYPE
1054068,,390898,167,21,19,0,19,1.0,1.0,1.0,20,3,3,1.0,8762078793,"8546 N POWERS BLVD, CONST TRLR",COLO SPGS,38.9551498,-104.726784,,-104.726784,38.9551498,39.025484,-104.82518,11553.5,True,,,,,,,,,PD108279,PD108279,12FH-12,UG Transformer Bank,CSN-12,39.02524968,-104.8251273,50,,11532.5,new_assignment
1054071,,390898,167,21,19,0,19,1.0,1.0,1.0,20,3,3,1.0,5673699583,80 FAR BLUE PT APT 203,COLO SPGS,39.02542283,-104.8250794,12FH-12,-104.8250794,39.02542283,39.025484,-104.82518,11.0,False,,,,,,,,,PD108279,PD108279,12FH-12,UG Transformer Bank,CSN-12,39.02524968,-104.8251273,50,,19.7,new_assignment
1135838,,396222,22276,12,11,0,11,1.0,1.0,1.0,11,3,3,1.0,7236101806,,,38.91130033,-104.6557607,,-104.6557607,38.91130033,38.911239,-104.655751,6.9,False,,,,,,,,,UG129014,UG129014,12FR-32,UG Transformer Bank,RBLR51A-3,38.91139184,-104.6553258,50,,39.0,new_assignment
1265551,,376736,6720,11,10,0,10,1.0,1.0,1.0,10,3,3,1.0,4166850431,,,38.87560552,-104.6804524,,-104.6804524,38.87560552,38.875544,-104.680443,6.9,False,,,,,,,,,PD106115,PD106115,12CL-11,UG Transformer Bank,RSAND-28,38.87555888,-104.6808598,50,,35.6,new_assignment
1257374,,6059,29890,11,10,0,10,1.0,1.0,1.0,10,3,3,1.0,1508140258,,,38.96177299,-104.7609574,,-104.7609574,38.96177299,38.961601,-104.760949,19.1,False,,,,,,,,,PD16146,PD016146,13BG-3,UG Transformer Bank,RSFD-129,38.96144049,-104.7614206,25,,54.5,new_assignment
1257558,,23110,45881,11,10,0,10,1.0,1.0,1.0,10,3,3,1.0,2651299725,,,38.92584104,-104.7607768,,-104.7607768,38.92584104,38.925835,-104.760767,1.1,False,,,,,,,,,PD1182,PD001182,12AP-1,UG Transformer Bank,RGB-10,38.92555431,-104.7609503,25,,35.2,new_assignment
1256910,,344290,13258,10,9,0,9,1.0,1.0,1.0,9,3,3,1.0,4244152326,,,38.93419101,-104.6621331,,-104.6621331,38.93419101,38.934129,-104.662123,7.0,False,,,,,,,,,PD104159,PD104159,12ST-22,UG Transformer Bank,RBLR-321,38.93443687,-104.6620865,50,,27.6,new_assignment
1257657,,153917,14515,10,9,0,9,1.0,1.0,1.0,9,3,3,1.0,9928421215,,,39.01247227,-104.7946005,,-104.7946005,39.01247227,39.012411,-104.794591,6.9,False,,,,,,,,,PD17377,PD017377,12NG-21,UG Transformer Bank,RSCMC-33,39.01258615,-104.7944583,25,,17.6,new_assignment
1257372,,79965,2980,9,8,0,8,1.0,1.0,1.0,8,3,3,1.0,1997847705,,,38.89684681,-104.6937926,,-104.6937926,38.89684681,38.896813,-104.693783,3.9,False,,,,,,,,,PD20343,PD020343,12ST-3,UG Transformer Bank,RNRG-84,38.89664641,-104.6939075,50,,24.4,new_assignment
1257371,,444305,3171,10,8,0,8,1.0,1.0,1.0,9,3,3,1.0,7832515353,,,38.93919088,-104.6839942,,-104.6839942,38.93919088,38.939129,-104.683984,6.9,False,,,,,,,,,PD109665,PD109665,12FR-31,UG Transformer Bank,RCWH-11,38.93911926,-104.6838522,25,,14.6,new_assignment
