BADGE,CLUSTER
1000512,0
1202843,0
1000519,1
1001491,2
1001474,2
1000521,2
1001475,2
1001488,2
1001158,2
1001147,2
1165093,3
1000524,3
1125522,4
1125407,4
1125521,4
1124670,4
1124671,4
1125478,4
1000526,4
1125406,4
1125405,4
1125479,4
1124669,4
1000530,5
1000527,5
1000589,5
1000588,5
1000590,6
1000528,6
1000529,6
1000587,6
1000532,7
1000557,7
1002916,7
1000531,7
1003549,7
1000555,8
1000533,8
1000571,8
1000541,8
1000573,8
1000534,9
1000540,9
1000558,9
1000539,9
1000572,9
1000556,9
1000535,10
1001613,11
1001606,11
1000536,11
1000538,12
1000542,13
1005490,13
1000543,14
1027356,15
1000544,15
1027357,15
1032422,15
1027319,15
1262344,15
1255013,15
1000545,16
1000546,17
1001735,18
1001733,18
1001729,18
1000547,18
1002370,18
1001732,18
1000549,19
1001726,19
1000550,20
1012541,21
1000552,21
1012540,21
1000553,22
1000802,23
1000805,23
1000961,23
1000822,23
1000559,23
1001352,23
1000820,23
1001354,23
1000560,24
1005528,24
1001279,24
1001774,25
1001559,25
1001771,25
1001773,25
1053715,25
1001770,25
1034078,25
1001772,25
1001536,25
1001538,25
1001556,25
1001551,25
1000995,25
1000993,25
1000561,25
1000562,26
1000563,27
1001390,28
1001016,28
1000996,28
1000564,28
1001415,28
1000565,28
1001422,28
1000997,28
1001389,28
1000999,28
1000566,29
1048857,30
1000567,30
1000568,31
1000569,32
1000570,33
1000575,34
1006071,34
1000576,35
1007774,35
1032129,36
1055971,36
1032124,36
1000577,36
1032126,36
1032123,36
1032130,36
1035986,37
1036002,37
1045426,37
1035983,37
1000578,37
1043457,37
1000579,38
1026302,39
1004104,39
1000580,39
1026303,39
1026305,39
1000581,40
1048685,40
1009073,40
1247605,40
1009025,40
1009071,40
1018731,41
1000582,41
1019169,41
1019168,41
1018766,41
1018767,41
1019166,41
1000583,42
1049023,42
1020611,42
1019290,42
1135522,42
1028718,42
1000584,43
1012837,44
1019710,44
1000585,44
1048746,44
1019693,44
1019725,44
1019711,44
1019713,44
1030179,45
1030180,45
1030245,45
1030181,45
1031036,45
1000586,45
1030244,45
1000591,46
1000593,47
1000592,47
1000594,48
1008574,49
1000595,49
1008702,49
1002415,49
1002413,49
1002466,49
1097559,50
1025397,50
1009080,50
1000596,50
1025395,50
1025016,50
1052771,50
1025396,50
1025394,50
1012979,51
1026457,51
1000597,51
1026455,51
1012895,51
1120005,51
1073440,51
1020286,52
1027255,52
1020288,52
1000599,52
1018874,52
1018818,52
1018876,52
1000600,53
1020849,53
1020893,53
1020847,53
1020248,53
1020848,53
1004586,54
1004534,54
1000601,54
1135666,54
1052844,54
1004537,54
1071147,54
1012962,54
1004536,54
1073680,55
1000602,55
1000603,56
1000604,57
1000605,58
1000623,59
1000724,59
1000725,59
1000653,59
1000683,59
1000727,59
1000625,59
1000626,59
1000652,59
1000654,59
1000726,59
1000606,59
1012852,59
1000628,60
1000607,60
1000608,61
1000693,61
1000609,62
1011271,63
1000610,63
1000714,64
1000715,64
1000611,64
1000712,64
1000713,64
1000613,65
1000612,65
1000614,65
1078026,66
1078909,66
1000615,66
1098310,66
1078025,66
1078908,66
1078904,66
1078898,66
1078910,66
1000616,67
1000665,67
1000663,67
1000617,68
1000618,69
1000620,70
1000681,71
1000680,71
1000690,71
1000622,71
1000651,72
1000684,72
1000624,72
1000685,72
1000666,72
1000664,72
1000627,73
1000629,74
1000630,75
1048644,76
1000633,76
1000634,77
1000635,78
1000636,79
1000637,80
1000638,81
1274144,81
1000639,82
1000640,83
1000641,84
1000642,85
1000643,86
1000646,86
1048650,87
1000645,87
1000649,88
1000647,88
1003773,88
1003771,88
1005546,88
1000648,88
1000650,89
1000679,90
1000682,90
1000657,90
1000688,90
1000655,90
1000658,90
1070913,90
1189832,91
1190164,91
1185511,91
1000656,91
1174026,91
1000660,92
1000661,92
1000659,92
1000662,92
1000667,93
1000668,94
1000669,95
1000670,96
1000671,97
1225674,97
1000672,98
1000673,99
1000676,100
1000675,100
1000677,101
1194984,101
1000678,102
1000686,103
1037200,103
1037199,103
1037202,103
1037243,103
1037246,103
1037194,103
1048653,104
1000687,104
1000689,105
1000692,106
1000694,107
1048658,108
1000695,108
1000696,109
1000697,109
1000698,110
1005911,111
1000699,111
1000787,112
1000700,112
1000701,113
1000702,114
1000703,115
1000704,116
1000705,117
1037818,118
1000706,118
1000707,119
1000708,120
1000709,121
1002068,122
1002144,122
1000711,122
1000716,123
1000751,123
1000717,124
1000719,125
1000722,126
1000720,126
1000721,127
1000723,127
1000737,128
1000728,128
1000729,129
1000730,130
1000731,130
1000733,131
1000734,132
1002946,132
1000735,133
1000736,134
1059467,135
1012770,135
1014291,135
1000738,135
1052408,135
1052811,135
1000739,136
1000740,137
1000742,138
1000741,138
1001962,139
1000743,139
1001961,139
1000744,140
1000745,141
1000746,142
1000747,143
1000748,144
1000750,145
1000749,145
1000752,146
1005919,147
1003732,147
1000753,147
1005921,147
1003735,147
1003733,147
1001989,148
1000755,148
1000754,148
1000808,148
1001916,148
1000809,148
1000810,148
1000759,149
1000757,149
1000756,149
1000764,149
1000766,149
1000767,149
1001645,150
1000765,150
1000963,150
1000758,150
1000801,150
1001529,150
1003598,151
1000762,151
1000763,151
1304323,151
1003647,151
1000760,151
1000761,152
1000768,153
1000769,154
1000770,155
1307782,155
1307785,155
1273090,155
1000831,156
1052499,156
1048673,156
1012971,156
1001901,156
1002183,156
1000771,156
1000775,157
1003639,157
1000772,157
1003636,157
1003638,157
1003637,157
1000773,158
1000781,159
1000774,159
1003606,159
1000783,159
1003607,159
1003605,159
1000776,160
1000777,161
1000778,162
1000856,163
1000779,163
1005878,163
1001163,163
1001144,163
1000780,164
1000829,165
1136928,165
1000818,165
1000830,165
1000782,165
1003641,165
1003589,165
1003642,165
1000828,165
1000816,165
1000784,166
1025496,167
1019020,167
1054068,167
1029713,167
1054071,167
1044741,167
1055013,167
1044678,167
1042770,167
1021538,167
1006718,167
1013394,167
1054138,167
1013389,167
1053722,167
1007442,167
1014423,167
1000785,167
1047476,167
1037860,167
1011796,167
1000844,168
1005933,168
1005931,168
1005932,168
1000788,168
1000789,169
1003673,170
1003705,170
1003675,170
1003628,170
1003810,170
1000790,170
1000791,171
1000792,172
1000793,173
1000794,174
1003815,174
1095909,175
1000795,175
1095889,175
1095907,175
1007664,175
1095912,175
1026058,175
1090912,176
1093427,176
1111769,176
1000796,176
1093421,176
1093426,176
1093433,176
1000797,177
1003805,178
1003813,178
1003671,178
1003603,178
1003581,178
1000798,178
1003660,179
1003802,179
1012823,179
1003804,179
1000799,179
1003582,179
1003803,179
1000800,180
1005920,180
1003734,180
1001657,181
1001658,181
1039777,181
1020045,181
1000803,181
1001656,181
1001646,181
1000804,182
1003657,182
1000903,183
1000960,183
1000806,183
1000807,184
1000811,185
1001348,185
1001349,185
1001256,186
1001259,186
1001037,186
1001038,186
1014599,186
1001245,186
1000812,186
1001258,186
1001247,186
1001039,187
1000852,187
1000813,187
1000814,187
1001917,187
1001242,187
1000815,188
1001837,188
1001838,188
1000817,189
1003575,190
1003573,190
1000819,190
1003572,190
1001806,191
1001372,191
1000821,191
1001036,192
1000855,192
1000823,192
1005511,192
1000854,192
1003659,192
1000824,193
1000902,194
1000825,194
1000826,195
1000859,195
1003817,195
1000827,196
1000832,197
1003794,197
1000834,197
1000835,197
1000833,198
1005862,198
1005863,198
1005865,198
1005864,198
1000836,198
1000839,199
1003716,199
1003719,199
1003718,199
1000837,199
1003717,199
1000838,200
1000843,201
1000924,201
1000840,201
1000842,202
1000841,202
1000926,202
1218877,203
1218893,203
1218601,203
1218892,203
1218894,203
1217221,203
1218895,203
1217746,203
1218878,203
1127954,203
1217223,203
1218876,203
1217222,203
1218600,203
1218602,203
1000845,203
1216850,203
1217220,203
1217744,203
1000994,204
1000846,204
1011585,204
1000847,204
1003798,204
1000848,205
1000867,206
1003723,206
1000849,206
1003720,206
1003722,206
1003721,206
1000850,206
1000866,206
1000851,206
1000864,206
1000857,207
1001919,207
1000858,207
1000860,208
1001987,209
1000861,209
1000862,210
1000863,211
1000865,212
1000875,213
1005464,213
1000868,213
1000869,214
1000893,214
1003785,214
1003784,214
1002038,215
1000870,215
1002036,215
1000927,215
1001783,215
1001009,215
1002039,215
1002037,215
1000871,216
1000873,217
1001012,217
1000872,217
1000874,218
1000876,219
1000877,220
1000879,220
1001031,220
1001029,220
1000878,221
1059099,222
1000882,222
1000880,222
1012807,222
1000881,223
1000977,224
1000883,224
1276193,224
1000884,225
1003744,225
1000886,225
1003747,225
1000887,225
1000885,225
1048631,226
1007180,226
1052550,226
1013139,226
1000891,226
1006284,226
1000888,226
1006282,226
1000890,226
1006031,226
1007178,226
1000889,227
1006012,227
1006010,227
1006651,227
1000892,228
1003686,228
1007676,228
1007674,228
1000894,229
1003684,230
1000895,230
1048652,230
1009229,231
1002173,231
1002172,231
1000896,231
1002174,231
1009212,232
1009217,232
1009227,232
1009216,232
1000897,232
1009210,232
1132902,233
1249675,233
1255998,233
1009233,233
1003649,233
1262434,233
1000898,233
1009230,233
1009232,233
1009231,233
1009211,234
1073989,234
1052579,234
1000899,234
1009213,234
1072293,234
1119860,234
1000901,235
1000900,235
1000904,236
1000905,236
1000906,237
1000907,238
1000910,238
1000909,239
1000918,239
1000911,239
1000908,239
1000915,240
1001697,240
1000934,240
1009173,240
1000912,240
1000914,240
1000913,240
1009172,240
1000916,241
1002246,242
1002247,242
1000917,242
1000919,242
1000938,243
1000939,243
1000920,243
1000923,243
1001542,244
1000921,244
1001711,245
1005895,245
1005897,245
1000922,245
1014634,246
1002034,246
1000925,246
1010527,247
1010891,247
1000929,247
1002541,247
1008814,247
1000930,247
1000928,247
1000931,248
1000935,249
1000932,249
1000933,249
1000936,250
1000937,251
1000980,252
1000942,252
1000940,252
1000943,253
1000941,253
1000945,254
1009411,254
1000966,254
1000946,254
1000944,254
1009221,255
1002343,255
1007285,255
1002340,255
1009259,255
1002338,255
1000947,255
1009280,256
1009215,256
1000959,256
1009214,256
1009241,256
1000948,256
1002266,256
1000949,257
1009282,258
1009283,258
1009285,258
1014637,258
1009284,258
1009263,258
1007282,258
1000951,258
1000950,258
1009515,259
1009514,259
1009577,259
1009516,259
1010212,259
1000952,259
1008845,260
1002394,260
1002395,260
1008844,260
1306866,260
1008842,260
1000953,260
1002714,261
1288596,261
1308184,261
1108976,261
1119445,261
1045515,261
1148147,261
1000954,261
1058385,261
1266724,261
1000955,262
1002430,262
1005629,262
1001125,262
1009238,263
1007498,263
1009239,263
1000958,263
1000957,263
1000956,263
1009240,263
1000962,264
1000964,265
1005276,266
1007573,266
1007626,266
1000965,266
1007613,266
1000967,266
1002431,267
1000968,267
1010941,267
1002429,267
1250234,267
1134114,267
1131030,267
1132865,267
1008436,267
1008451,268
1008450,268
1000969,268
1000970,269
1011457,269
1052860,269
1007338,269
1002595,269
1002615,269
1002592,269
1008447,270
1000971,270
1008439,270
1047107,270
1008438,270
1133830,270
1008446,270
1137618,270
1048609,270
1008440,270
1000972,271
1000973,271
1000974,272
1001696,272
1001118,273
1000975,273
1001115,273
1001117,273
1000976,274
1000979,275
1001032,275
1001035,275
1001033,275
1000978,275
1001034,276
1000981,276
1000983,276
1000982,277
1001026,278
1000985,278
1001025,278
1000986,278
1000987,278
1000984,278
1000990,279
1001027,279
1000991,279
1000989,279
1000988,279
1003821,279
1000992,280
1000998,281
1001000,282
1001102,283
1001103,283
1001101,283
