BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER
1202843,264643.0,31358.0,0
1000524,,3771.0,3
1000526,,1517.0,4
1012540,15373.0,501900.0,21
1005528,19823.0,19819.0,24
1001774,285.0,296.0,25
1001771,285.0,296.0,25
1001773,285.0,296.0,25
1053715,285.0,296.0,25
1001770,7771.0,296.0,25
1034078,98205.0,296.0,25
1001772,285.0,296.0,25
1001556,94692.0,296.0,25
1000993,94692.0,296.0,25
1001390,446.0,461.0,28
1001016,440.0,461.0,28
1000564,19848.0,461.0,28
1001415,433.0,461.0,28
1001422,446.0,461.0,28
1000997,443.0,461.0,28
1001389,438.0,461.0,28
1006071,24292.0,10671.0,34
1012979,13395.0,13414.0,51
1000727,221438.0,5576.0,59
1000616,5581.0,5579.0,67
1000681,5564.0,5555.0,71
1000680,58523.0,5555.0,71
1000622,5565.0,5555.0,71
1000685,5580.0,221438.0,72
1000666,5576.0,221438.0,72
1000649,153929.0,21901.0,88
1005546,21905.0,21901.0,88
1000648,153928.0,21901.0,88
1000679,5563.0,5569.0,90
1000657,5573.0,5569.0,90
1000688,5568.0,5569.0,90
1000655,5573.0,5569.0,90
1000658,5570.0,5569.0,90
1189832,375949.0,4459.0,91
1185511,375949.0,4459.0,91
1174026,4457.0,4459.0,91
1000661,5558.0,453995.0,92
1000711,399.0,402.0,122
1000734,5522.0,5520.0,132
1014291,375317.0,375316.0,135
1000738,,375316.0,135
1000808,19816.0,346.0,148
1000810,334.0,346.0,148
1304323,19707.0,19702.0,151
1000775,19689.0,19690.0,157
1003639,19696.0,19690.0,157
1000772,19689.0,19690.0,157
1000779,19840.0,426.0,163
1000818,5504.0,5509.0,165
1000782,5504.0,5509.0,165
1003642,5507.0,5509.0,165
1000828,5507.0,5509.0,165
1000816,5507.0,5509.0,165
1054068,,390898.0,167
1054071,,390898.0,167
1003705,19681.0,19683.0,170
1000795,,383756.0,175
1003813,19687.0,19691.0,178
1003603,19687.0,19691.0,178
1003804,19691.0,19694.0,179
1000803,236.0,19796.0,181
1000804,171195.0,7771.0,182
1001256,268161.0,294.0,186
1001259,320.0,294.0,186
1001245,268161.0,294.0,186
1001258,268161.0,294.0,186
1001247,268161.0,294.0,186
1003659,302.0,298.0,192
1000832,19676.0,19679.0,197
1000836,19677.0,19676.0,198
1000841,19709.0,5495.0,202
1000867,19681.0,19678.0,206
1000849,19681.0,19678.0,206
1000850,19681.0,19678.0,206
1000866,19681.0,19678.0,206
1000851,19688.0,19678.0,206
1000864,19688.0,19678.0,206
1001919,426.0,19838.0,207
1001987,449260.0,85736.0,209
1000893,83807.0,5465.0,214
1000886,19693.0,19688.0,225
1003747,19693.0,19688.0,225
1006651,30364.0,24109.0,227
1000892,5474.0,5472.0,228
1003686,5474.0,5472.0,228
1009259,359723.0,359732.0,255
1000970,10502.0,24265.0,269
1000972,,725.0,271
1000990,19706.0,19708.0,279
1003821,19706.0,19708.0,279
1001427,392.0,381.0,285
1002102,238717.0,381.0,285
1001868,238717.0,381.0,285
1001018,454.0,441.0,292
1001403,440.0,441.0,292
1001412,433.0,441.0,292
1009487,378059.0,375330.0,298
1250722,378059.0,375330.0,298
1001900,375329.0,375330.0,298
1001043,375327.0,375330.0,298
1009482,375327.0,375330.0,298
1009481,378059.0,375330.0,298
1009486,378059.0,375330.0,298
1009485,375327.0,375330.0,298
1014656,375327.0,375330.0,298
1135631,375327.0,375330.0,298
1002584,375329.0,375330.0,298
1009345,378059.0,375330.0,298
1048633,378059.0,375330.0,298
1002389,375329.0,375330.0,298
1001903,375329.0,375330.0,298
1001902,375329.0,375330.0,298
1009488,378059.0,375330.0,298
1048603,375327.0,375330.0,298
1010822,375329.0,375330.0,298
1011458,376540.0,375330.0,298
1009443,378059.0,375330.0,298
1132879,378059.0,375330.0,298
1001041,375327.0,375330.0,298
1257373,,375330.0,298
1070969,375327.0,375330.0,298
1261292,375329.0,375330.0,298
1009484,375327.0,375330.0,298
1052861,376540.0,375330.0,298
1001052,242.0,219.0,301
1001054,19802.0,219.0,301
1007782,19781.0,219.0,301
1001049,219.0,218.0,302
1002278,368.0,360.0,316
1001074,374.0,360.0,316
1001075,374.0,355.0,318
1001096,400.0,388.0,331
1005513,488.0,491.0,357
1001307,505.0,491.0,357
1001138,484.0,491.0,357
1001303,495.0,491.0,357
1002666,19835.0,418.0,365
1002332,658.0,645.0,366
1001153,74844.0,19767.0,367
1005477,301.0,298.0,369
1001379,268161.0,298.0,369
1001938,157.0,205.0,383
1001212,19775.0,281919.0,386
1001194,221.0,19785.0,389
1001572,221.0,19785.0,389
1001562,221.0,19785.0,389
1001592,221.0,19785.0,389
1001206,19831.0,405.0,394
1001232,446.0,19848.0,404
1001401,302.0,323.0,408
1001998,320.0,323.0,408
1005474,341.0,320.0,410
1005918,327.0,320.0,410
1080713,19801.0,279.0,411
1001281,40284.0,19799.0,412
1001280,40284.0,19799.0,412
1011654,19801.0,19799.0,412
1003569,282.0,19799.0,412
1001635,19801.0,19799.0,412
1001252,19804.0,290.0,413
1001293,279.0,282.0,414
1001266,19821.0,19820.0,417
1001462,19819.0,19823.0,418
1001282,279.0,19794.0,423
1001659,19798.0,264.0,430
1001292,286.0,282.0,432
1013491,290.0,284.0,439
1005526,351.0,347.0,465
1001991,19820.0,356.0,466
1001382,255.0,232.0,468
1002198,255.0,232.0,468
1001373,244.0,232.0,468
1001409,232.0,244.0,469
1001780,230.0,255.0,470
1001928,446.0,438.0,471
1005463,19843.0,438.0,474
1002578,19834.0,418.0,477
1007681,430.0,446.0,478
1001400,430.0,446.0,478
1001405,438.0,446.0,478
1001407,19843.0,438.0,481
1002078,489.0,490.0,491
1001439,30689.0,30695.0,501
1002455,30697.0,30695.0,501
1005541,280.0,294.0,513
1132965,12680.0,12656.0,520
1003924,22739.0,7431.0,528
1001623,19825.0,375.0,539
1001524,19825.0,375.0,539
1001532,766.0,732.0,543
1001994,327.0,342.0,554
1001688,327.0,322.0,556
1001794,157.0,185.0,558
1002070,402.0,399.0,561
1001578,9403.0,19852.0,563
1001582,399.0,390.0,566
1001881,84773.0,385.0,572
1008891,11667.0,24729.0,582
1001692,341.0,323.0,595
1001664,699.0,697.0,598
1072091,365405.0,365412.0,600
1280811,365408.0,365412.0,600
1287739,365403.0,365412.0,600
1204972,365408.0,365412.0,600
1176152,365411.0,365412.0,600
1001666,365405.0,365412.0,600
1277046,365403.0,365412.0,600
1001786,19782.0,227.0,635
1001748,227.0,212.0,641
1001777,19776.0,212.0,643
1001779,19776.0,212.0,643
1001776,19776.0,212.0,643
1001888,274.0,268.0,648
1001764,7721.0,274.0,649
1001789,19831.0,405.0,655
1001797,209597.0,209598.0,659
1001808,87331.0,727.0,663
1001815,428.0,362.0,667
1001824,309.0,305.0,674
1001945,294.0,280.0,681
1280972,,428.0,697
1003697,455.0,19855.0,707
1001891,268.0,238.0,708
1127600,178568.0,272956.0,735
1003645,19702.0,19707.0,748
1003644,19702.0,19707.0,748
1281580,,23778.0,757
1021667,,23778.0,757
1118830,,23778.0,757
1311348,,23778.0,757
1137858,,23778.0,757
1226760,,23778.0,757
1021037,,23778.0,757
1001980,,23778.0,757
1143826,18954.0,453917.0,760
1001983,453918.0,453917.0,760
1013819,,453917.0,760
1001984,133420.0,19712.0,761
1003629,133420.0,19712.0,761
1001986,,383756.0,762
1011969,542683.0,462.0,764
1280975,530.0,529.0,768
1010831,24712.0,24671.0,778
1010828,24712.0,24671.0,778
1010824,24712.0,24671.0,778
1010827,24712.0,24671.0,778
1002098,209600.0,209599.0,793
1007373,209600.0,209599.0,793
1002137,209600.0,209599.0,793
1173931,84123.0,264637.0,798
1126127,21424.0,264637.0,798
1180925,15705.0,264637.0,798
1177958,15673.0,264637.0,798
1002079,489.0,264637.0,798
1011260,30683.0,30685.0,801
1002092,9403.0,454.0,805
1002313,89569.0,523.0,825
1002164,432.0,427.0,850
1039913,8889.0,8911.0,868
1011278,,364699.0,880
