ADDED_BADGE,REMOVED_BADGE
1011947,1000690
1032745,1001809
1033977,1002390
1038077,1003836
1041290,1008771
1043653,1008787
1043716,1009880
1046096,1010276
1053674,1011258
1057065,1011467
1109162,1011492
1150782,1011735
1166258,1011882
1171453,1015194
1207877,1019525
1248319,1019866
1248326,1020306
1257408,1020496
1261295,1020997
1291135,1021443
1310081,1021453
,1023006
,1023879
,1024006
,1024190
,1025776
,1031217
,1031365
,1031708
,1031971
,1032014
,1032062
,1032504
,1032946
,1036039
,1036055
,1037856
,1038992
,1041528
,1041987
,1045982
,1046102
,1048094
,1058066
,1058314
,1058643
,1059290
,1061937
,1062696
,1064795
,1067932
,1070939
,1072102
,1072331
,1072938
,1073238
,1073458
,1073505
,1073528
,1074033
,1074268
,1074801
,1075311
,1077430
,1079764
,1079976
,1082186
,1082662
,1082946
,1084286
,1088766
,1089428
,1089916
,1092259
,1092778
,1096357
,1096896
,1098542
,1099932
,1100570
,1104714
,1104960
,1105245
,1105924
,1106422
,1106501
,1107835
,1108878
,1109907
,1111695
,1111863
,1111897
,1111986
,1113895
,1116000
,1116740
,1119088
,1119577
,1119590
,1119637
,1123185
,1123276
,1124025
,1131144
,1131941
,1132887
,1132936
,1133051
,1133061
,1133265
,1134178
,1135344
,1135529
,1135841
,1135860
,1136086
,1136456
,1136825
,1136827
,1136846
,1137606
,1137630
,1137930
,1137977
,1138065
,1138286
,1138360
,1143983
,1145705
,1151011
,1153004
,1154731
,1155301
,1156124
,1163833
,1164440
,1164443
,1171654
,1176274
,1177772
,1178795
,1180609
,1184557
,1185028
,1186245
,1186681
,1188668
,1189292
,1190051
,1190601
,1195311
,1195364
,1195366
,1195368
,1195369
,1195370
,1195371
,1195494
,1196850
,1196934
,1201300
,1202679
,1205455
,1205569
,1208388
,1208769
,1218282
,1218390
,1219109
,1223717
,1227096
,1229407
,1232463
,1237810
,1237811
,1246096
,1246127
,1248303
,1249751
,1250209
,1251075
,1253730
,1254981
,1265284
,1265310
,1266010
,1266105
,1267639
,1271351
,1273630
,1274146
,1275912
,1278341
,1280339
,1281649
,1282219
,1282875
,1285303
,1287109
,1289191
,1297833
,1298788
,1299439
,1300303
,1300329
,1300639
,1301820
,1305176
,1306616
,1306821
,1307644
,1310673
,1311887
,1311941
